cell_id,Chalybura buffonii,Chalybura buffonii [buffonii Group],Chalybura buffonii caeruleogaster,Chalybura buffonii intermedia
8466017ffffffff,4.0,0.0,0.0,0.0
846601bffffffff,18.0,0.0,0.0,0.0
8466027ffffffff,5.0,0.0,0.0,0.0
846603dffffffff,1.0,0.0,0.0,0.0
8466081ffffffff,2.0,0.0,0.0,0.0
8466085ffffffff,2.0,0.0,0.0,0.0
8466087ffffffff,9.0,0.0,0.0,0.0
8466089ffffffff,15.0,0.0,0.0,0.0
846608dffffffff,329.0,4.0,0.0,0.0
8466091ffffffff,2.0,0.0,0.0,0.0
8466097ffffffff,26.0,0.0,5.0,0.0
8466099ffffffff,3.0,0.0,0.0,0.0
846609bffffffff,1.0,0.0,0.0,0.0
84660a1ffffffff,5.0,0.0,0.0,0.0
84660a3ffffffff,2.0,0.0,0.0,0.0
84660a7ffffffff,348.0,10.0,0.0,0.0
84660b3ffffffff,31.0,0.0,6.0,0.0
84660b5ffffffff,4.0,0.0,0.0,0.0
84660b7ffffffff,10.0,0.0,0.0,0.0
84660bbffffffff,5.0,0.0,0.0,0.0
84660bdffffffff,7.0,0.0,0.0,0.0
84660c1ffffffff,11.0,0.0,0.0,0.0
84660c3ffffffff,8.0,0.0,0.0,0.0
84660c5ffffffff,8.0,0.0,0.0,0.0
84660c7ffffffff,33.0,0.0,0.0,0.0
84660cbffffffff,68.0,0.0,0.0,0.0
84660cdffffffff,6.0,0.0,0.0,0.0
84660d3ffffffff,12.0,0.0,4.0,0.0
84660d9ffffffff,10.0,0.0,0.0,0.0
84660ddffffffff,18.0,0.0,0.0,0.0
84660e1ffffffff,1.0,0.0,0.0,0.0
84660ebffffffff,2.0,0.0,0.0,0.0
8466105ffffffff,6.0,0.0,0.0,0.0
8466107ffffffff,931.0,53.0,0.0,0.0
8466113ffffffff,8.0,0.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0,0.0
8466119ffffffff,2.0,0.0,0.0,0.0
8466129ffffffff,63.0,0.0,0.0,0.0
8466131ffffffff,40.0,5.0,0.0,0.0
8466135ffffffff,14.0,6.0,0.0,0.0
8466139ffffffff,284.0,20.0,0.0,0.0
846613bffffffff,4.0,0.0,0.0,0.0
846613dffffffff,13.0,5.0,0.0,0.0
8466163ffffffff,519.0,37.0,0.0,0.0
