cell_id,Elaenia martinica,Elaenia martinica [martinica Group],Elaenia martinica [cinerascens Group]
834424fffffffff,4.0,0.0,0.0
834505fffffffff,230.0,0.0,0.0
834508fffffffff,4.0,0.0,0.0
83450afffffffff,630.0,0.0,13.0
83450cfffffffff,3.0,0.0,0.0
83450efffffffff,51.0,0.0,0.0
834519fffffffff,2.0,0.0,0.0
83451dfffffffff,6.0,0.0,0.0
834584fffffffff,324.0,0.0,0.0
8345a3fffffffff,1150.0,0.0,0.0
8345aefffffffff,70.0,0.0,0.0
834cc0fffffffff,1621.0,0.0,0.0
834cc5fffffffff,1504.0,0.0,0.0
834ce8fffffffff,225.0,0.0,0.0
834ce9fffffffff,40.0,0.0,0.0
834ceafffffffff,688.0,0.0,0.0
834cebfffffffff,149.0,2.0,0.0
834cedfffffffff,15.0,0.0,0.0
834ceefffffffff,107.0,0.0,0.0
834d49fffffffff,28.0,0.0,0.0
834d4bfffffffff,715.0,0.0,0.0
835e40fffffffff,7.0,0.0,0.0
835e42fffffffff,54.0,2.0,0.0
835e43fffffffff,753.0,1.0,0.0
835e46fffffffff,506.0,100.0,0.0
835e4afffffffff,143.0,0.0,0.0
835e4bfffffffff,87.0,0.0,0.0
835e59fffffffff,327.0,3.0,0.0
835e5cfffffffff,690.0,0.0,0.0
835e5dfffffffff,833.0,10.0,0.0
835e66fffffffff,108.0,0.0,0.0
835e70fffffffff,152.0,0.0,0.0
835e71fffffffff,462.0,58.0,0.0
835e72fffffffff,281.0,0.0,0.0
835e75fffffffff,7.0,0.0,0.0
836740fffffffff,2.0,0.0,0.0
836744fffffffff,116.0,0.0,0.0
836746fffffffff,584.0,0.0,0.0
836773fffffffff,94.0,0.0,0.0
836780fffffffff,64.0,0.0,0.0
836783fffffffff,226.0,0.0,1.0
