cell_id,Scepomycter winifredae,Scepomycter winifredae winifredae,Scepomycter winifredae rubehoensis
8396b2fffffffff,8.0,0.0,8.0
8396b5fffffffff,1.0,1.0,0.0
8396b6fffffffff,3.0,2.0,0.0
