cell_id,Phaethornis malaris,Phaethornis malaris malaris/insolitus,Phaethornis malaris [moorei Group],Phaethornis malaris margarettae
82664ffffffffff,1.0,0.0,0.0,0.0
82665ffffffffff,3.0,0.0,0.0,0.0
8266c7fffffffff,11.0,0.0,0.0,0.0
8266dffffffffff,21.0,0.0,16.0,0.0
8266e7fffffffff,11.0,0.0,2.0,0.0
828137fffffffff,6.0,0.0,0.0,6.0
828187fffffffff,26.0,0.0,0.0,26.0
828a47fffffffff,6.0,0.0,0.0,0.0
828b6ffffffffff,6.0,0.0,0.0,0.0
828b77fffffffff,2.0,0.0,0.0,0.0
828b9ffffffffff,4.0,0.0,0.0,0.0
828f47fffffffff,4.0,0.0,0.0,0.0
828f77fffffffff,2.0,0.0,0.0,0.0
