cell_id,Botaurus exilis,Botaurus exilis exilis/pullus,Botaurus exilis [erythromelas Group]
822607fffffffff,16.0,0.0,0.0
82260ffffffffff,144.0,0.0,0.0
82261ffffffffff,22.0,0.0,0.0
822627fffffffff,130.0,0.0,0.0
82262ffffffffff,195.0,0.0,0.0
822637fffffffff,5.0,0.0,0.0
822647fffffffff,150.0,0.0,0.0
82264ffffffffff,8.0,0.0,0.0
822657fffffffff,173.0,0.0,0.0
82265ffffffffff,32.0,0.0,0.0
822667fffffffff,446.0,0.0,0.0
82266ffffffffff,216.0,0.0,0.0
822677fffffffff,106.0,0.0,0.0
8226cffffffffff,33.0,0.0,0.0
8226e7fffffffff,506.0,0.0,0.0
8226effffffffff,6.0,0.0,0.0
822707fffffffff,124.0,0.0,0.0
82270ffffffffff,2.0,0.0,0.0
822717fffffffff,13.0,0.0,0.0
82271ffffffffff,22.0,0.0,0.0
822747fffffffff,208.0,0.0,0.0
82274ffffffffff,474.0,0.0,0.0
822757fffffffff,102.0,0.0,0.0
82275ffffffffff,1032.0,0.0,0.0
82276ffffffffff,414.0,0.0,0.0
8227affffffffff,4.0,0.0,0.0
822837fffffffff,79.0,0.0,0.0
822917fffffffff,6.0,0.0,0.0
822987fffffffff,582.0,0.0,0.0
82298ffffffffff,5.0,0.0,0.0
8229a7fffffffff,3248.0,0.0,0.0
8229affffffffff,100.0,0.0,0.0
8229b7fffffffff,717.0,0.0,0.0
822a17fffffffff,1259.0,2.0,0.0
822a37fffffffff,889.0,0.0,0.0
822a4ffffffffff,20.0,0.0,0.0
822a87fffffffff,10.0,0.0,0.0
822a8ffffffffff,77.0,0.0,0.0
822a97fffffffff,209.0,0.0,0.0
822a9ffffffffff,22.0,0.0,0.0
822aa7fffffffff,519.0,0.0,0.0
822aaffffffffff,2327.0,0.0,0.0
822ab7fffffffff,2920.0,0.0,0.0
822ad7fffffffff,146.0,0.0,0.0
822af7fffffffff,467.0,0.0,0.0
822b07fffffffff,3.0,0.0,0.0
822b1ffffffffff,3.0,0.0,0.0
822b87fffffffff,432.0,0.0,0.0
822b8ffffffffff,513.0,0.0,0.0
822b9ffffffffff,1029.0,0.0,0.0
822baffffffffff,1281.0,0.0,0.0
824417fffffffff,772.0,0.0,0.0
82441ffffffffff,2008.0,0.0,0.0
824437fffffffff,56.0,0.0,0.0
824447fffffffff,863.0,0.0,0.0
82444ffffffffff,184.0,0.0,0.0
824457fffffffff,1012.0,0.0,0.0
82445ffffffffff,131.0,0.0,0.0
824467fffffffff,378.0,0.0,0.0
82446ffffffffff,4121.0,0.0,0.0
824477fffffffff,510.0,0.0,0.0
824487fffffffff,19.0,0.0,0.0
8244a7fffffffff,278.0,0.0,0.0
8244affffffffff,6088.0,0.0,0.0
8244b7fffffffff,165.0,0.0,0.0
8244c7fffffffff,166.0,0.0,0.0
8244cffffffffff,11.0,0.0,0.0
8244d7fffffffff,2938.0,0.0,0.0
8244e7fffffffff,651.0,0.0,0.0
8244effffffffff,2.0,0.0,0.0
