cell_id,Calendulauda africanoides,Calendulauda africanoides [africanoides Group],Calendulauda africanoides alopex/intercedens
846a49bffffffff,1.0,0.0,1.0
846a5abffffffff,21.0,0.0,21.0
847a401ffffffff,93.0,0.0,93.0
847a403ffffffff,23.0,0.0,21.0
847a405ffffffff,13.0,0.0,13.0
847a407ffffffff,128.0,0.0,123.0
847a40bffffffff,28.0,0.0,11.0
847a415ffffffff,2.0,0.0,0.0
847a417ffffffff,2.0,0.0,2.0
847a41dffffffff,94.0,0.0,92.0
847a457ffffffff,3.0,0.0,2.0
847a45dffffffff,6.0,0.0,6.0
847a485ffffffff,3.0,0.0,3.0
847a5a5ffffffff,4.0,0.0,4.0
847a5adffffffff,2.0,0.0,2.0
847a609ffffffff,2.0,0.0,2.0
847a60bffffffff,2.0,0.0,2.0
847a611ffffffff,10.0,0.0,7.0
847a615ffffffff,2.0,0.0,2.0
847a617ffffffff,2.0,0.0,2.0
847a619ffffffff,17.0,0.0,17.0
847a61bffffffff,7.0,0.0,7.0
847a61dffffffff,44.0,0.0,43.0
847a633ffffffff,2.0,0.0,2.0
847a637ffffffff,2.0,0.0,2.0
847a641ffffffff,4.0,0.0,4.0
847a643ffffffff,2.0,0.0,2.0
847a647ffffffff,2.0,0.0,2.0
847a651ffffffff,2.0,0.0,1.0
847a653ffffffff,2.0,0.0,2.0
847a657ffffffff,44.0,0.0,44.0
847a65dffffffff,17.0,0.0,16.0
847a681ffffffff,19.0,0.0,18.0
847a683ffffffff,10.0,0.0,9.0
847a685ffffffff,1.0,0.0,1.0
847a689ffffffff,2.0,0.0,2.0
847a68bffffffff,7.0,0.0,5.0
847a6a1ffffffff,8.0,0.0,7.0
847a6adffffffff,3.0,0.0,3.0
847a6c9ffffffff,4.0,0.0,4.0
847a6cdffffffff,1.0,0.0,1.0
847a6d1ffffffff,93.0,0.0,85.0
847a6d5ffffffff,1.0,0.0,1.0
847a6d9ffffffff,11.0,0.0,11.0
847a6dbffffffff,12.0,0.0,12.0
847a6e1ffffffff,42.0,0.0,41.0
847a6e5ffffffff,110.0,0.0,87.0
847a6e7ffffffff,10.0,0.0,10.0
847a6e9ffffffff,7.0,0.0,6.0
847a6ebffffffff,3.0,0.0,1.0
847a6edffffffff,16.0,0.0,15.0
847ac87ffffffff,1.0,0.0,1.0
847ac8bffffffff,9.0,0.0,9.0
847ad99ffffffff,12.0,0.0,12.0
847ae81ffffffff,2.0,0.0,2.0
847ae85ffffffff,2.0,0.0,0.0
