cell_id,Cecropis melanocrissus,Cecropis melanocrissus domicella,Cecropis melanocrissus [melanocrissus Group]
8452831ffffffff,2.0,0.0,0.0
845291bffffffff,1.0,0.0,0.0
8452997ffffffff,2.0,0.0,0.0
84529b5ffffffff,6.0,0.0,0.0
84529b7ffffffff,1.0,0.0,1.0
84529b9ffffffff,10.0,0.0,1.0
84529bbffffffff,2.0,0.0,2.0
8454187ffffffff,1.0,1.0,0.0
8454197ffffffff,5.0,5.0,0.0
84541a3ffffffff,28.0,28.0,0.0
84541a5ffffffff,1.0,1.0,0.0
84541a7ffffffff,5.0,5.0,0.0
84541b5ffffffff,4.0,4.0,0.0
84541b9ffffffff,27.0,27.0,0.0
84541bbffffffff,8.0,8.0,0.0
84541bdffffffff,42.0,42.0,0.0
8454a93ffffffff,2.0,2.0,0.0
8454a9bffffffff,5.0,5.0,0.0
8454e21ffffffff,1.0,1.0,0.0
8454e25ffffffff,4.0,4.0,0.0
8454e4dffffffff,6.0,6.0,0.0
8454e5bffffffff,1.0,1.0,0.0
8454e97ffffffff,1.0,1.0,0.0
8454f0dffffffff,1.0,1.0,0.0
8454f15ffffffff,1.0,1.0,0.0
8454f1bffffffff,2.0,2.0,0.0
8454f43ffffffff,1.0,1.0,0.0
8454f49ffffffff,1.0,1.0,0.0
8454f4dffffffff,17.0,17.0,0.0
8454f55ffffffff,1.0,1.0,0.0
8454f57ffffffff,7.0,7.0,0.0
8454f59ffffffff,1.0,1.0,0.0
8454f6bffffffff,1.0,1.0,0.0
8458585ffffffff,1.0,1.0,0.0
8458883ffffffff,2.0,2.0,0.0
845895bffffffff,1.0,1.0,0.0
8458c8bffffffff,1.0,1.0,0.0
8458cd9ffffffff,1.0,1.0,0.0
8458d1dffffffff,1.0,1.0,0.0
8458e2dffffffff,23.0,23.0,0.0
8458e67ffffffff,2.0,2.0,0.0
8458f47ffffffff,2.0,2.0,0.0
8458f53ffffffff,1.0,1.0,0.0
8458f5bffffffff,6.0,6.0,0.0
8459985ffffffff,32.0,32.0,0.0
84599b1ffffffff,1.0,1.0,0.0
84599e5ffffffff,4.0,4.0,0.0
84599e7ffffffff,8.0,8.0,0.0
846a5a9ffffffff,2.0,0.0,2.0
846ac15ffffffff,1.0,0.0,1.0
846ac37ffffffff,2.0,0.0,2.0
846ac3dffffffff,5.0,0.0,5.0
846ac89ffffffff,2.0,0.0,0.0
846ac93ffffffff,2.0,0.0,2.0
846ace5ffffffff,8.0,0.0,8.0
846ad81ffffffff,1.0,0.0,1.0
846ad89ffffffff,2.0,0.0,2.0
846ad8dffffffff,1.0,0.0,1.0
846adc1ffffffff,27.0,0.0,27.0
846adc3ffffffff,3.0,0.0,3.0
846adc7ffffffff,1.0,0.0,1.0
