cell_id,Hirundo rustica,Hirundo rustica rustica,Hirundo rustica savignii,Hirundo rustica transitiva,Hirundo rustica tytleri,Hirundo rustica gutturalis/mandschurica,Hirundo rustica erythrogaster
8401261ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8401265ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840130bffffffff,22.0,2.0,0.0,0.0,0.0,0.0,0.0
8401319ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
840131dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
840134bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8401351ffffffff,24.0,6.0,0.0,0.0,0.0,0.0,0.0
8401353ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8401355ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
840135bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8401b31ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8402417ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84024c5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8402cadffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8404cddffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8407411ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8407417ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407419ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8407433ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840744bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8407451ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8407455ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8407457ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
840745dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84074e9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84074edffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
840755dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84075c7ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
84075d1ffffffff,29.0,6.0,0.0,0.0,0.0,0.0,0.0
84075ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84075ebffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8407623ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8407635ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8407703ffffffff,5.0,5.0,0.0,0.0,0.0,0.0,0.0
8407731ffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8407733ffffffff,4.0,4.0,0.0,0.0,0.0,0.0,0.0
8408021ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408023ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408025ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840802dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408065ffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8408107ffffffff,8.0,1.0,0.0,0.0,0.0,0.0,0.0
840810dffffffff,4.0,1.0,0.0,0.0,0.0,0.0,0.0
8408111ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840811dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408129ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408133ffffffff,11.0,1.0,0.0,0.0,0.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840813bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
840814bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840814dffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408151ffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0
8408153ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408159ffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0
840815bffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
8408165ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8408169ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
840816bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
840816dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
840818bffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
8408193ffffffff,13.0,5.0,0.0,0.0,0.0,0.0,0.0
