cell_id,Plectropterus gambensis,Plectropterus gambensis gambensis,Plectropterus gambensis niger
842db01ffffffff,2.0,0.0,0.0
8443a13ffffffff,4.0,0.0,0.0
8454139ffffffff,4.0,4.0,0.0
8454ac3ffffffff,3.0,0.0,0.0
8454e25ffffffff,2.0,0.0,0.0
8454f45ffffffff,2.0,0.0,0.0
8454f57ffffffff,2.0,0.0,0.0
8458a4dffffffff,2.0,0.0,0.0
84599e5ffffffff,1.0,0.0,0.0
846ad8bffffffff,4.0,0.0,0.0
847a401ffffffff,1.0,0.0,0.0
847a40dffffffff,2.0,0.0,0.0
847a457ffffffff,1.0,0.0,0.0
847a61dffffffff,4.0,0.0,0.0
847a643ffffffff,6.0,0.0,0.0
847a65dffffffff,4.0,0.0,0.0
847a669ffffffff,2.0,0.0,0.0
847a683ffffffff,2.0,0.0,0.0
847a687ffffffff,4.0,0.0,0.0
847a6adffffffff,5.0,0.0,0.0
847a6e5ffffffff,1.0,0.0,0.0
847ac81ffffffff,2.0,0.0,0.0
847ac87ffffffff,3.0,0.0,0.0
847ac9dffffffff,3.0,0.0,0.0
847aca3ffffffff,6.0,0.0,0.0
847b4a1ffffffff,2.0,0.0,0.0
847b597ffffffff,2.0,0.0,0.0
84962d7ffffffff,3.0,0.0,0.0
8496905ffffffff,2.0,0.0,0.0
8496907ffffffff,2.0,0.0,0.0
849692bffffffff,2.0,0.0,0.0
8496935ffffffff,1.0,0.0,0.0
8497119ffffffff,3.0,0.0,0.0
84974abffffffff,3.0,0.0,0.0
8497513ffffffff,5.0,0.0,3.0
8497517ffffffff,1.0,0.0,1.0
84975b1ffffffff,2.0,0.0,0.0
84ac8a9ffffffff,2.0,0.0,0.0
84aca61ffffffff,9.0,0.0,0.0
84ad369ffffffff,23.0,0.0,11.0
84bc6abffffffff,2.0,0.0,0.0
84bc6bbffffffff,2.0,0.0,2.0
84bcd4bffffffff,2.0,0.0,2.0
84bcd63ffffffff,1.0,0.0,1.0
84bcd67ffffffff,1.0,0.0,1.0
84bcdd7ffffffff,2.0,0.0,0.0
84bcf29ffffffff,3.0,0.0,0.0
84bcf5bffffffff,9.0,0.0,0.0
