cell_id,Toxostoma lecontei,Toxostoma lecontei lecontei/macmillanorum,Toxostoma lecontei arenicola
8429809ffffffff,7.0,0.0,0.0
8429819ffffffff,2.0,0.0,0.0
842981dffffffff,6.0,0.0,0.0
8429845ffffffff,2.0,0.0,0.0
8429847ffffffff,1.0,0.0,0.0
842985bffffffff,2.0,0.0,0.0
8429863ffffffff,143.0,0.0,0.0
8429869ffffffff,15.0,0.0,0.0
842986bffffffff,12.0,0.0,0.0
842986dffffffff,2.0,0.0,0.0
8429883ffffffff,20.0,0.0,0.0
84298cdffffffff,34.0,0.0,0.0
8429953ffffffff,2.0,0.0,0.0
842995bffffffff,1.0,0.0,0.0
8429a01ffffffff,2.0,0.0,0.0
8429a17ffffffff,3.0,0.0,0.0
8429a29ffffffff,2.0,0.0,0.0
8429a31ffffffff,10.0,0.0,0.0
8429a3bffffffff,17.0,0.0,0.0
8429a61ffffffff,8.0,0.0,0.0
8429a67ffffffff,1.0,0.0,0.0
8429a69ffffffff,25.0,0.0,0.0
8429a6bffffffff,41.0,0.0,0.0
8429a8bffffffff,1.0,0.0,0.0
8429ac1ffffffff,9.0,0.0,0.0
8429ac5ffffffff,4.0,2.0,0.0
8429ac7ffffffff,2.0,0.0,0.0
8429ae5ffffffff,1.0,0.0,0.0
8429b11ffffffff,4.0,0.0,0.0
8429b13ffffffff,19.0,0.0,0.0
8429b1bffffffff,2.0,1.0,0.0
8429b55ffffffff,7.0,0.0,0.0
8429b57ffffffff,4.0,0.0,0.0
8429b5dffffffff,2.0,0.0,0.0
8448559ffffffff,6.0,0.0,0.0
8448597ffffffff,14.0,0.0,0.0
84485a3ffffffff,36.0,0.0,0.0
84485a5ffffffff,1.0,1.0,0.0
84485a7ffffffff,65.0,0.0,0.0
84485abffffffff,1.0,0.0,0.0
84485adffffffff,5.0,0.0,0.0
84485b1ffffffff,18.0,0.0,0.0
84485b3ffffffff,19.0,0.0,0.0
8448731ffffffff,9.0,0.0,9.0
8448733ffffffff,23.0,0.0,18.0
8448735ffffffff,1.0,0.0,0.0
844873bffffffff,1.0,0.0,1.0
844873dffffffff,2.0,0.0,1.0
8448e83ffffffff,46.0,2.0,0.0
8448e93ffffffff,255.0,19.0,0.0
8448ed3ffffffff,24.0,0.0,0.0
