cell_id,Galerida cristata,Galerida cristata [cristata Group],Galerida cristata macrorhyncha/randonii
8410969ffffffff,4.0,0.0,0.0
841126dffffffff,2.0,0.0,0.0
8415913ffffffff,3.0,0.0,0.0
8415927ffffffff,4.0,0.0,0.0
8415b07ffffffff,4.0,0.0,0.0
8418495ffffffff,7.0,0.0,0.0
8418497ffffffff,3.0,0.0,0.0
841849dffffffff,1.0,0.0,0.0
84184b3ffffffff,13.0,0.0,0.0
84184b7ffffffff,80.0,0.0,0.0
84184d5ffffffff,6.0,0.0,0.0
84185b5ffffffff,12.0,0.0,0.0
84185bbffffffff,8.0,0.0,0.0
84186a1ffffffff,4.0,0.0,0.0
84186a3ffffffff,5.0,0.0,0.0
84186a5ffffffff,3.0,0.0,0.0
84186a7ffffffff,6.0,0.0,0.0
84186c1ffffffff,2.0,0.0,0.0
84186c9ffffffff,4.0,0.0,0.0
84186cbffffffff,2.0,0.0,0.0
8419481ffffffff,6.0,0.0,0.0
8419483ffffffff,9.0,0.0,0.0
841948bffffffff,7.0,0.0,0.0
84194b9ffffffff,2.0,0.0,0.0
84194d5ffffffff,8.0,0.0,0.0
84194d9ffffffff,2.0,0.0,0.0
84194ddffffffff,2.0,0.0,0.0
841969bffffffff,2.0,0.0,0.0
841e013ffffffff,1.0,0.0,0.0
841e021ffffffff,6.0,1.0,0.0
841e023ffffffff,22.0,1.0,0.0
841e025ffffffff,18.0,0.0,0.0
841e027ffffffff,2.0,0.0,0.0
841e029ffffffff,11.0,1.0,0.0
841e02bffffffff,1.0,0.0,0.0
841e02dffffffff,118.0,2.0,0.0
841e031ffffffff,6.0,0.0,0.0
841e033ffffffff,6.0,0.0,0.0
841e035ffffffff,7.0,0.0,0.0
841e037ffffffff,39.0,3.0,0.0
841e039ffffffff,3.0,0.0,0.0
841e03dffffffff,2.0,0.0,0.0
841e041ffffffff,16.0,0.0,0.0
841e045ffffffff,1.0,0.0,0.0
841e047ffffffff,5.0,0.0,0.0
841e061ffffffff,15.0,0.0,0.0
841e063ffffffff,16.0,0.0,0.0
841e067ffffffff,24.0,0.0,0.0
841e069ffffffff,33.0,0.0,0.0
841e06bffffffff,18.0,0.0,0.0
841e06dffffffff,3.0,0.0,0.0
841e085ffffffff,42.0,0.0,0.0
