cell_id,Setophaga palmarum,Setophaga palmarum palmarum,Setophaga palmarum hypochrysea
820d67fffffffff,1.0,0.0,0.0
820d6ffffffffff,9.0,0.0,0.0
820e47fffffffff,2.0,0.0,0.0
820e4ffffffffff,154.0,0.0,0.0
820e57fffffffff,43.0,0.0,0.0
820e5ffffffffff,37.0,0.0,0.0
820e87fffffffff,141.0,0.0,0.0
820e8ffffffffff,20.0,0.0,0.0
820e97fffffffff,12.0,0.0,0.0
820e9ffffffffff,5.0,0.0,0.0
820ec7fffffffff,67.0,6.0,0.0
820ecffffffffff,440.0,58.0,0.0
820ed7fffffffff,30.0,0.0,0.0
820edffffffffff,17.0,0.0,0.0
820ee7fffffffff,4.0,0.0,0.0
820eeffffffffff,903.0,5.0,0.0
820ef7fffffffff,28.0,0.0,0.0
82120ffffffffff,14.0,14.0,0.0
821217fffffffff,8.0,0.0,0.0
82121ffffffffff,13.0,0.0,0.0
821227fffffffff,6.0,0.0,0.0
82122ffffffffff,1.0,0.0,0.0
821237fffffffff,12.0,0.0,0.0
821247fffffffff,36.0,0.0,0.0
82124ffffffffff,5.0,0.0,0.0
821257fffffffff,225.0,48.0,0.0
82125ffffffffff,191.0,52.0,0.0
821267fffffffff,35.0,0.0,0.0
82126ffffffffff,7.0,2.0,0.0
821277fffffffff,76.0,35.0,0.0
8212c7fffffffff,13.0,0.0,0.0
8212cffffffffff,144.0,23.0,0.0
8212e7fffffffff,20.0,3.0,0.0
8212effffffffff,138.0,32.0,0.0
8212f7fffffffff,1.0,0.0,0.0
821307fffffffff,4.0,0.0,0.0
821317fffffffff,10.0,0.0,0.0
821357fffffffff,107.0,0.0,0.0
821aa7fffffffff,148.0,0.0,27.0
821ab7fffffffff,10.0,0.0,0.0
821b8ffffffffff,2.0,0.0,0.0
821b97fffffffff,1.0,0.0,0.0
821b9ffffffffff,49.0,0.0,0.0
822607fffffffff,147.0,12.0,0.0
82260ffffffffff,346.0,34.0,0.0
822617fffffffff,8.0,1.0,0.0
822627fffffffff,1799.0,121.0,0.0
82262ffffffffff,3480.0,242.0,0.0
822637fffffffff,101.0,21.0,0.0
822647fffffffff,2684.0,185.0,0.0
82264ffffffffff,3448.0,394.0,8.0
822657fffffffff,1359.0,84.0,0.0
82265ffffffffff,946.0,100.0,0.0
822667fffffffff,19441.0,3276.0,0.0
82266ffffffffff,3190.0,263.0,0.0
822677fffffffff,937.0,115.0,0.0
82268ffffffffff,45.0,3.0,0.0
8226affffffffff,15.0,10.0,0.0
8226cffffffffff,3.0,0.0,0.0
8226d7fffffffff,9.0,0.0,0.0
8226e7fffffffff,247.0,30.0,0.0
8226effffffffff,182.0,18.0,0.0
8226f7fffffffff,25.0,16.0,0.0
822707fffffffff,1697.0,268.0,0.0
82270ffffffffff,971.0,249.0,0.0
822717fffffffff,465.0,62.0,0.0
82271ffffffffff,575.0,62.0,0.0
82272ffffffffff,10.0,2.0,0.0
822737fffffffff,3.0,0.0,0.0
822747fffffffff,3059.0,606.0,0.0
82274ffffffffff,9023.0,945.0,0.0
822757fffffffff,6919.0,1593.0,0.0
82275ffffffffff,17300.0,1245.0,0.0
822767fffffffff,1711.0,350.0,0.0
82276ffffffffff,3868.0,663.0,0.0
822777fffffffff,1083.0,363.0,0.0
822787fffffffff,6.0,6.0,0.0
82278ffffffffff,24.0,2.0,0.0
822797fffffffff,2.0,0.0,0.0
8227a7fffffffff,277.0,63.0,0.0
8227affffffffff,151.0,10.0,0.0
8227b7fffffffff,13.0,6.0,0.0
822807fffffffff,42.0,14.0,0.0
82281ffffffffff,170.0,62.0,0.0
822837fffffffff,3342.0,2731.0,0.0
8228c7fffffffff,32.0,9.0,0.0
