cell_id,Zosterops kaffensis,Zosterops kaffensis kaffensis,Zosterops kaffensis kulalensis
825297fffffffff,10.0,10.0,0.0
82529ffffffffff,10.0,9.0,0.0
826a47fffffffff,1.0,0.0,0.0
826a4ffffffffff,7.0,2.0,0.0
826a6ffffffffff,25.0,7.0,0.0
827acffffffffff,11.0,0.0,0.0
