cell_id,Apus barbatus,Apus barbatus sladeniae,Apus barbatus [barbatus Group]
8458d33ffffffff,6.0,0.0,0.0
8458debffffffff,6.0,0.0,0.0
846a5a7ffffffff,1.0,0.0,0.0
846a5a9ffffffff,3.0,0.0,0.0
846ac03ffffffff,1.0,0.0,0.0
846ac15ffffffff,14.0,0.0,2.0
846ac1dffffffff,2.0,0.0,0.0
846ac3dffffffff,8.0,0.0,3.0
846ace5ffffffff,19.0,0.0,18.0
846ad8bffffffff,4.0,0.0,0.0
846ad8dffffffff,4.0,0.0,0.0
846adc1ffffffff,42.0,0.0,5.0
846adc3ffffffff,11.0,0.0,4.0
846adc5ffffffff,2.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0
846adc9ffffffff,4.0,0.0,0.0
846add5ffffffff,4.0,0.0,0.0
846adddffffffff,2.0,0.0,0.0
846ade7ffffffff,2.0,0.0,0.0
846ae85ffffffff,3.0,0.0,0.0
846aea1ffffffff,12.0,0.0,4.0
846aea9ffffffff,1.0,0.0,0.0
846aeabffffffff,3.0,0.0,1.0
846aee3ffffffff,3.0,0.0,0.0
847a401ffffffff,2.0,0.0,0.0
847a407ffffffff,1.0,0.0,0.0
847a40bffffffff,13.0,0.0,0.0
847a41bffffffff,1.0,0.0,0.0
847a41dffffffff,2.0,0.0,0.0
847a453ffffffff,41.0,0.0,0.0
847a455ffffffff,11.0,0.0,0.0
847a457ffffffff,16.0,0.0,0.0
847a45bffffffff,2.0,0.0,0.0
847a481ffffffff,4.0,0.0,0.0
847a489ffffffff,1.0,0.0,0.0
847a48bffffffff,2.0,0.0,0.0
847a48dffffffff,2.0,0.0,0.0
847a495ffffffff,2.0,0.0,0.0
847a4b1ffffffff,2.0,0.0,0.0
847a4c1ffffffff,8.0,0.0,0.0
847a4c3ffffffff,1.0,0.0,0.0
847a4c5ffffffff,2.0,0.0,0.0
847a4cbffffffff,2.0,0.0,0.0
847a4cdffffffff,2.0,0.0,0.0
847a4ddffffffff,2.0,0.0,0.0
847a4e3ffffffff,2.0,0.0,0.0
847a609ffffffff,32.0,0.0,0.0
847a641ffffffff,2.0,0.0,0.0
847a643ffffffff,1.0,0.0,0.0
847a653ffffffff,19.0,0.0,1.0
847a659ffffffff,6.0,0.0,0.0
847a681ffffffff,16.0,0.0,0.0
847a683ffffffff,18.0,0.0,0.0
847a687ffffffff,1.0,0.0,0.0
847a689ffffffff,2.0,0.0,2.0
847a68bffffffff,2.0,0.0,0.0
847a6a1ffffffff,56.0,0.0,0.0
847a6a5ffffffff,14.0,0.0,0.0
847a6adffffffff,43.0,0.0,0.0
847a6b7ffffffff,2.0,0.0,0.0
847a6d1ffffffff,16.0,0.0,0.0
847a6d9ffffffff,15.0,0.0,4.0
847a6dbffffffff,1.0,0.0,0.0
847a6ddffffffff,4.0,0.0,0.0
847a6e5ffffffff,33.0,0.0,0.0
847a6e7ffffffff,6.0,0.0,0.0
847b487ffffffff,5.0,0.0,0.0
847b4b1ffffffff,8.0,0.0,0.0
847b4b7ffffffff,1.0,0.0,0.0
847b4b9ffffffff,15.0,0.0,0.0
8482a81ffffffff,3.0,0.0,0.0
8482d1dffffffff,2.0,2.0,0.0
8496201ffffffff,2.0,0.0,0.0
8496203ffffffff,1.0,0.0,0.0
8496267ffffffff,2.0,0.0,2.0
84962d7ffffffff,2.0,0.0,0.0
8496365ffffffff,5.0,0.0,0.0
84968d1ffffffff,2.0,0.0,0.0
8496907ffffffff,22.0,0.0,0.0
8496921ffffffff,13.0,0.0,3.0
8496925ffffffff,71.0,0.0,14.0
849692bffffffff,10.0,0.0,5.0
849692dffffffff,4.0,0.0,0.0
8496933ffffffff,5.0,0.0,1.0
8496935ffffffff,45.0,0.0,11.0
8496937ffffffff,14.0,0.0,0.0
849693dffffffff,17.0,0.0,6.0
84969a1ffffffff,1.0,0.0,0.0
