cell_id,Monasa morphoeus,Monasa morphoeus grandior/fidelis,Monasa morphoeus pallescens/sclateri,Monasa morphoeus [morphoeus Group]
834530fffffffff,20.0,0.0,0.0,0.0
834532fffffffff,26.0,0.0,0.0,0.0
834534fffffffff,3.0,0.0,0.0,0.0
834536fffffffff,7.0,0.0,0.0,0.0
836608fffffffff,2.0,0.0,0.0,0.0
83660afffffffff,161.0,0.0,7.0,0.0
836610fffffffff,81.0,0.0,10.0,0.0
836611fffffffff,12.0,0.0,0.0,0.0
836612fffffffff,5.0,0.0,0.0,0.0
836613fffffffff,156.0,0.0,24.0,0.0
836616fffffffff,124.0,0.0,21.0,0.0
83661afffffffff,53.0,0.0,10.0,0.0
83661cfffffffff,3.0,0.0,0.0,0.0
83661efffffffff,19.0,0.0,0.0,0.0
836641fffffffff,4.0,0.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0,0.0
83665afffffffff,132.0,0.0,0.0,0.0
83665bfffffffff,261.0,0.0,0.0,0.0
8366adfffffffff,1.0,0.0,0.0,0.0
8366b4fffffffff,130.0,0.0,0.0,0.0
8366b5fffffffff,13.0,0.0,0.0,0.0
8366c0fffffffff,6.0,0.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0,0.0
8366c2fffffffff,229.0,0.0,0.0,0.0
8366c5fffffffff,63.0,0.0,0.0,0.0
8366c9fffffffff,2.0,0.0,0.0,0.0
8366cdfffffffff,7.0,0.0,0.0,0.0
8366cefffffffff,21.0,0.0,0.0,0.0
8366d1fffffffff,86.0,0.0,0.0,0.0
8366d8fffffffff,68.0,0.0,0.0,4.0
8366dafffffffff,1.0,0.0,0.0,0.0
8366dbfffffffff,9.0,0.0,0.0,0.0
8366dcfffffffff,673.0,0.0,0.0,61.0
8366ddfffffffff,91.0,0.0,0.0,10.0
8366defffffffff,182.0,0.0,0.0,23.0
8366e0fffffffff,2.0,0.0,0.0,0.0
8366e3fffffffff,97.0,0.0,0.0,0.0
8366e8fffffffff,6.0,0.0,0.0,0.0
8366e9fffffffff,1.0,0.0,0.0,0.0
8366eafffffffff,12.0,0.0,0.0,0.0
8366ecfffffffff,98.0,0.0,0.0,0.0
8366eefffffffff,89.0,0.0,0.0,0.0
8366f0fffffffff,171.0,0.0,2.0,0.0
836793fffffffff,5.0,0.0,0.0,0.0
836794fffffffff,12.0,0.0,0.0,0.0
836796fffffffff,30.0,0.0,0.0,0.0
83679afffffffff,208.0,0.0,0.0,0.0
83679bfffffffff,29.0,0.0,0.0,0.0
836d68fffffffff,92.0,0.0,0.0,0.0
836d69fffffffff,973.0,0.0,0.0,0.0
836d6dfffffffff,112.0,0.0,0.0,0.0
838044fffffffff,15.0,0.0,0.0,0.0
838046fffffffff,90.0,0.0,0.0,5.0
838061fffffffff,11.0,0.0,0.0,0.0
838062fffffffff,10.0,0.0,0.0,0.0
838065fffffffff,43.0,0.0,0.0,0.0
838066fffffffff,15.0,0.0,0.0,0.0
838071fffffffff,25.0,0.0,0.0,0.0
838072fffffffff,2.0,0.0,0.0,0.0
838074fffffffff,4.0,0.0,0.0,0.0
838075fffffffff,10.0,0.0,0.0,3.0
838114fffffffff,3.0,0.0,0.0,0.0
838132fffffffff,35.0,0.0,0.0,0.0
838134fffffffff,6.0,0.0,0.0,0.0
838136fffffffff,7.0,0.0,0.0,1.0
838140fffffffff,12.0,0.0,0.0,0.0
838143fffffffff,4.0,0.0,0.0,0.0
83814afffffffff,124.0,0.0,0.0,0.0
83814dfffffffff,55.0,0.0,0.0,0.0
83814efffffffff,61.0,0.0,0.0,0.0
838159fffffffff,8.0,0.0,0.0,0.0
83815afffffffff,8.0,0.0,0.0,1.0
83815dfffffffff,36.0,0.0,0.0,0.0
838163fffffffff,5.0,0.0,0.0,0.0
838a00fffffffff,9.0,0.0,0.0,1.0
838a01fffffffff,8.0,0.0,0.0,0.0
838a04fffffffff,4.0,0.0,0.0,0.0
838a05fffffffff,88.0,0.0,0.0,7.0
838a06fffffffff,2.0,0.0,0.0,0.0
838a10fffffffff,46.0,0.0,0.0,0.0
838a13fffffffff,2.0,0.0,0.0,0.0
838a15fffffffff,28.0,0.0,0.0,1.0
838a1afffffffff,11.0,0.0,0.0,2.0
838a1efffffffff,2.0,0.0,0.0,0.0
838a20fffffffff,1.0,0.0,0.0,1.0
838a21fffffffff,15.0,0.0,0.0,0.0
838a23fffffffff,5.0,0.0,0.0,0.0
838a24fffffffff,2.0,0.0,0.0,0.0
838a2cfffffffff,2.0,0.0,0.0,0.0
838a31fffffffff,85.0,0.0,0.0,12.0
838a33fffffffff,14.0,0.0,0.0,0.0
838a45fffffffff,24.0,0.0,0.0,0.0
838a48fffffffff,3.0,0.0,0.0,0.0
838a4bfffffffff,2.0,0.0,0.0,0.0
838a56fffffffff,2.0,0.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0,1.0
838a63fffffffff,19.0,0.0,0.0,0.0
838a68fffffffff,8.0,0.0,0.0,0.0
