cell_id,Fulmarus glacialis,Fulmarus glacialis glacialis/auduboni,Fulmarus glacialis rodgersii
830001fffffffff,6.0,0.0,0.0
830028fffffffff,26.0,6.0,0.0
830029fffffffff,17.0,0.0,0.0
83002bfffffffff,10.0,1.0,0.0
83002cfffffffff,17.0,0.0,0.0
83002dfffffffff,21.0,6.0,0.0
83002efffffffff,3.0,0.0,0.0
830070fffffffff,5.0,0.0,0.0
830072fffffffff,3.0,0.0,0.0
830074fffffffff,2.0,2.0,0.0
830075fffffffff,4.0,0.0,0.0
830076fffffffff,11.0,0.0,0.0
83010dfffffffff,4.0,0.0,0.0
830120fffffffff,2.0,0.0,0.0
830121fffffffff,4.0,0.0,0.0
830122fffffffff,2.0,0.0,0.0
830123fffffffff,8.0,0.0,0.0
830125fffffffff,1.0,0.0,0.0
83012efffffffff,2.0,0.0,0.0
830130fffffffff,47.0,5.0,0.0
830131fffffffff,37.0,0.0,0.0
830134fffffffff,1.0,0.0,0.0
830135fffffffff,16.0,2.0,0.0
830141fffffffff,1.0,0.0,0.0
830150fffffffff,45.0,0.0,0.0
830151fffffffff,65.0,12.0,0.0
830152fffffffff,21.0,1.0,0.0
830153fffffffff,173.0,35.0,0.0
830154fffffffff,9.0,0.0,0.0
830155fffffffff,1.0,0.0,0.0
830156fffffffff,1.0,0.0,0.0
830158fffffffff,2.0,2.0,0.0
83015afffffffff,114.0,23.0,0.0
83015cfffffffff,2.0,1.0,0.0
83015efffffffff,173.0,97.0,0.0
830161fffffffff,1.0,0.0,0.0
830168fffffffff,1.0,0.0,0.0
83016efffffffff,1.0,0.0,0.0
830175fffffffff,1.0,0.0,0.0
830240fffffffff,45.0,0.0,0.0
830241fffffffff,20.0,0.0,0.0
830242fffffffff,7.0,0.0,0.0
830243fffffffff,8.0,0.0,0.0
830244fffffffff,5.0,0.0,0.0
830245fffffffff,4.0,0.0,0.0
830246fffffffff,2.0,0.0,0.0
83024cfffffffff,55.0,0.0,0.0
83024dfffffffff,2.0,0.0,0.0
83024efffffffff,8.0,0.0,0.0
830250fffffffff,34.0,0.0,0.0
830251fffffffff,28.0,0.0,0.0
830252fffffffff,2.0,0.0,0.0
830255fffffffff,3.0,0.0,0.0
83025afffffffff,2.0,0.0,0.0
83025cfffffffff,10.0,0.0,0.0
83025efffffffff,6.0,0.0,0.0
830264fffffffff,2.0,0.0,0.0
830265fffffffff,2.0,0.0,0.0
83026bfffffffff,9.0,0.0,0.0
830270fffffffff,2.0,0.0,0.0
830271fffffffff,11.0,0.0,0.0
830273fffffffff,2.0,0.0,0.0
830276fffffffff,1.0,0.0,0.0
8302c8fffffffff,2.0,0.0,0.0
8302cdfffffffff,2.0,0.0,0.0
8302dafffffffff,2.0,0.0,0.0
8302e8fffffffff,11.0,0.0,0.0
8302ebfffffffff,5.0,0.0,0.0
8302ecfffffffff,3.0,0.0,0.0
8302edfffffffff,9.0,0.0,0.0
830359fffffffff,2.0,0.0,0.0
830601fffffffff,2.0,0.0,0.0
830621fffffffff,3.0,0.0,0.0
830622fffffffff,2.0,0.0,0.0
830626fffffffff,10.0,0.0,0.0
83062afffffffff,2.0,0.0,0.0
83062cfffffffff,7.0,0.0,0.0
83062dfffffffff,2.0,0.0,0.0
83062efffffffff,1.0,0.0,0.0
830640fffffffff,1.0,0.0,0.0
830643fffffffff,1.0,0.0,0.0
830646fffffffff,1.0,0.0,0.0
830652fffffffff,2.0,0.0,0.0
830653fffffffff,1.0,0.0,0.0
830656fffffffff,4.0,0.0,0.0
830659fffffffff,1.0,0.0,0.0
83065cfffffffff,2.0,0.0,0.0
83065efffffffff,2.0,1.0,0.0
830662fffffffff,10.0,1.0,0.0
830666fffffffff,1.0,0.0,0.0
830670fffffffff,4.0,0.0,0.0
830672fffffffff,1.0,0.0,0.0
830674fffffffff,1.0,0.0,0.0
830688fffffffff,7.0,0.0,0.0
830689fffffffff,43.0,12.0,0.0
830690fffffffff,2.0,0.0,0.0
830695fffffffff,5.0,0.0,0.0
830696fffffffff,4.0,0.0,0.0
