cell_id,Cyanistes cyanus,Cyanistes cyanus [cyanus Group],Cyanistes cyanus [flavipectus Group]
820bb7fffffffff,2.0,0.0,0.0
8210c7fffffffff,65.0,0.0,0.0
8210dffffffffff,7.0,0.0,0.0
82118ffffffffff,1.0,0.0,0.0
8211affffffffff,108.0,17.0,0.0
8214affffffffff,61.0,0.0,0.0
8214d7fffffffff,1.0,0.0,0.0
821597fffffffff,9.0,0.0,0.0
82159ffffffffff,4.0,0.0,0.0
8215b7fffffffff,2.0,0.0,0.0
821e67fffffffff,6.0,0.0,0.0
821f5ffffffffff,15.0,0.0,0.0
821f77fffffffff,1.0,0.0,0.0
82200ffffffffff,44.0,19.0,0.0
822017fffffffff,32.0,0.0,30.0
82201ffffffffff,61.0,11.0,5.0
82204ffffffffff,39.0,6.0,0.0
82205ffffffffff,28.0,7.0,0.0
822077fffffffff,1.0,0.0,0.0
822087fffffffff,27.0,0.0,22.0
82208ffffffffff,4.0,1.0,0.0
8220a7fffffffff,66.0,0.0,62.0
8220affffffffff,37.0,4.0,28.0
8220b7fffffffff,2.0,0.0,2.0
8220c7fffffffff,2.0,0.0,0.0
8220cffffffffff,5.0,0.0,0.0
8220e7fffffffff,136.0,53.0,2.0
8220effffffffff,14.0,0.0,0.0
8220f7fffffffff,15.0,0.0,1.0
82212ffffffffff,1.0,0.0,0.0
82214ffffffffff,2.0,0.0,0.0
822157fffffffff,7.0,0.0,0.0
82242ffffffffff,4.0,0.0,0.0
822467fffffffff,8.0,0.0,0.0
82246ffffffffff,2.0,0.0,0.0
822507fffffffff,1.0,0.0,0.0
822517fffffffff,75.0,0.0,0.0
82251ffffffffff,1.0,0.0,0.0
822547fffffffff,48.0,0.0,0.0
822557fffffffff,2.0,0.0,0.0
82255ffffffffff,273.0,0.0,0.0
8225a7fffffffff,27.0,0.0,0.0
8225affffffffff,13.0,0.0,0.0
8225b7fffffffff,85.0,3.0,0.0
822ecffffffffff,27.0,0.0,0.0
823127fffffffff,6.0,0.0,0.0
823d27fffffffff,1.0,0.0,0.0
