cell_id,Ammospiza nelsoni,Ammospiza nelsoni nelsoni/altera,Ammospiza nelsoni subvirgata
840e805ffffffff,119.0,0.0,0.0
840e863ffffffff,1.0,0.0,0.0
840ec0bffffffff,3.0,1.0,0.0
840ec19ffffffff,27.0,0.0,0.0
840ec4dffffffff,2.0,0.0,0.0
840ec57ffffffff,2.0,0.0,0.0
840ecc1ffffffff,6.0,0.0,0.0
840ecc9ffffffff,604.0,0.0,0.0
840ee27ffffffff,1.0,0.0,0.0
840eea7ffffffff,1804.0,3.0,0.0
840eeb5ffffffff,36.0,0.0,0.0
840ef03ffffffff,7.0,0.0,0.0
840ef07ffffffff,1.0,0.0,0.0
840ef1bffffffff,1.0,0.0,0.0
840ef1dffffffff,2.0,0.0,0.0
840ef2dffffffff,2.0,0.0,0.0
840ef39ffffffff,2.0,0.0,0.0
841213bffffffff,1.0,0.0,0.0
8412185ffffffff,2.0,0.0,0.0
8412187ffffffff,2.0,0.0,0.0
84121bdffffffff,2.0,0.0,0.0
84121e3ffffffff,26.0,0.0,0.0
84124b3ffffffff,7.0,0.0,0.0
84124b5ffffffff,1.0,0.0,0.0
84124b7ffffffff,14.0,0.0,0.0
84124dbffffffff,1.0,0.0,0.0
8412501ffffffff,2.0,0.0,0.0
8412511ffffffff,2.0,0.0,0.0
8412515ffffffff,103.0,6.0,0.0
841251dffffffff,2.0,0.0,0.0
8412523ffffffff,4.0,2.0,0.0
8412525ffffffff,9.0,0.0,0.0
8412527ffffffff,14.0,0.0,0.0
8412531ffffffff,1.0,0.0,0.0
8412535ffffffff,12.0,2.0,0.0
8412539ffffffff,10.0,0.0,0.0
841253bffffffff,2.0,0.0,0.0
8412555ffffffff,2.0,0.0,0.0
841255dffffffff,2.0,0.0,0.0
8412583ffffffff,4.0,0.0,0.0
8412585ffffffff,1.0,0.0,0.0
8412591ffffffff,11.0,0.0,0.0
8412593ffffffff,13.0,0.0,0.0
8412595ffffffff,2.0,0.0,0.0
8412597ffffffff,78.0,0.0,0.0
8412599ffffffff,2.0,0.0,0.0
84125adffffffff,10.0,2.0,0.0
84125b9ffffffff,4.0,0.0,0.0
84125bbffffffff,16.0,0.0,0.0
84125d1ffffffff,2.0,0.0,0.0
84125d9ffffffff,2.0,0.0,0.0
84125edffffffff,2.0,0.0,0.0
8412769ffffffff,1.0,0.0,0.0
8412c1bffffffff,258.0,14.0,0.0
8412c5bffffffff,1.0,0.0,0.0
8412cc1ffffffff,108.0,14.0,0.0
8412cc5ffffffff,3.0,0.0,0.0
8412cc9ffffffff,118.0,18.0,0.0
8412ccdffffffff,65.0,0.0,0.0
8412e11ffffffff,2.0,0.0,0.0
8412e13ffffffff,42.0,0.0,0.0
8412e1bffffffff,14.0,0.0,0.0
8412e2bffffffff,2.0,0.0,0.0
8412e59ffffffff,2.0,0.0,0.0
8412e89ffffffff,1.0,0.0,0.0
8412e8bffffffff,2.0,0.0,0.0
8412e8dffffffff,8.0,1.0,0.0
8412ea3ffffffff,14.0,0.0,0.0
8412ea5ffffffff,57.0,7.0,0.0
8412ea7ffffffff,4.0,0.0,0.0
8412ea9ffffffff,9.0,0.0,0.0
8412eadffffffff,7.0,0.0,0.0
8412ec1ffffffff,149.0,8.0,0.0
8412ec3ffffffff,2.0,0.0,0.0
8412ec5ffffffff,62.0,9.0,0.0
8412ec7ffffffff,10.0,0.0,0.0
8412ec9ffffffff,143.0,4.0,0.0
8412ecbffffffff,4.0,0.0,0.0
8412ecdffffffff,15.0,0.0,0.0
8412ed9ffffffff,2.0,0.0,0.0
8412ee1ffffffff,1.0,0.0,0.0
8412ee3ffffffff,8.0,0.0,0.0
8413529ffffffff,2.0,0.0,0.0
8426013ffffffff,1.0,0.0,0.0
8426017ffffffff,6.0,5.0,0.0
8426039ffffffff,1.0,0.0,0.0
8426055ffffffff,3.0,0.0,0.0
8426067ffffffff,1.0,0.0,0.0
8426081ffffffff,2.0,0.0,0.0
8426099ffffffff,2.0,0.0,0.0
84260a1ffffffff,4.0,0.0,0.0
84260a9ffffffff,17.0,0.0,0.0
84260adffffffff,2.0,0.0,0.0
84260bbffffffff,3.0,0.0,0.0
84260d9ffffffff,3.0,2.0,0.0
84260ddffffffff,2.0,0.0,0.0
84260e3ffffffff,4.0,0.0,0.0
8426205ffffffff,12.0,0.0,0.0
842620bffffffff,6.0,0.0,0.0
8426213ffffffff,2.0,0.0,0.0
8426215ffffffff,4.0,0.0,0.0
