cell_id,Melanopareia torquata,Melanopareia torquata bitorquata,Melanopareia torquata torquata/rufescens
83802cfffffffff,2.0,0.0,0.0
838100fffffffff,59.0,0.0,5.0
838102fffffffff,122.0,0.0,3.0
838104fffffffff,2.0,0.0,0.0
838106fffffffff,70.0,0.0,9.0
838109fffffffff,2.0,0.0,0.0
83811cfffffffff,3.0,0.0,0.0
838124fffffffff,52.0,0.0,7.0
838129fffffffff,1.0,0.0,0.0
83812bfffffffff,1.0,0.0,0.0
83812cfffffffff,1.0,0.0,0.0
83812dfffffffff,12.0,0.0,0.0
838133fffffffff,1.0,0.0,0.0
838140fffffffff,1.0,0.0,1.0
838142fffffffff,2.0,0.0,0.0
838144fffffffff,1.0,0.0,0.0
838145fffffffff,2.0,0.0,0.0
838151fffffffff,8.0,0.0,0.0
838152fffffffff,1.0,0.0,0.0
838154fffffffff,1.0,0.0,0.0
838163fffffffff,2.0,0.0,0.0
838171fffffffff,72.0,0.0,9.0
838172fffffffff,7.0,0.0,0.0
838173fffffffff,5.0,0.0,0.0
838b06fffffffff,2.0,0.0,0.0
838b10fffffffff,4.0,0.0,0.0
838b12fffffffff,10.0,0.0,0.0
838b36fffffffff,1.0,0.0,0.0
838ba3fffffffff,1.0,0.0,0.0
838ba4fffffffff,3.0,0.0,0.0
838ba6fffffffff,1.0,0.0,0.0
838bb5fffffffff,254.0,0.0,0.0
83a84dfffffffff,3.0,0.0,0.0
83a855fffffffff,3.0,0.0,0.0
83a85bfffffffff,35.0,0.0,0.0
83a875fffffffff,3.0,0.0,0.0
83a881fffffffff,88.0,0.0,11.0
83a88afffffffff,6.0,0.0,0.0
83a88cfffffffff,19.0,0.0,5.0
83a88dfffffffff,72.0,0.0,36.0
83a88efffffffff,15.0,0.0,7.0
83a8a8fffffffff,5.0,0.0,0.0
83a8a9fffffffff,122.0,0.0,19.0
83a8aafffffffff,19.0,0.0,7.0
83a8aefffffffff,56.0,0.0,36.0
83a8c2fffffffff,63.0,0.0,24.0
83a8cbfffffffff,1.0,0.0,0.0
83a8d1fffffffff,159.0,0.0,13.0
83a8d3fffffffff,90.0,0.0,31.0
83a8d5fffffffff,1.0,0.0,0.0
83a8dafffffffff,1.0,0.0,0.0
83a8defffffffff,129.0,0.0,2.0
83a8ecfffffffff,96.0,0.0,1.0
83a8edfffffffff,1.0,0.0,0.0
83a8f1fffffffff,1.0,0.0,0.0
83a8f4fffffffff,2.0,0.0,0.0
83a8f5fffffffff,4.0,0.0,0.0
83a942fffffffff,1.0,0.0,0.0
83a95afffffffff,45.0,0.0,0.0
83a95bfffffffff,1.0,0.0,0.0
83a95dfffffffff,2.0,0.0,0.0
