cell_id,Saucerottia cyanocephala,Saucerottia cyanocephala cyanocephala,Saucerottia cyanocephala chlorostephana
834505fffffffff,75.0,6.0,0.0
834520fffffffff,92.0,0.0,0.0
834522fffffffff,39.0,0.0,0.0
834523fffffffff,107.0,0.0,0.0
834524fffffffff,1568.0,8.0,0.0
834525fffffffff,369.0,71.0,0.0
834526fffffffff,503.0,0.0,0.0
83452afffffffff,167.0,3.0,0.0
83452efffffffff,2232.0,72.0,0.0
834530fffffffff,32.0,0.0,0.0
834534fffffffff,17.0,0.0,0.0
834535fffffffff,210.0,0.0,0.0
834536fffffffff,69.0,0.0,0.0
834564fffffffff,7.0,5.0,0.0
834990fffffffff,65.0,0.0,0.0
834991fffffffff,20.0,0.0,0.0
834993fffffffff,2.0,2.0,0.0
834996fffffffff,3374.0,983.0,0.0
834998fffffffff,150.0,4.0,0.0
83499cfffffffff,28.0,0.0,0.0
83499dfffffffff,1.0,0.0,0.0
83499efffffffff,6.0,0.0,0.0
836790fffffffff,41.0,0.0,26.0
836794fffffffff,13.0,0.0,13.0
836796fffffffff,2.0,0.0,0.0
8367b2fffffffff,17.0,0.0,6.0
836d04fffffffff,87.0,7.0,0.0
836d05fffffffff,187.0,60.0,0.0
836d20fffffffff,17.0,0.0,0.0
836d21fffffffff,32.0,8.0,0.0
836d22fffffffff,4.0,0.0,0.0
836d23fffffffff,471.0,74.0,0.0
836d28fffffffff,1465.0,75.0,0.0
836d29fffffffff,2391.0,228.0,0.0
836d2afffffffff,69.0,13.0,0.0
836d2bfffffffff,565.0,55.0,0.0
836d2cfffffffff,87.0,5.0,0.0
836d2dfffffffff,5024.0,2057.0,0.0
836d2efffffffff,246.0,36.0,0.0
836d30fffffffff,239.0,16.0,0.0
836d31fffffffff,69.0,0.0,0.0
836d34fffffffff,7.0,3.0,0.0
836d35fffffffff,56.0,9.0,0.0
836d36fffffffff,105.0,0.0,0.0
836d60fffffffff,253.0,0.0,0.0
836d61fffffffff,5.0,0.0,0.0
836d64fffffffff,2056.0,0.0,0.0
836d65fffffffff,536.0,0.0,0.0
836d66fffffffff,487.0,0.0,0.0
836d74fffffffff,15.0,0.0,0.0
