cell_id,Corvus macrorhynchos,Corvus macrorhynchos [macrorhynchos Group],Corvus macrorhynchos culminatus,Corvus macrorhynchos levaillantii
83208afffffffff,3.0,0.0,0.0,0.0
832098fffffffff,5.0,0.0,0.0,0.0
832099fffffffff,71.0,3.0,0.0,0.0
83209afffffffff,2.0,0.0,0.0,0.0
83209efffffffff,7.0,0.0,0.0,0.0
8324c6fffffffff,2.0,2.0,0.0,0.0
832e6bfffffffff,2.0,0.0,0.0,0.0
83309afffffffff,6.0,2.0,0.0,0.0
83309bfffffffff,5.0,2.0,0.0,0.0
833113fffffffff,2.0,2.0,0.0,0.0
833c02fffffffff,6.0,0.0,0.0,0.0
833c0afffffffff,14.0,2.0,6.0,0.0
833c0bfffffffff,3.0,1.0,0.0,0.0
833c11fffffffff,3.0,0.0,2.0,0.0
833c15fffffffff,3.0,0.0,3.0,0.0
833c19fffffffff,31.0,2.0,5.0,4.0
833c1bfffffffff,1.0,0.0,0.0,1.0
833c1dfffffffff,79.0,9.0,5.0,15.0
833c33fffffffff,2.0,0.0,2.0,0.0
833c36fffffffff,2.0,0.0,0.0,0.0
833c52fffffffff,36.0,10.0,3.0,23.0
833c58fffffffff,124.0,7.0,2.0,112.0
833c59fffffffff,32.0,23.0,0.0,9.0
833c5afffffffff,12.0,0.0,2.0,10.0
833c5bfffffffff,13.0,0.0,0.0,13.0
833c5cfffffffff,2.0,2.0,0.0,0.0
833c80fffffffff,11.0,0.0,11.0,0.0
833c83fffffffff,2.0,0.0,2.0,0.0
833c84fffffffff,2.0,0.0,2.0,0.0
833c85fffffffff,2.0,0.0,2.0,0.0
833c88fffffffff,33.0,0.0,33.0,0.0
833c89fffffffff,3.0,0.0,1.0,2.0
833c8afffffffff,1.0,0.0,1.0,0.0
833c8cfffffffff,9.0,0.0,9.0,0.0
833c8efffffffff,158.0,0.0,158.0,0.0
833c90fffffffff,4.0,0.0,4.0,0.0
833c92fffffffff,64.0,0.0,64.0,0.0
833c93fffffffff,21.0,0.0,21.0,0.0
833c95fffffffff,2.0,0.0,2.0,0.0
833c96fffffffff,4.0,0.0,4.0,0.0
833c9cfffffffff,4.0,0.0,4.0,0.0
833c9dfffffffff,37.0,0.0,37.0,0.0
833c9efffffffff,4.0,0.0,4.0,0.0
833ca9fffffffff,8.0,0.0,5.0,0.0
833cb1fffffffff,1.0,0.0,1.0,0.0
833cb3fffffffff,5.0,0.0,5.0,0.0
833cb4fffffffff,2.0,2.0,0.0,0.0
833cb6fffffffff,22.0,0.0,22.0,0.0
833cc0fffffffff,9.0,0.0,0.0,9.0
833cc1fffffffff,10.0,0.0,0.0,10.0
833cc3fffffffff,7.0,0.0,0.0,7.0
833cc4fffffffff,20.0,0.0,0.0,20.0
833cc5fffffffff,1.0,0.0,0.0,1.0
833cc6fffffffff,15.0,0.0,0.0,15.0
833cccfffffffff,18.0,1.0,0.0,17.0
833ce0fffffffff,4.0,0.0,0.0,4.0
833ce1fffffffff,6.0,0.0,3.0,3.0
833ce2fffffffff,7.0,0.0,0.0,7.0
833ce3fffffffff,84.0,3.0,0.0,81.0
833ce4fffffffff,10.0,0.0,1.0,6.0
833ce5fffffffff,1.0,1.0,0.0,0.0
833ce8fffffffff,59.0,0.0,0.0,59.0
833ce9fffffffff,16.0,0.0,0.0,16.0
833ceafffffffff,10.0,0.0,0.0,10.0
833cebfffffffff,6.0,0.0,0.0,6.0
833cecfffffffff,10.0,0.0,8.0,2.0
833cedfffffffff,2.0,0.0,0.0,2.0
833cf0fffffffff,11.0,0.0,6.0,0.0
833cf1fffffffff,9.0,0.0,4.0,0.0
833cf2fffffffff,27.0,3.0,14.0,0.0
833cf4fffffffff,19.0,0.0,12.0,0.0
833cf6fffffffff,24.0,0.0,1.0,0.0
833d02fffffffff,2.0,2.0,0.0,0.0
833d10fffffffff,1290.0,48.0,1242.0,0.0
833d11fffffffff,34.0,34.0,0.0,0.0
833d12fffffffff,6.0,0.0,6.0,0.0
833d13fffffffff,1312.0,16.0,1296.0,0.0
833d14fffffffff,4.0,4.0,0.0,0.0
833d15fffffffff,101.0,101.0,0.0,0.0
833d1afffffffff,5.0,5.0,0.0,0.0
833d1efffffffff,165.0,162.0,3.0,0.0
833d22fffffffff,4.0,0.0,0.0,0.0
833d30fffffffff,13.0,13.0,0.0,0.0
833d33fffffffff,54.0,54.0,0.0,0.0
833d34fffffffff,3.0,0.0,0.0,0.0
833d35fffffffff,7.0,2.0,2.0,0.0
833d84fffffffff,106.0,0.0,99.0,0.0
833d85fffffffff,22.0,0.0,20.0,0.0
833d92fffffffff,2.0,0.0,2.0,0.0
833d96fffffffff,2.0,0.0,0.0,0.0
833d99fffffffff,12.0,0.0,8.0,0.0
833d9bfffffffff,11.0,0.0,11.0,0.0
833d9dfffffffff,3.0,0.0,0.0,0.0
833d9efffffffff,14.0,0.0,6.0,0.0
833da1fffffffff,53.0,0.0,44.0,0.0
833da2fffffffff,2.0,0.0,2.0,0.0
