cell_id,Anarhynchus alexandrinus,Anarhynchus alexandrinus alexandrinus/nihonensis,Anarhynchus alexandrinus seebohmi
821597fffffffff,66.0,0.0,0.0
8215b7fffffffff,32.0,0.0,0.0
821847fffffffff,40.0,2.0,0.0
82184ffffffffff,18.0,0.0,0.0
82185ffffffffff,7.0,0.0,0.0
821867fffffffff,20.0,11.0,0.0
82186ffffffffff,38.0,0.0,0.0
821877fffffffff,3.0,0.0,0.0
82194ffffffffff,34.0,4.0,0.0
82196ffffffffff,26.0,0.0,0.0
821e07fffffffff,102.0,24.0,0.0
821e0ffffffffff,32.0,0.0,0.0
821e17fffffffff,1.0,0.0,0.0
821e1ffffffffff,27.0,0.0,0.0
821e4ffffffffff,21.0,0.0,0.0
821e5ffffffffff,47.0,0.0,0.0
821e6ffffffffff,2.0,0.0,0.0
821e87fffffffff,42.0,2.0,0.0
821e8ffffffffff,11.0,0.0,0.0
821e97fffffffff,15.0,0.0,0.0
821ea7fffffffff,176.0,1.0,0.0
821eaffffffffff,16.0,0.0,0.0
821eb7fffffffff,12.0,0.0,0.0
821ec7fffffffff,108.0,3.0,0.0
821ecffffffffff,494.0,11.0,0.0
821ed7fffffffff,211.0,7.0,0.0
821edffffffffff,420.0,20.0,0.0
821eeffffffffff,196.0,42.0,0.0
821ef7fffffffff,22.0,3.0,0.0
821f07fffffffff,6.0,0.0,0.0
821f27fffffffff,1.0,0.0,0.0
821f37fffffffff,83.0,6.0,0.0
821fa7fffffffff,1.0,0.0,0.0
822017fffffffff,14.0,2.0,0.0
82201ffffffffff,2.0,0.0,0.0
822037fffffffff,2.0,0.0,0.0
82204ffffffffff,13.0,1.0,0.0
82205ffffffffff,6.0,0.0,0.0
8220a7fffffffff,9.0,0.0,0.0
8220cffffffffff,6.0,0.0,0.0
8220e7fffffffff,6.0,3.0,0.0
8220effffffffff,1.0,0.0,0.0
8220f7fffffffff,3.0,0.0,0.0
822157fffffffff,13.0,5.0,0.0
82219ffffffffff,33.0,6.0,0.0
8221a7fffffffff,2.0,0.0,0.0
8221b7fffffffff,2.0,0.0,0.0
822407fffffffff,55.0,0.0,0.0
82240ffffffffff,7.0,0.0,0.0
82241ffffffffff,1.0,0.0,0.0
82242ffffffffff,66.0,0.0,0.0
822437fffffffff,49.0,0.0,0.0
822447fffffffff,10.0,0.0,0.0
82244ffffffffff,10.0,5.0,0.0
822457fffffffff,23.0,0.0,0.0
822467fffffffff,5.0,0.0,0.0
82246ffffffffff,9.0,0.0,0.0
822477fffffffff,39.0,0.0,0.0
822487fffffffff,24.0,4.0,0.0
82248ffffffffff,57.0,8.0,0.0
82249ffffffffff,5.0,0.0,0.0
8224c7fffffffff,6.0,2.0,0.0
8224cffffffffff,2.0,0.0,0.0
8224d7fffffffff,7.0,0.0,0.0
8224effffffffff,2.0,0.0,0.0
822507fffffffff,5.0,0.0,0.0
822517fffffffff,82.0,0.0,0.0
82251ffffffffff,3.0,0.0,0.0
82255ffffffffff,1.0,0.0,0.0
8225a7fffffffff,25.0,2.0,0.0
8225affffffffff,22.0,0.0,0.0
8225b7fffffffff,31.0,3.0,0.0
822c07fffffffff,79.0,10.0,0.0
822c0ffffffffff,36.0,0.0,0.0
822c17fffffffff,2.0,0.0,0.0
822c1ffffffffff,7.0,0.0,0.0
822c27fffffffff,28.0,0.0,0.0
822c2ffffffffff,53.0,0.0,0.0
822c37fffffffff,6.0,0.0,0.0
822c47fffffffff,6.0,0.0,0.0
822c57fffffffff,2.0,0.0,0.0
822c67fffffffff,3.0,0.0,0.0
822c6ffffffffff,2.0,0.0,0.0
822c77fffffffff,2.0,0.0,0.0
822c87fffffffff,31.0,0.0,0.0
822c8ffffffffff,6.0,0.0,0.0
822c97fffffffff,1190.0,164.0,0.0
822c9ffffffffff,23.0,2.0,0.0
822caffffffffff,6.0,0.0,0.0
822cc7fffffffff,137.0,0.0,0.0
822ccffffffffff,1.0,0.0,0.0
822cd7fffffffff,78.0,0.0,0.0
822cdffffffffff,2.0,0.0,0.0
822ce7fffffffff,103.0,0.0,0.0
822cf7fffffffff,289.0,0.0,0.0
822d07fffffffff,28.0,2.0,0.0
822d17fffffffff,123.0,18.0,0.0
822d1ffffffffff,1.0,0.0,0.0
822d2ffffffffff,9.0,0.0,0.0
822d37fffffffff,105.0,8.0,0.0
822d5ffffffffff,27.0,0.0,0.0
822d67fffffffff,21.0,0.0,0.0
822d77fffffffff,2.0,0.0,0.0
822d87fffffffff,2.0,0.0,0.0
822d97fffffffff,22.0,4.0,0.0
822da7fffffffff,624.0,23.0,0.0
822daffffffffff,58.0,0.0,0.0
822db7fffffffff,718.0,105.0,0.0
822e0ffffffffff,2.0,0.0,0.0
822e1ffffffffff,6.0,0.0,0.0
822e2ffffffffff,2.0,0.0,0.0
822e47fffffffff,6.0,2.0,0.0
822e67fffffffff,42.0,0.0,0.0
822e6ffffffffff,9.0,0.0,0.0
822e77fffffffff,7.0,0.0,0.0
822ef7fffffffff,2.0,0.0,0.0
822f5ffffffffff,124.0,11.0,0.0
823017fffffffff,12.0,0.0,0.0
82301ffffffffff,15.0,0.0,0.0
823027fffffffff,7.0,0.0,0.0
82302ffffffffff,10.0,0.0,0.0
823037fffffffff,112.0,32.0,0.0
823087fffffffff,212.0,26.0,0.0
823097fffffffff,3.0,0.0,0.0
82309ffffffffff,708.0,148.0,0.0
8230a7fffffffff,18.0,9.0,0.0
8230affffffffff,3.0,0.0,0.0
8230c7fffffffff,97.0,0.0,0.0
8230d7fffffffff,7.0,0.0,0.0
8230dffffffffff,43.0,6.0,0.0
8230e7fffffffff,162.0,7.0,0.0
8230effffffffff,3.0,0.0,0.0
8230f7fffffffff,3.0,0.0,0.0
82312ffffffffff,2.0,2.0,0.0
82316ffffffffff,9.0,0.0,0.0
823187fffffffff,196.0,9.0,0.0
82318ffffffffff,768.0,73.0,0.0
8231a7fffffffff,3.0,0.0,0.0
8231affffffffff,37.0,2.0,0.0
823427fffffffff,44.0,0.0,0.0
823437fffffffff,2.0,0.0,0.0
82344ffffffffff,46.0,0.0,0.0
82346ffffffffff,173.0,0.0,0.0
82351ffffffffff,1085.0,0.0,0.0
8235affffffffff,5.0,0.0,0.0
823817fffffffff,90.0,6.0,0.0
823827fffffffff,1065.0,103.0,0.0
823837fffffffff,5.0,0.0,0.0
823847fffffffff,30.0,2.0,0.0
82384ffffffffff,58.0,0.0,0.0
823857fffffffff,2.0,0.0,0.0
823867fffffffff,2.0,0.0,0.0
82386ffffffffff,85.0,5.0,0.0
823877fffffffff,2.0,0.0,0.0
823907fffffffff,423.0,0.0,0.0
82390ffffffffff,662.0,0.0,0.0
823917fffffffff,3841.0,60.0,0.0
82391ffffffffff,4704.0,218.0,0.0
823927fffffffff,1043.0,0.0,0.0
82392ffffffffff,44.0,0.0,0.0
823937fffffffff,1530.0,17.0,0.0
823947fffffffff,792.0,0.0,0.0
82394ffffffffff,5.0,4.0,0.0
823957fffffffff,1835.0,15.0,0.0
82395ffffffffff,210.0,0.0,0.0
823967fffffffff,76.0,6.0,0.0
82396ffffffffff,560.0,33.0,0.0
823977fffffffff,1300.0,0.0,0.0
823987fffffffff,211.0,24.0,0.0
82398ffffffffff,89.0,18.0,0.0
823997fffffffff,172.0,21.0,0.0
8239affffffffff,146.0,23.0,0.0
823c0ffffffffff,24.0,21.0,0.0
823c17fffffffff,13.0,0.0,0.0
823c1ffffffffff,145.0,0.0,0.0
823c37fffffffff,4.0,0.0,0.0
823c57fffffffff,5.0,0.0,0.0
