cell_id,Colaptes rubiginosus,Colaptes rubiginosus aeruginosus,Colaptes rubiginosus [rubiginosus Group],Colaptes rubiginosus rubripileus
834520fffffffff,6.0,0.0,0.0,0.0
834523fffffffff,1.0,0.0,0.0,0.0
834525fffffffff,11.0,0.0,11.0,0.0
834526fffffffff,2.0,0.0,0.0,0.0
83452afffffffff,2.0,0.0,2.0,0.0
83452cfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,6.0,0.0,4.0,0.0
834564fffffffff,1.0,0.0,1.0,0.0
834991fffffffff,3.0,3.0,0.0,0.0
834996fffffffff,25.0,13.0,2.0,0.0
834998fffffffff,7.0,7.0,0.0,0.0
83499cfffffffff,4.0,2.0,0.0,0.0
835f5bfffffffff,13.0,0.0,0.0,0.0
835f70fffffffff,1.0,0.0,1.0,0.0
835f75fffffffff,2.0,0.0,0.0,0.0
83660dfffffffff,2.0,0.0,0.0,0.0
836611fffffffff,1.0,0.0,0.0,0.0
836619fffffffff,5.0,0.0,0.0,0.0
836629fffffffff,1.0,0.0,1.0,0.0
8366a0fffffffff,1.0,0.0,0.0,0.0
8366b4fffffffff,3.0,0.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0,0.0
8366d3fffffffff,5.0,0.0,4.0,1.0
8366defffffffff,3.0,0.0,3.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0
8366f0fffffffff,1.0,0.0,0.0,0.0
8366f1fffffffff,2.0,0.0,0.0,0.0
836741fffffffff,8.0,0.0,0.0,0.0
83674efffffffff,1.0,0.0,1.0,0.0
83675afffffffff,2.0,0.0,0.0,0.0
83675efffffffff,2.0,0.0,0.0,0.0
83679afffffffff,19.0,0.0,0.0,0.0
836d20fffffffff,4.0,0.0,4.0,0.0
836d21fffffffff,2.0,0.0,0.0,0.0
836d22fffffffff,4.0,0.0,4.0,0.0
836d23fffffffff,8.0,0.0,2.0,0.0
836d28fffffffff,8.0,0.0,7.0,0.0
836d29fffffffff,6.0,0.0,6.0,0.0
836d2afffffffff,1.0,0.0,0.0,0.0
836d2bfffffffff,7.0,0.0,3.0,0.0
836d2cfffffffff,3.0,0.0,3.0,0.0
836d2dfffffffff,19.0,0.0,19.0,0.0
836d31fffffffff,1.0,0.0,1.0,0.0
836d60fffffffff,11.0,0.0,0.0,0.0
836d61fffffffff,82.0,0.0,0.0,0.0
836d68fffffffff,2.0,0.0,0.0,0.0
836d69fffffffff,65.0,0.0,41.0,0.0
836d6dfffffffff,7.0,0.0,0.0,0.0
838b69fffffffff,14.0,0.0,0.0,0.0
838b6efffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,2.0,0.0,2.0,0.0
838f2dfffffffff,1.0,0.0,0.0,1.0
838f4bfffffffff,6.0,0.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0,0.0
83b272fffffffff,4.0,0.0,0.0,0.0
83b274fffffffff,8.0,0.0,2.0,0.0
83b351fffffffff,1.0,0.0,0.0,0.0
