cell_id,Stactolaema leucotis,Stactolaema leucotis leucogrammica,Stactolaema leucotis leucotis/kilimensis
847a409ffffffff,12.0,0.0,0.0
847a40dffffffff,5.0,0.0,0.0
847a451ffffffff,2.0,0.0,0.0
847a455ffffffff,5.0,0.0,0.0
847a457ffffffff,16.0,0.0,0.0
847a619ffffffff,8.0,0.0,0.0
847a651ffffffff,4.0,0.0,0.0
847a653ffffffff,40.0,0.0,0.0
847a657ffffffff,40.0,0.0,0.0
847a65bffffffff,2.0,0.0,0.0
847a6d1ffffffff,2.0,0.0,0.0
847b485ffffffff,2.0,0.0,0.0
847b487ffffffff,158.0,0.0,0.0
847b4a1ffffffff,3.0,0.0,0.0
847b4a7ffffffff,42.0,0.0,0.0
847b4b3ffffffff,4.0,0.0,0.0
847b4b7ffffffff,7.0,0.0,0.0
847b4b9ffffffff,13.0,0.0,0.0
847b4bdffffffff,1.0,0.0,0.0
847b4dbffffffff,2.0,0.0,0.0
847b597ffffffff,2.0,0.0,0.0
8496901ffffffff,15.0,0.0,0.0
8496907ffffffff,3.0,0.0,0.0
8496921ffffffff,19.0,0.0,0.0
8496925ffffffff,511.0,0.0,0.0
849692dffffffff,2.0,0.0,0.0
849693dffffffff,3.0,0.0,0.0
8496b47ffffffff,7.0,0.0,0.0
8496b6dffffffff,1.0,0.0,0.0
849702bffffffff,22.0,0.0,0.0
8497035ffffffff,46.0,0.0,0.0
849703dffffffff,3.0,0.0,0.0
8497119ffffffff,5.0,0.0,0.0
849711dffffffff,12.0,0.0,0.0
84971c1ffffffff,68.0,0.0,0.0
84971cbffffffff,1.0,0.0,0.0
84978d9ffffffff,1.0,0.0,0.0
849799bffffffff,3.0,0.0,0.0
8497a85ffffffff,29.0,0.0,0.0
8497a89ffffffff,13.0,0.0,0.0
8497ac3ffffffff,2.0,0.0,0.0
8497ac7ffffffff,2.0,0.0,0.0
84bc197ffffffff,4.0,0.0,0.0
84bc1b3ffffffff,26.0,0.0,1.0
84bc1b7ffffffff,60.0,0.0,6.0
84bc1bbffffffff,16.0,0.0,0.0
84bc893ffffffff,2.0,0.0,0.0
84bc899ffffffff,11.0,0.0,0.0
84bc89bffffffff,42.0,0.0,0.0
84bc8d3ffffffff,3.0,0.0,3.0
84bcd4bffffffff,2.0,0.0,0.0
84bce27ffffffff,1.0,0.0,0.0
84bcf05ffffffff,3.0,0.0,0.0
84bcf09ffffffff,273.0,0.0,53.0
84bcf0dffffffff,2.0,0.0,0.0
84bcf21ffffffff,32.0,0.0,18.0
84bcf23ffffffff,1.0,0.0,0.0
84bcf25ffffffff,4.0,0.0,0.0
84bcf29ffffffff,171.0,0.0,38.0
84bcf2dffffffff,24.0,0.0,0.0
84bcf43ffffffff,22.0,0.0,0.0
84bcf47ffffffff,238.0,0.0,45.0
84bcf59ffffffff,55.0,0.0,5.0
84bcf5dffffffff,53.0,0.0,2.0
84bcf61ffffffff,689.0,0.0,117.0
84bcf63ffffffff,120.0,0.0,15.0
84bcf67ffffffff,52.0,0.0,10.0
84bcf6bffffffff,8.0,0.0,0.0
