cell_id,Pipilo erythrophthalmus,Pipilo erythrophthalmus erythrophthalmus/canaster,Pipilo erythrophthalmus alleni/rileyi
820e4ffffffffff,7.0,0.0,0.0
820e5ffffffffff,2.0,0.0,0.0
820ecffffffffff,10.0,0.0,0.0
82124ffffffffff,2.0,0.0,0.0
82125ffffffffff,7.0,0.0,0.0
8212effffffffff,35.0,0.0,0.0
821aa7fffffffff,19.0,0.0,0.0
821ab7fffffffff,1.0,0.0,0.0
822607fffffffff,28.0,0.0,0.0
82260ffffffffff,113.0,16.0,0.0
82261ffffffffff,22.0,0.0,0.0
822627fffffffff,8.0,0.0,0.0
82262ffffffffff,13.0,0.0,0.0
822647fffffffff,142.0,0.0,0.0
82264ffffffffff,130.0,67.0,0.0
822657fffffffff,54.0,2.0,0.0
82265ffffffffff,53.0,6.0,0.0
822667fffffffff,40.0,5.0,0.0
82266ffffffffff,13.0,0.0,0.0
822677fffffffff,45.0,0.0,0.0
822687fffffffff,2.0,0.0,0.0
82268ffffffffff,20.0,0.0,0.0
8226a7fffffffff,2.0,0.0,0.0
8226affffffffff,82.0,0.0,0.0
8226c7fffffffff,93.0,0.0,0.0
8226cffffffffff,10.0,0.0,0.0
8226d7fffffffff,18.0,0.0,0.0
8226dffffffffff,4.0,0.0,0.0
8226e7fffffffff,45.0,0.0,0.0
8226effffffffff,31.0,0.0,0.0
8226f7fffffffff,9.0,0.0,0.0
822707fffffffff,4.0,0.0,0.0
82270ffffffffff,9.0,0.0,0.0
822717fffffffff,2.0,0.0,0.0
82271ffffffffff,8.0,0.0,0.0
822747fffffffff,34.0,0.0,0.0
82274ffffffffff,447.0,4.0,0.0
822757fffffffff,36.0,0.0,0.0
82275ffffffffff,130.0,2.0,0.0
822767fffffffff,36.0,2.0,0.0
82276ffffffffff,59.0,30.0,0.0
822777fffffffff,8.0,0.0,0.0
8227a7fffffffff,8.0,1.0,0.0
822897fffffffff,2.0,0.0,0.0
822a07fffffffff,43.0,0.0,0.0
822a17fffffffff,5945.0,37.0,0.0
822a1ffffffffff,1.0,0.0,0.0
822a37fffffffff,752.0,15.0,0.0
822a87fffffffff,190.0,23.0,0.0
822a8ffffffffff,78.0,3.0,1.0
822a97fffffffff,43.0,0.0,0.0
822a9ffffffffff,6.0,0.0,0.0
822aa7fffffffff,202.0,11.0,0.0
822aaffffffffff,1267.0,36.0,0.0
822ab7fffffffff,1039.0,508.0,0.0
822ad7fffffffff,19.0,0.0,17.0
822af7fffffffff,20.0,8.0,6.0
822b07fffffffff,50.0,0.0,0.0
822b0ffffffffff,115.0,9.0,0.0
822b17fffffffff,89.0,1.0,0.0
822b1ffffffffff,49.0,1.0,0.0
822b27fffffffff,2.0,0.0,0.0
822b2ffffffffff,1.0,0.0,0.0
822b37fffffffff,59.0,4.0,0.0
822b87fffffffff,126.0,53.0,0.0
822b8ffffffffff,832.0,580.0,0.0
822b97fffffffff,29.0,0.0,0.0
822b9ffffffffff,1060.0,461.0,0.0
822ba7fffffffff,70.0,0.0,0.0
822baffffffffff,358.0,4.0,0.0
822bb7fffffffff,22.0,0.0,0.0
824417fffffffff,24.0,0.0,17.0
82441ffffffffff,44.0,4.0,9.0
824447fffffffff,91.0,0.0,0.0
82444ffffffffff,63.0,0.0,0.0
824457fffffffff,11.0,2.0,3.0
82445ffffffffff,3.0,0.0,0.0
824467fffffffff,1.0,0.0,0.0
82446ffffffffff,55.0,0.0,0.0
824477fffffffff,1.0,0.0,0.0
8244a7fffffffff,2.0,0.0,2.0
8244affffffffff,45.0,5.0,26.0
8244c7fffffffff,52.0,15.0,29.0
8244cffffffffff,41.0,29.0,2.0
8244d7fffffffff,100.0,28.0,56.0
8244dffffffffff,28.0,11.0,2.0
8244e7fffffffff,38.0,19.0,15.0
8244effffffffff,9.0,0.0,2.0
8244f7fffffffff,179.0,165.0,6.0
824887fffffffff,5.0,0.0,0.0
82488ffffffffff,3.0,0.0,0.0
824897fffffffff,39.0,0.0,0.0
82489ffffffffff,375.0,2.0,0.0
8248c7fffffffff,44.0,0.0,0.0
8248cffffffffff,1.0,0.0,0.0
8248d7fffffffff,14.0,0.0,0.0
8248dffffffffff,2.0,0.0,0.0
8248effffffffff,2.0,0.0,0.0
