cell_id,Campylorhynchus capistratus,Campylorhynchus capistratus castaneus,Campylorhynchus capistratus [capistratus Group]
8445201ffffffff,3.0,0.0,0.0
8445205ffffffff,47.0,0.0,0.0
8445229ffffffff,1.0,0.0,0.0
8445251ffffffff,2.0,0.0,0.0
8445255ffffffff,5.0,0.0,0.0
844525bffffffff,26.0,0.0,0.0
846d287ffffffff,3.0,0.0,0.0
846d2a3ffffffff,4.0,0.0,0.0
846d2b9ffffffff,9.0,0.0,0.0
846d2bdffffffff,4.0,0.0,0.0
846d681ffffffff,5.0,0.0,0.0
846d683ffffffff,5.0,0.0,0.0
846d685ffffffff,3.0,0.0,0.0
846d691ffffffff,9.0,0.0,0.0
846d693ffffffff,28.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d697ffffffff,48.0,0.0,0.0
846d69bffffffff,3.0,0.0,0.0
846d69dffffffff,6.0,0.0,0.0
846d6bbffffffff,2.0,0.0,0.0
846d6cbffffffff,2.0,0.0,0.0
