cell_id,Cistothorus palustris,Cistothorus palustris [paludicola Group],Cistothorus palustris [plesius Group],Cistothorus palustris [palustris Group],Cistothorus palustris griseus,Cistothorus palustris tolucensis
84264d9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84264dbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84264ddffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84264e5ffffffff,91.0,0.0,0.0,2.0,0.0,0.0
84264e7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842650dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426523ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842652bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
842653bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842653dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426541ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426547ffffffff,4.0,0.0,0.0,3.0,0.0,0.0
842654dffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426551ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426555ffffffff,40.0,0.0,0.0,0.0,0.0,0.0
842655dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426561ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426563ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8426567ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842656dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842659bffffffff,120.0,0.0,0.0,0.0,0.0,0.0
84265b5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84265b9ffffffff,30.0,0.0,0.0,1.0,0.0,0.0
84265d9ffffffff,19.0,0.0,0.0,0.0,0.0,0.0
84265dbffffffff,20.0,0.0,0.0,0.0,0.0,0.0
84265e5ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426607ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842661bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426621ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426629ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
842662bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426631ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842663dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426641ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426645ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426649ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842664dffffffff,12.0,0.0,0.0,2.0,0.0,0.0
8426665ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8426669ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
842668bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
84266a5ffffffff,34.0,0.0,0.0,0.0,0.0,0.0
84266a7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84266b5ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84266c1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84266d1ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84266dbffffffff,34.0,0.0,0.0,0.0,0.0,0.0
84266e1ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84266edffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426711ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426713ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426719ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426723ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426747ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426805ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842680bffffffff,4.0,0.0,3.0,0.0,0.0,0.0
842681bffffffff,21.0,0.0,1.0,0.0,0.0,0.0
8426831ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426833ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426835ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842683bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426851ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8426853ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426885ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426887ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426889ffffffff,36.0,0.0,2.0,0.0,0.0,0.0
842688dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426893ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426899ffffffff,8.0,0.0,2.0,0.0,0.0,0.0
842689dffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84268a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268a7ffffffff,7.0,0.0,1.0,0.0,0.0,0.0
84268adffffffff,28.0,0.0,0.0,0.0,0.0,0.0
84268b3ffffffff,10.0,0.0,2.0,0.0,0.0,0.0
84268c3ffffffff,4.0,0.0,2.0,0.0,0.0,0.0
84268c5ffffffff,33.0,0.0,0.0,0.0,0.0,0.0
84268c7ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84268cdffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84268d3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84268d5ffffffff,50.0,0.0,4.0,0.0,0.0,0.0
84268d7ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
84268dbffffffff,38.0,0.0,8.0,0.0,0.0,0.0
84268ddffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84268e7ffffffff,18.0,0.0,1.0,0.0,0.0,0.0
84268e9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268ebffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84268edffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426905ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842690dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426945ffffffff,5.0,0.0,2.0,0.0,0.0,0.0
842694dffffffff,2.0,0.0,2.0,0.0,0.0,0.0
842695bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426961ffffffff,27.0,0.0,20.0,0.0,0.0,0.0
8426963ffffffff,60.0,0.0,44.0,0.0,0.0,0.0
8426969ffffffff,22.0,0.0,8.0,0.0,0.0,0.0
842696bffffffff,19.0,0.0,4.0,0.0,0.0,0.0
8426987ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
842698dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426997ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842699bffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84269c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84269c3ffffffff,12.0,0.0,7.0,0.0,0.0,0.0
84269c9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84269cbffffffff,4.0,0.0,3.0,0.0,0.0,0.0
84269cdffffffff,15.0,0.0,0.0,0.0,0.0,0.0
84269d1ffffffff,84.0,0.0,0.0,0.0,0.0,0.0
84269d5ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84269d9ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84269dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84269e1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426a87ffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8426a91ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426a95ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8426a99ffffffff,2.0,0.0,1.0,0.0,0.0,0.0
8426a9bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426aa1ffffffff,23.0,0.0,5.0,0.0,0.0,0.0
8426aa5ffffffff,23.0,0.0,0.0,0.0,0.0,0.0
8426aa7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426aa9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426aadffffffff,28.0,0.0,0.0,0.0,0.0,0.0
8426ab3ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426abbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ac5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426acbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ad1ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426ad5ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426ad7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426adbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426ae3ffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8426ae9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426b55ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426b61ffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8426b69ffffffff,2.0,0.0,2.0,0.0,0.0,0.0
8426b6dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c27ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c2dffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c43ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c49ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426c65ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426c85ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426c87ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426cb9ffffffff,39.0,0.0,0.0,0.0,0.0,0.0
8426cbdffffffff,5.0,0.0,0.0,2.0,0.0,0.0
8426d09ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d15ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426d25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d2bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426d45ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8426d49ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d4dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d59ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426d8dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426d9dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426da3ffffffff,1.0,0.0,1.0,0.0,0.0,0.0
8426da7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426db3ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
8426ddbffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426de7ffffffff,5.0,0.0,2.0,0.0,0.0,0.0
8426e21ffffffff,6.0,0.0,1.0,0.0,0.0,0.0
8426e23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e2bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e2dffffffff,6.0,0.0,1.0,2.0,0.0,0.0
8426e33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e47ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426e51ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426e57ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426e5bffffffff,63.0,0.0,0.0,4.0,0.0,0.0
8426e67ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
8426e9dffffffff,13.0,0.0,0.0,2.0,0.0,0.0
8426eadffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426ecbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426ecdffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426ed5ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426ed7ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8426f11ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426f25ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8426f27ffffffff,6.0,0.0,2.0,0.0,0.0,0.0
8426f2dffffffff,23.0,0.0,2.0,0.0,0.0,0.0
8426f51ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427023ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
8427025ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427027ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842702bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8427053ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427091ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427093ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84270b3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84270b9ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84270e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842711bffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8427183ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
84271b3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84271b7ffffffff,2.0,0.0,0.0,2.0,0.0,0.0
84271d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84271d9ffffffff,1.0,0.0,0.0,1.0,0.0,0.0
842740dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8427411ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8427419ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
842741bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427435ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
8427437ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
842743dffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8427445ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427447ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842744bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
842745bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427467ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427481ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8427483ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427485ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
842748dffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8427497ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8427499ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
84274abffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84274b9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84274c1ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84274d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84274d3ffffffff,14.0,0.0,0.0,0.0,0.0,0.0
84274d5ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84274d7ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84274dbffffffff,6.0,0.0,0.0,0.0,0.0,0.0
84274ddffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84274e3ffffffff,9.0,0.0,0.0,0.0,0.0,0.0
8427513ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8427519ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8427527ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8427529ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
