cell_id,Illadopsis fulvescens,Illadopsis fulvescens moloneyana/iboensis,Illadopsis fulvescens [fulvescens Group]
8254cffffffffff,1.0,0.0,0.0
8254f7fffffffff,5.0,0.0,3.0
825887fffffffff,1.0,0.0,0.0
825897fffffffff,28.0,0.0,0.0
8258b7fffffffff,1.0,0.0,0.0
8258cffffffffff,1.0,0.0,0.0
8258d7fffffffff,30.0,0.0,0.0
8258dffffffffff,4.0,0.0,0.0
826a97fffffffff,1.0,0.0,0.0
826a9ffffffffff,8.0,0.0,0.0
826ac7fffffffff,282.0,0.0,49.0
826acffffffffff,32.0,0.0,5.0
826adffffffffff,39.0,0.0,7.0
826aeffffffffff,76.0,0.0,7.0
827507fffffffff,2.0,0.0,0.0
82750ffffffffff,90.0,0.0,0.0
827527fffffffff,2.0,0.0,0.0
82752ffffffffff,69.0,0.0,0.0
827577fffffffff,1.0,0.0,0.0
827587fffffffff,5.0,0.0,0.0
8275a7fffffffff,7.0,0.0,0.0
8275affffffffff,3.0,0.0,0.0
8275b7fffffffff,5.0,0.0,0.0
827a4ffffffffff,57.0,0.0,0.0
828287fffffffff,6.0,0.0,0.0
82828ffffffffff,150.0,0.0,0.0
828297fffffffff,8.0,0.0,0.0
8282a7fffffffff,13.0,0.0,0.0
8282affffffffff,16.0,0.0,0.0
8282d7fffffffff,5.0,0.0,0.0
828317fffffffff,13.0,0.0,4.0
828397fffffffff,1.0,0.0,0.0
8283a7fffffffff,7.0,0.0,0.0
8283affffffffff,5.0,0.0,2.0
