cell_id,Tympanuchus cupido,Tympanuchus cupido pinnatus,Tympanuchus cupido cupido,Tympanuchus cupido attwateri
8426021ffffffff,6.0,0.0,0.0,0.0
8426023ffffffff,4.0,0.0,0.0,0.0
8426025ffffffff,2.0,0.0,0.0,0.0
8426027ffffffff,8.0,0.0,0.0,0.0
8426031ffffffff,4.0,0.0,0.0,0.0
8426033ffffffff,5.0,0.0,0.0,0.0
8426035ffffffff,14.0,0.0,0.0,0.0
8426037ffffffff,3.0,0.0,0.0,0.0
8426039ffffffff,2.0,0.0,0.0,0.0
842603dffffffff,16.0,0.0,0.0,0.0
8426065ffffffff,3.0,0.0,0.0,0.0
842606dffffffff,2.0,0.0,0.0,0.0
8426099ffffffff,4.0,0.0,0.0,0.0
84260a3ffffffff,20.0,2.0,0.0,0.0
84260abffffffff,1.0,0.0,0.0,0.0
84260adffffffff,25.0,0.0,0.0,0.0
84260b5ffffffff,2.0,0.0,0.0,0.0
84260edffffffff,4.0,0.0,0.0,0.0
8426103ffffffff,5.0,0.0,0.0,0.0
8426107ffffffff,3.0,0.0,0.0,0.0
8426109ffffffff,2.0,0.0,0.0,0.0
842610bffffffff,2.0,0.0,0.0,0.0
842610dffffffff,5.0,0.0,0.0,0.0
8426111ffffffff,9.0,0.0,0.0,0.0
8426113ffffffff,2.0,0.0,0.0,0.0
8426115ffffffff,18.0,0.0,0.0,0.0
8426117ffffffff,16.0,0.0,0.0,0.0
8426119ffffffff,5.0,0.0,0.0,0.0
842611bffffffff,21.0,0.0,0.0,0.0
842611dffffffff,10.0,0.0,0.0,0.0
8426133ffffffff,9.0,0.0,0.0,0.0
8426137ffffffff,1.0,0.0,0.0,0.0
842613bffffffff,13.0,0.0,0.0,0.0
8426141ffffffff,2.0,0.0,0.0,0.0
8426143ffffffff,1.0,0.0,0.0,0.0
8426149ffffffff,4.0,0.0,0.0,0.0
842614bffffffff,15.0,0.0,0.0,0.0
8426151ffffffff,8.0,0.0,0.0,0.0
8426157ffffffff,6.0,0.0,0.0,0.0
8426159ffffffff,5.0,0.0,0.0,0.0
842615bffffffff,6.0,0.0,0.0,0.0
842615dffffffff,85.0,0.0,0.0,0.0
8426181ffffffff,12.0,0.0,0.0,0.0
8426183ffffffff,6.0,0.0,0.0,0.0
8426185ffffffff,1.0,0.0,0.0,0.0
8426187ffffffff,18.0,0.0,0.0,0.0
8426189ffffffff,5.0,0.0,0.0,0.0
842618bffffffff,51.0,0.0,0.0,0.0
842618dffffffff,4.0,0.0,0.0,0.0
