cell_id,Psalidoprocne albiceps,Psalidoprocne albiceps albiceps,Psalidoprocne albiceps suffusa
836a5afffffffff,12.0,1.0,0.0
836ac0fffffffff,47.0,10.0,0.0
836ac1fffffffff,238.0,50.0,0.0
836ac3fffffffff,342.0,40.0,0.0
836ac8fffffffff,73.0,15.0,0.0
836ac9fffffffff,30.0,0.0,0.0
836acafffffffff,3.0,0.0,0.0
836accfffffffff,25.0,2.0,0.0
836acdfffffffff,99.0,18.0,0.0
836acefffffffff,216.0,26.0,0.0
836ad8fffffffff,43.0,0.0,0.0
836ad9fffffffff,1.0,0.0,0.0
836adafffffffff,1.0,0.0,0.0
836adcfffffffff,260.0,14.0,0.0
836addfffffffff,90.0,21.0,0.0
836adefffffffff,23.0,0.0,0.0
836ae8fffffffff,154.0,19.0,0.0
836aeafffffffff,298.0,44.0,0.0
836aebfffffffff,12.0,4.0,0.0
836aeefffffffff,30.0,5.0,0.0
837a48fffffffff,37.0,0.0,0.0
837a4bfffffffff,10.0,0.0,0.0
837a4cfffffffff,476.0,0.0,0.0
837a4dfffffffff,243.0,0.0,0.0
837a60fffffffff,5.0,0.0,0.0
837a61fffffffff,3.0,0.0,0.0
837a64fffffffff,5.0,0.0,0.0
837a68fffffffff,369.0,2.0,0.0
837a69fffffffff,2.0,0.0,0.0
837a6afffffffff,11.0,0.0,0.0
837a6bfffffffff,38.0,0.0,0.0
837a6cfffffffff,1.0,0.0,0.0
837a6dfffffffff,42.0,0.0,0.0
837a6efffffffff,5.0,0.0,0.0
839610fffffffff,1.0,0.0,0.0
839613fffffffff,3.0,0.0,0.0
839615fffffffff,7.0,6.0,0.0
839689fffffffff,1.0,0.0,0.0
839690fffffffff,19.0,0.0,0.0
839692fffffffff,7.0,0.0,0.0
839693fffffffff,8.0,2.0,0.0
83969afffffffff,7.0,0.0,0.0
8396a0fffffffff,2.0,2.0,0.0
8396a2fffffffff,5.0,0.0,0.0
8396a3fffffffff,6.0,0.0,0.0
8396a5fffffffff,12.0,0.0,0.0
8396aafffffffff,1.0,0.0,0.0
8396acfffffffff,2.0,2.0,0.0
8396b0fffffffff,6.0,0.0,0.0
8396b1fffffffff,5.0,0.0,0.0
8396b5fffffffff,2.0,0.0,0.0
839789fffffffff,2.0,0.0,0.0
8397a8fffffffff,1.0,0.0,0.0
