cell_id,Amazilia tzacatl,Amazilia tzacatl [tzacatl Group],Amazilia tzacatl handleyi
834501fffffffff,166.0,0.0,0.0
834505fffffffff,744.0,40.0,0.0
834508fffffffff,37.0,0.0,0.0
83450afffffffff,24.0,0.0,0.0
83450cfffffffff,117.0,9.0,0.0
83450dfffffffff,1.0,0.0,0.0
83450efffffffff,52.0,0.0,0.0
834520fffffffff,983.0,6.0,0.0
834521fffffffff,4219.0,72.0,0.0
834522fffffffff,2810.0,0.0,0.0
834523fffffffff,2351.0,72.0,0.0
834524fffffffff,6.0,0.0,0.0
834525fffffffff,254.0,14.0,0.0
834526fffffffff,2947.0,0.0,0.0
834528fffffffff,622.0,13.0,0.0
834529fffffffff,23.0,0.0,0.0
83452afffffffff,6230.0,368.0,0.0
83452bfffffffff,45.0,8.0,0.0
83452cfffffffff,2692.0,43.0,0.0
83452dfffffffff,450.0,6.0,0.0
83452efffffffff,16932.0,550.0,0.0
834530fffffffff,43.0,0.0,0.0
834531fffffffff,515.0,0.0,0.0
834532fffffffff,132.0,0.0,0.0
834534fffffffff,128.0,0.0,0.0
834535fffffffff,37.0,0.0,0.0
834536fffffffff,132.0,0.0,0.0
834564fffffffff,10.0,0.0,0.0
834574fffffffff,4.0,0.0,0.0
834576fffffffff,24.0,0.0,0.0
834996fffffffff,60.0,2.0,0.0
836600fffffffff,7.0,0.0,0.0
836601fffffffff,19.0,0.0,0.0
836602fffffffff,299.0,0.0,0.0
836603fffffffff,13.0,0.0,0.0
836604fffffffff,63.0,0.0,0.0
836605fffffffff,1.0,0.0,0.0
836606fffffffff,99.0,0.0,0.0
836608fffffffff,2988.0,29.0,0.0
836609fffffffff,4.0,0.0,0.0
83660afffffffff,389.0,10.0,0.0
83660bfffffffff,199.0,0.0,0.0
83660cfffffffff,162.0,0.0,0.0
83660dfffffffff,86.0,2.0,0.0
83660efffffffff,142.0,0.0,0.0
836610fffffffff,1634.0,0.0,0.0
836611fffffffff,244.0,4.0,0.0
836612fffffffff,44.0,0.0,0.0
836613fffffffff,345.0,4.0,0.0
836615fffffffff,17.0,0.0,0.0
836616fffffffff,802.0,0.0,0.0
836618fffffffff,1066.0,21.0,0.0
836619fffffffff,3659.0,28.0,0.0
83661afffffffff,431.0,4.0,0.0
83661bfffffffff,5112.0,214.0,0.0
83661cfffffffff,125.0,0.0,0.0
83661dfffffffff,599.0,14.0,0.0
83661efffffffff,458.0,0.0,0.0
836620fffffffff,1558.0,133.0,0.0
836621fffffffff,262.0,2.0,0.0
836622fffffffff,1435.0,150.0,0.0
836623fffffffff,26.0,0.0,0.0
836625fffffffff,12.0,0.0,0.0
836628fffffffff,2.0,0.0,0.0
836629fffffffff,144.0,4.0,0.0
83662afffffffff,3.0,0.0,0.0
83662bfffffffff,170.0,0.0,0.0
83662cfffffffff,28.0,0.0,0.0
83662dfffffffff,57.0,8.0,0.0
83662efffffffff,26.0,0.0,0.0
836631fffffffff,793.0,1.0,0.0
836656fffffffff,14.0,0.0,0.0
836684fffffffff,103.0,22.0,0.0
8366a0fffffffff,4030.0,220.0,0.0
8366a1fffffffff,304.0,14.0,0.0
8366a2fffffffff,287.0,41.0,0.0
8366a3fffffffff,412.0,18.0,0.0
8366a5fffffffff,10376.0,780.0,0.0
8366a6fffffffff,2193.0,452.0,29.0
8366adfffffffff,3.0,0.0,0.0
8366aefffffffff,21.0,3.0,0.0
8366b0fffffffff,2584.0,0.0,0.0
8366b1fffffffff,59.0,3.0,0.0
8366b4fffffffff,17498.0,0.0,0.0
8366b5fffffffff,11005.0,341.0,0.0
8366b6fffffffff,665.0,0.0,0.0
8366c0fffffffff,7.0,0.0,0.0
8366c4fffffffff,124.0,0.0,0.0
8366c6fffffffff,572.0,8.0,0.0
8366d0fffffffff,1008.0,92.0,0.0
8366d1fffffffff,28.0,4.0,0.0
8366d2fffffffff,414.0,53.0,0.0
8366d3fffffffff,14600.0,1622.0,0.0
8366d4fffffffff,154.0,18.0,0.0
8366d5fffffffff,59.0,3.0,0.0
8366d6fffffffff,12.0,2.0,0.0
8366defffffffff,3.0,0.0,0.0
8366e0fffffffff,1380.0,24.0,0.0
8366e2fffffffff,116.0,0.0,0.0
8366e4fffffffff,2305.0,52.0,0.0
8366e5fffffffff,13.0,0.0,0.0
8366e6fffffffff,10376.0,99.0,0.0
8366f0fffffffff,1395.0,20.0,0.0
8366f1fffffffff,5638.0,17.0,0.0
8366f2fffffffff,7.0,0.0,0.0
8366f3fffffffff,127.0,0.0,0.0
8366f5fffffffff,4204.0,37.0,0.0
836751fffffffff,5.0,0.0,0.0
836752fffffffff,5.0,0.0,0.0
836753fffffffff,260.0,0.0,0.0
836756fffffffff,2.0,0.0,0.0
83675afffffffff,10.0,0.0,0.0
83675efffffffff,13.0,1.0,0.0
83678bfffffffff,11.0,4.0,0.0
836790fffffffff,41.0,0.0,0.0
836791fffffffff,16.0,0.0,0.0
836792fffffffff,35.0,0.0,0.0
836793fffffffff,48.0,0.0,0.0
836794fffffffff,70.0,0.0,0.0
836796fffffffff,286.0,0.0,0.0
83679afffffffff,8922.0,0.0,0.0
83679bfffffffff,2412.0,79.0,0.0
83679efffffffff,3.0,0.0,0.0
8367b2fffffffff,18.0,0.0,0.0
836d04fffffffff,1.0,0.0,0.0
836d20fffffffff,114.0,0.0,0.0
836d21fffffffff,466.0,82.0,0.0
836d22fffffffff,34.0,2.0,0.0
836d23fffffffff,224.0,46.0,0.0
836d24fffffffff,27.0,0.0,0.0
836d25fffffffff,259.0,8.0,0.0
836d26fffffffff,5.0,0.0,0.0
836d2cfffffffff,1100.0,158.0,0.0
836d2dfffffffff,859.0,0.0,0.0
836d2efffffffff,23.0,0.0,0.0
836d30fffffffff,520.0,52.0,0.0
836d31fffffffff,319.0,107.0,0.0
836d34fffffffff,14.0,2.0,0.0
836d35fffffffff,264.0,7.0,0.0
836d36fffffffff,19.0,0.0,0.0
836d60fffffffff,10.0,0.0,0.0
836d61fffffffff,53.0,0.0,0.0
836d64fffffffff,4.0,0.0,0.0
836d65fffffffff,3007.0,0.0,0.0
836d68fffffffff,4561.0,0.0,0.0
836d69fffffffff,42652.0,0.0,0.0
836d6afffffffff,31.0,0.0,0.0
836d6bfffffffff,2631.0,0.0,0.0
836d6cfffffffff,36.0,0.0,0.0
836d6dfffffffff,3955.0,0.0,0.0
838f0dfffffffff,807.0,86.0,0.0
838f28fffffffff,54.0,6.0,0.0
838f29fffffffff,411.0,5.0,0.0
838f2afffffffff,481.0,14.0,0.0
838f2bfffffffff,126.0,16.0,0.0
838f2cfffffffff,442.0,13.0,0.0
838f2dfffffffff,16.0,0.0,0.0
838f2efffffffff,32.0,0.0,0.0
838f76fffffffff,58.0,0.0,0.0
