cell_id,Nesotriccus murinus,Nesotriccus murinus incomtus/eremonomus,Nesotriccus murinus murinus/wagae
845f083ffffffff,38.0,38.0,0.0
845f085ffffffff,1.0,1.0,0.0
845f087ffffffff,2.0,2.0,0.0
845f08dffffffff,3.0,3.0,0.0
845f095ffffffff,172.0,172.0,0.0
845f09dffffffff,1.0,1.0,0.0
845f0b9ffffffff,6.0,6.0,0.0
845f0d7ffffffff,2.0,2.0,0.0
845f0dbffffffff,3.0,3.0,0.0
845f0e3ffffffff,2.0,2.0,0.0
845f105ffffffff,3.0,3.0,0.0
845f107ffffffff,1.0,1.0,0.0
845f129ffffffff,3.0,3.0,0.0
845f12bffffffff,44.0,44.0,0.0
845f139ffffffff,1.0,1.0,0.0
845f13bffffffff,3.0,3.0,0.0
845f13dffffffff,8.0,8.0,0.0
845f161ffffffff,2.0,2.0,0.0
845f1c3ffffffff,33.0,32.0,0.0
845f1cbffffffff,17.0,17.0,0.0
845f1edffffffff,4.0,4.0,0.0
845f291ffffffff,51.0,14.0,0.0
845f295ffffffff,52.0,8.0,0.0
845f297ffffffff,12.0,2.0,0.0
845f299ffffffff,56.0,6.0,0.0
845f29dffffffff,32.0,4.0,0.0
845f2b1ffffffff,4.0,4.0,0.0
845f2b3ffffffff,4.0,1.0,0.0
845f2bbffffffff,11.0,0.0,0.0
845f2d1ffffffff,74.0,16.0,0.0
845f2d3ffffffff,12.0,0.0,0.0
845f2d5ffffffff,17.0,0.0,0.0
845f2d7ffffffff,23.0,11.0,0.0
845f2dbffffffff,8.0,0.0,0.0
845f407ffffffff,3.0,3.0,0.0
845f415ffffffff,1.0,1.0,0.0
845f42bffffffff,5.0,5.0,0.0
845f437ffffffff,1.0,1.0,0.0
845f445ffffffff,2.0,2.0,0.0
845f461ffffffff,1.0,1.0,0.0
845f463ffffffff,2.0,2.0,0.0
845f483ffffffff,5.0,5.0,0.0
845f487ffffffff,1.0,1.0,0.0
845f491ffffffff,1.0,1.0,0.0
845f4a9ffffffff,2.0,2.0,0.0
845f4b9ffffffff,1.0,1.0,0.0
845f4bdffffffff,5.0,5.0,0.0
845f4e1ffffffff,1.0,1.0,0.0
845f4e3ffffffff,1.0,1.0,0.0
845f50bffffffff,10.0,10.0,0.0
845f683ffffffff,2.0,2.0,0.0
845f689ffffffff,2.0,2.0,0.0
845f703ffffffff,2.0,2.0,0.0
846601bffffffff,2.0,2.0,0.0
8466025ffffffff,4.0,4.0,0.0
846603dffffffff,4.0,4.0,0.0
8466043ffffffff,2.0,2.0,0.0
8466045ffffffff,18.0,18.0,0.0
846604dffffffff,2.0,2.0,0.0
8466067ffffffff,3.0,3.0,0.0
8466081ffffffff,8.0,8.0,0.0
8466083ffffffff,2.0,2.0,0.0
8466087ffffffff,4.0,4.0,0.0
8466089ffffffff,2.0,2.0,0.0
846608dffffffff,24.0,24.0,0.0
