cell_id,Cyornis omissus,Cyornis omissus [omissus Group],Cyornis omissus djampeanus
8368c3fffffffff,1.0,0.0,0.0
8368c8fffffffff,106.0,35.0,0.0
8368cafffffffff,18.0,9.0,0.0
8368cefffffffff,1.0,0.0,0.0
8368d0fffffffff,1.0,0.0,0.0
8368d1fffffffff,5.0,3.0,0.0
8368d2fffffffff,141.0,64.0,0.0
8368d3fffffffff,2.0,2.0,0.0
8368d8fffffffff,1.0,0.0,0.0
8368dcfffffffff,6.0,6.0,0.0
8368ddfffffffff,2.0,2.0,0.0
839500fffffffff,15.0,6.0,0.0
839503fffffffff,2.0,2.0,0.0
83951dfffffffff,18.0,0.0,14.0
839521fffffffff,5.0,3.0,0.0
