cell_id,Thraupis episcopus,Thraupis episcopus [cana Group],Thraupis episcopus [episcopus Group]
834424fffffffff,68.0,0.0,0.0
834501fffffffff,63.0,0.0,0.0
834505fffffffff,517.0,26.0,0.0
834508fffffffff,331.0,0.0,0.0
834509fffffffff,1031.0,0.0,0.0
83450afffffffff,396.0,0.0,0.0
83450bfffffffff,274.0,0.0,0.0
83450cfffffffff,214.0,0.0,0.0
83450dfffffffff,156.0,0.0,0.0
83450efffffffff,633.0,0.0,0.0
834520fffffffff,1307.0,0.0,0.0
834521fffffffff,2862.0,79.0,0.0
834522fffffffff,1282.0,0.0,0.0
834523fffffffff,1461.0,57.0,0.0
834524fffffffff,381.0,0.0,0.0
834525fffffffff,378.0,9.0,0.0
834526fffffffff,1919.0,0.0,0.0
834528fffffffff,199.0,10.0,0.0
834529fffffffff,78.0,2.0,0.0
83452afffffffff,2725.0,120.0,0.0
83452bfffffffff,194.0,6.0,0.0
83452cfffffffff,1695.0,113.0,0.0
83452dfffffffff,252.0,9.0,0.0
83452efffffffff,5616.0,225.0,0.0
834530fffffffff,67.0,0.0,0.0
834531fffffffff,893.0,0.0,0.0
834532fffffffff,203.0,0.0,0.0
834533fffffffff,108.0,0.0,0.0
834534fffffffff,151.0,0.0,0.0
834535fffffffff,160.0,0.0,0.0
834536fffffffff,128.0,0.0,0.0
834564fffffffff,22.0,0.0,0.0
83456dfffffffff,14.0,0.0,0.0
834572fffffffff,144.0,0.0,0.0
834574fffffffff,7.0,0.0,0.0
834576fffffffff,90.0,12.0,0.0
8348a2fffffffff,28.0,0.0,0.0
8348b5fffffffff,3.0,0.0,0.0
834990fffffffff,66.0,1.0,0.0
834991fffffffff,16.0,0.0,0.0
834992fffffffff,74.0,21.0,0.0
834993fffffffff,44.0,6.0,0.0
834994fffffffff,7.0,3.0,0.0
834996fffffffff,4287.0,184.0,0.0
834998fffffffff,56.0,0.0,0.0
83499bfffffffff,7.0,0.0,0.0
83499cfffffffff,35.0,0.0,0.0
83499efffffffff,19.0,0.0,0.0
8349b6fffffffff,7.0,3.0,0.0
835f01fffffffff,1.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0
835f03fffffffff,114.0,0.0,0.0
835f06fffffffff,3.0,0.0,0.0
835f08fffffffff,223.0,0.0,0.0
835f09fffffffff,595.0,0.0,0.0
835f0bfffffffff,123.0,0.0,0.0
835f0dfffffffff,36.0,0.0,0.0
835f0efffffffff,5.0,0.0,0.0
835f10fffffffff,23.0,0.0,0.0
835f12fffffffff,181.0,0.0,0.0
835f13fffffffff,82.0,0.0,0.0
835f14fffffffff,40.0,0.0,0.0
835f16fffffffff,30.0,0.0,0.0
835f1cfffffffff,303.0,0.0,0.0
835f1dfffffffff,29.0,0.0,0.0
835f1efffffffff,61.0,0.0,0.0
835f22fffffffff,1.0,0.0,0.0
835f23fffffffff,1.0,0.0,0.0
835f28fffffffff,3.0,0.0,0.0
835f29fffffffff,501.0,0.0,0.0
835f2bfffffffff,904.0,0.0,0.0
835f2dfffffffff,145.0,0.0,0.0
835f40fffffffff,140.0,1.0,0.0
835f41fffffffff,86.0,0.0,0.0
835f42fffffffff,55.0,0.0,0.0
835f43fffffffff,25.0,0.0,0.0
835f44fffffffff,2.0,0.0,0.0
835f46fffffffff,18.0,0.0,0.0
835f48fffffffff,81.0,1.0,0.0
835f49fffffffff,39.0,0.0,0.0
835f4afffffffff,159.0,0.0,0.0
835f4bfffffffff,177.0,0.0,0.0
835f4cfffffffff,2.0,0.0,0.0
835f4dfffffffff,5.0,0.0,0.0
835f4efffffffff,24.0,0.0,0.0
835f50fffffffff,43.0,0.0,0.0
835f54fffffffff,4.0,0.0,0.0
835f56fffffffff,10.0,0.0,0.0
835f58fffffffff,3408.0,0.0,0.0
835f59fffffffff,138.0,0.0,0.0
835f5afffffffff,1.0,0.0,0.0
835f5bfffffffff,1776.0,0.0,0.0
835f5dfffffffff,36.0,0.0,0.0
835f63fffffffff,6.0,0.0,0.0
835f66fffffffff,2.0,0.0,0.0
835f68fffffffff,39.0,0.0,0.0
835f6afffffffff,6.0,0.0,0.0
835f70fffffffff,2.0,0.0,0.0
835f71fffffffff,148.0,0.0,0.0
835f75fffffffff,125.0,1.0,0.0
835f76fffffffff,23.0,0.0,0.0
836600fffffffff,71.0,0.0,0.0
836601fffffffff,156.0,2.0,0.0
836602fffffffff,1043.0,0.0,0.0
836603fffffffff,29.0,0.0,0.0
836604fffffffff,121.0,0.0,0.0
836605fffffffff,19.0,0.0,0.0
836606fffffffff,479.0,0.0,0.0
836608fffffffff,4663.0,47.0,0.0
836609fffffffff,129.0,0.0,0.0
83660afffffffff,753.0,10.0,0.0
83660bfffffffff,855.0,6.0,0.0
83660cfffffffff,633.0,6.0,0.0
83660dfffffffff,335.0,0.0,0.0
83660efffffffff,529.0,0.0,0.0
836610fffffffff,3132.0,0.0,0.0
836611fffffffff,720.0,3.0,0.0
836612fffffffff,118.0,0.0,0.0
