cell_id,Urolais epichlorus,Urolais epichlorus epichlorus,Urolais epichlorus mariae
8358c2fffffffff,1.0,0.0,0.0
8358d1fffffffff,8.0,0.0,0.0
8358d3fffffffff,53.0,50.0,0.0
8358dcfffffffff,1.0,0.0,0.0
8382d0fffffffff,10.0,0.0,7.0
8382d1fffffffff,7.0,0.0,4.0
8382d2fffffffff,14.0,4.0,0.0
8382d3fffffffff,66.0,31.0,0.0
