cell_id,Philemon buceroides,Philemon buceroides novaeguineae,Philemon buceroides yorki,Philemon buceroides gordoni/ammitophilus,Philemon buceroides buceroides/neglectus
827287fffffffff,1.0,0.0,0.0,0.0,0.0
82728ffffffffff,40.0,0.0,0.0,0.0,0.0
827297fffffffff,7.0,0.0,0.0,0.0,0.0
82729ffffffffff,6.0,0.0,0.0,0.0,0.0
8272a7fffffffff,22.0,20.0,0.0,0.0,0.0
8272b7fffffffff,1.0,0.0,0.0,0.0,0.0
8272d7fffffffff,137.0,63.0,0.0,0.0,0.0
8272dffffffffff,178.0,41.0,0.0,0.0,0.0
8272f7fffffffff,396.0,191.0,0.0,0.0,0.0
82739ffffffffff,804.0,385.0,0.0,0.0,0.0
829407fffffffff,28.0,0.0,0.0,0.0,5.0
829427fffffffff,85.0,0.0,0.0,0.0,24.0
82942ffffffffff,223.0,0.0,0.0,0.0,89.0
829437fffffffff,6.0,0.0,0.0,0.0,3.0
82944ffffffffff,2.0,0.0,0.0,0.0,0.0
829457fffffffff,900.0,0.0,0.0,226.0,0.0
82945ffffffffff,392.0,0.0,0.0,83.0,0.0
8294effffffffff,29.0,0.0,0.0,5.0,0.0
829517fffffffff,15.0,0.0,0.0,0.0,0.0
82951ffffffffff,367.0,0.0,0.0,0.0,95.0
829557fffffffff,32.0,0.0,0.0,0.0,2.0
82956ffffffffff,33.0,20.0,0.0,0.0,0.0
8295a7fffffffff,7.0,0.0,0.0,0.0,3.0
8295affffffffff,132.0,0.0,0.0,0.0,66.0
829c07fffffffff,1087.0,0.0,407.0,0.0,0.0
829c0ffffffffff,52.0,0.0,20.0,0.0,0.0
829c1ffffffffff,595.0,0.0,250.0,0.0,0.0
829c27fffffffff,3423.0,0.0,1020.0,0.0,0.0
829c4ffffffffff,1.0,0.0,0.0,1.0,0.0
829c5ffffffffff,2.0,0.0,0.0,0.0,0.0
829c87fffffffff,4.0,2.0,0.0,0.0,0.0
829c8ffffffffff,7.0,0.0,0.0,0.0,0.0
829c9ffffffffff,417.0,28.0,0.0,0.0,0.0
829ca7fffffffff,64.0,3.0,0.0,0.0,0.0
829caffffffffff,501.0,293.0,0.0,0.0,0.0
829cb7fffffffff,82.0,10.0,0.0,0.0,0.0
829cc7fffffffff,9.0,0.0,0.0,0.0,0.0
829cd7fffffffff,292.0,147.0,0.0,0.0,0.0
829ce7fffffffff,30.0,0.0,8.0,0.0,0.0
829ceffffffffff,44.0,0.0,0.0,0.0,0.0
829cf7fffffffff,103.0,0.0,49.0,0.0,0.0
829d07fffffffff,238.0,0.0,42.0,0.0,0.0
829d0ffffffffff,455.0,0.0,89.0,0.0,0.0
829d27fffffffff,1.0,0.0,1.0,0.0,0.0
829d2ffffffffff,9.0,0.0,0.0,0.0,0.0
829d97fffffffff,1.0,1.0,0.0,0.0,0.0
829d9ffffffffff,2.0,0.0,0.0,0.0,0.0
