cell_id,Lamprotornis mevesii,Lamprotornis mevesii mevesii,Lamprotornis mevesii violacior,Lamprotornis mevesii benguelensis
828327fffffffff,10.0,0.0,0.0,0.0
829617fffffffff,39.0,1.0,0.0,0.0
829627fffffffff,284.0,47.0,0.0,0.0
82962ffffffffff,46.0,14.0,0.0,0.0
829637fffffffff,280.0,70.0,0.0,0.0
829707fffffffff,86.0,1.0,0.0,0.0
82970ffffffffff,10.0,0.0,0.0,0.0
82971ffffffffff,4.0,0.0,0.0,0.0
82972ffffffffff,536.0,157.0,0.0,0.0
829747fffffffff,717.0,61.0,0.0,0.0
82974ffffffffff,797.0,124.0,0.0,0.0
829757fffffffff,333.0,34.0,0.0,0.0
82975ffffffffff,220.0,12.0,0.0,0.0
829777fffffffff,12.0,0.0,0.0,0.0
8297affffffffff,111.0,11.0,0.0,0.0
82ac87fffffffff,95.0,0.0,0.0,0.0
82ac8ffffffffff,122.0,0.0,0.0,0.0
82ac97fffffffff,10.0,2.0,0.0,0.0
82ac9ffffffffff,4.0,0.0,0.0,0.0
82bcd7fffffffff,5.0,0.0,0.0,0.0
82bcdffffffffff,20.0,0.0,0.0,0.0
