cell_id,Atlapetes albinucha,Atlapetes albinucha albinucha,Atlapetes albinucha [gutturalis Group]
834520fffffffff,6.0,0.0,0.0
834525fffffffff,3.0,0.0,3.0
834990fffffffff,2.0,0.0,0.0
834996fffffffff,21.0,18.0,0.0
83660bfffffffff,1.0,0.0,0.0
83661bfffffffff,7.0,0.0,7.0
8366b4fffffffff,23.0,0.0,22.0
8366b5fffffffff,1.0,0.0,0.0
8366c4fffffffff,7.0,0.0,0.0
8366d1fffffffff,6.0,0.0,0.0
8366defffffffff,6.0,0.0,1.0
8366e0fffffffff,7.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0
8366f1fffffffff,4.0,0.0,1.0
836d23fffffffff,7.0,0.0,0.0
836d28fffffffff,3.0,0.0,2.0
836d29fffffffff,4.0,0.0,2.0
836d2bfffffffff,1.0,0.0,0.0
836d2dfffffffff,1.0,0.0,0.0
836d30fffffffff,3.0,2.0,0.0
836d36fffffffff,1.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0
836d69fffffffff,78.0,0.0,38.0
