cell_id,Cardellina pusilla,Cardellina pusilla pileolata,Cardellina pusilla pusilla,Cardellina pusilla chryseola
820c17fffffffff,12.0,0.0,0.0,3.0
820c1ffffffffff,8.0,0.0,0.0,0.0
820c47fffffffff,57.0,19.0,0.0,2.0
820c57fffffffff,6.0,0.0,0.0,0.0
820c5ffffffffff,10.0,0.0,0.0,0.0
820c6ffffffffff,3.0,0.0,0.0,0.0
820c77fffffffff,31.0,0.0,0.0,0.0
820ca7fffffffff,16.0,0.0,0.0,0.0
820d07fffffffff,3.0,0.0,0.0,0.0
820d4ffffffffff,2.0,0.0,0.0,0.0
820d57fffffffff,2.0,0.0,0.0,0.0
820d5ffffffffff,1.0,0.0,0.0,0.0
820d77fffffffff,3.0,0.0,0.0,0.0
820e37fffffffff,2.0,0.0,0.0,0.0
820e4ffffffffff,9.0,0.0,0.0,0.0
820e6ffffffffff,1.0,0.0,0.0,0.0
820ec7fffffffff,9.0,0.0,0.0,0.0
820ecffffffffff,14.0,0.0,12.0,0.0
820ed7fffffffff,4.0,0.0,0.0,0.0
820eeffffffffff,53.0,0.0,0.0,0.0
820ef7fffffffff,2.0,0.0,2.0,0.0
821237fffffffff,1.0,0.0,0.0,0.0
821257fffffffff,8.0,0.0,0.0,0.0
82125ffffffffff,4.0,0.0,0.0,0.0
82128ffffffffff,4.0,0.0,0.0,0.0
8212affffffffff,2.0,0.0,0.0,0.0
8212b7fffffffff,7.0,0.0,0.0,0.0
8212c7fffffffff,40.0,0.0,0.0,0.0
8212cffffffffff,67.0,0.0,0.0,0.0
8212d7fffffffff,26.0,0.0,0.0,0.0
8212dffffffffff,17.0,0.0,0.0,0.0
8212e7fffffffff,1.0,0.0,0.0,0.0
8212effffffffff,15.0,0.0,0.0,0.0
8212f7fffffffff,6.0,2.0,0.0,0.0
821387fffffffff,101.0,0.0,0.0,0.0
82138ffffffffff,44.0,0.0,0.0,0.0
821397fffffffff,3.0,0.0,0.0,0.0
82139ffffffffff,10.0,0.0,0.0,0.0
8213a7fffffffff,1.0,0.0,0.0,0.0
8213b7fffffffff,1.0,0.0,0.0,0.0
821aa7fffffffff,110.0,0.0,0.0,0.0
821ab7fffffffff,7.0,0.0,0.0,0.0
821b87fffffffff,4.0,0.0,0.0,0.0
821b9ffffffffff,13.0,0.0,0.0,0.0
821db7fffffffff,3.0,0.0,0.0,0.0
8222d7fffffffff,3.0,0.0,0.0,0.0
8222dffffffffff,15.0,3.0,0.0,0.0
822607fffffffff,5.0,0.0,3.0,0.0
82260ffffffffff,9.0,0.0,1.0,0.0
822617fffffffff,2.0,0.0,0.0,0.0
82261ffffffffff,4.0,0.0,0.0,0.0
822627fffffffff,4.0,0.0,0.0,0.0
82262ffffffffff,4.0,0.0,0.0,0.0
822647fffffffff,11.0,0.0,0.0,0.0
82264ffffffffff,66.0,2.0,0.0,0.0
822657fffffffff,52.0,0.0,2.0,0.0
82265ffffffffff,20.0,0.0,0.0,0.0
822667fffffffff,102.0,0.0,10.0,0.0
82266ffffffffff,49.0,0.0,0.0,0.0
822687fffffffff,137.0,0.0,0.0,0.0
82268ffffffffff,265.0,0.0,0.0,0.0
822697fffffffff,192.0,0.0,0.0,0.0
82269ffffffffff,71.0,3.0,0.0,0.0
8226a7fffffffff,10.0,0.0,0.0,0.0
8226affffffffff,110.0,0.0,0.0,0.0
8226b7fffffffff,10.0,0.0,0.0,0.0
8226c7fffffffff,13.0,0.0,0.0,0.0
8226cffffffffff,12.0,0.0,0.0,0.0
8226d7fffffffff,47.0,0.0,0.0,0.0
8226dffffffffff,16.0,0.0,0.0,0.0
8226e7fffffffff,14.0,0.0,0.0,0.0
8226effffffffff,30.0,0.0,0.0,0.0
8226f7fffffffff,72.0,0.0,0.0,0.0
822707fffffffff,5.0,0.0,0.0,0.0
82270ffffffffff,9.0,0.0,7.0,0.0
82271ffffffffff,2.0,0.0,0.0,0.0
822737fffffffff,1.0,0.0,0.0,0.0
822747fffffffff,16.0,0.0,0.0,0.0
82274ffffffffff,97.0,0.0,0.0,0.0
822757fffffffff,48.0,0.0,0.0,0.0
82275ffffffffff,32.0,0.0,0.0,0.0
822767fffffffff,12.0,0.0,3.0,0.0
82276ffffffffff,74.0,0.0,36.0,0.0
822777fffffffff,28.0,0.0,2.0,0.0
822787fffffffff,8.0,0.0,0.0,0.0
82278ffffffffff,6.0,0.0,0.0,0.0
822797fffffffff,27.0,0.0,0.0,0.0
82279ffffffffff,2.0,0.0,0.0,0.0
8227affffffffff,5.0,0.0,0.0,0.0
8227b7fffffffff,5.0,0.0,0.0,0.0
822807fffffffff,284.0,2.0,0.0,218.0
822817fffffffff,190.0,0.0,0.0,51.0
82281ffffffffff,235.0,0.0,0.0,64.0
822837fffffffff,1964.0,4.0,0.0,411.0
822887fffffffff,98.0,0.0,0.0,2.0
82288ffffffffff,33.0,0.0,0.0,0.0
822897fffffffff,89.0,0.0,0.0,0.0
82289ffffffffff,23.0,0.0,0.0,0.0
