cell_id,Zosterops minor,Zosterops minor [chrysolaemus Group],Zosterops minor minor/rothschildi
837284fffffffff,1.0,1.0,0.0
837289fffffffff,4.0,0.0,3.0
83728bfffffffff,3.0,0.0,1.0
8372a0fffffffff,6.0,2.0,0.0
8372a2fffffffff,128.0,22.0,0.0
8372b0fffffffff,1.0,0.0,0.0
8372d2fffffffff,54.0,6.0,0.0
8372d9fffffffff,17.0,0.0,0.0
8372dafffffffff,78.0,0.0,0.0
8372dbfffffffff,32.0,0.0,0.0
8372defffffffff,1.0,0.0,0.0
8372f2fffffffff,1.0,0.0,0.0
8372f3fffffffff,3.0,0.0,0.0
839c85fffffffff,7.0,0.0,0.0
839c8afffffffff,2.0,0.0,0.0
839c8bfffffffff,7.0,0.0,0.0
839c8efffffffff,2.0,0.0,0.0
839c9dfffffffff,64.0,0.0,0.0
839caafffffffff,2.0,0.0,0.0
839caefffffffff,167.0,26.0,0.0
839cb5fffffffff,27.0,0.0,0.0
839cd2fffffffff,5.0,0.0,0.0
