cell_id,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota [pyrrhonota Group],Petrochelidon pyrrhonota melanogaster
830c02fffffffff,2.0,0.0,0.0
830c05fffffffff,8.0,0.0,0.0
830c06fffffffff,4.0,0.0,0.0
830c0bfffffffff,2.0,0.0,0.0
830c14fffffffff,1520.0,0.0,0.0
830c15fffffffff,36.0,0.0,0.0
830c18fffffffff,6.0,0.0,0.0
830c1bfffffffff,38.0,0.0,0.0
830c2dfffffffff,2.0,0.0,0.0
830c30fffffffff,2.0,0.0,0.0
830c32fffffffff,2.0,0.0,0.0
830c33fffffffff,216.0,0.0,0.0
830c34fffffffff,4.0,0.0,0.0
830c42fffffffff,32.0,0.0,0.0
830c44fffffffff,5.0,0.0,0.0
830c45fffffffff,14.0,0.0,0.0
830c46fffffffff,45.0,0.0,0.0
830c50fffffffff,10.0,0.0,0.0
830c51fffffffff,72.0,0.0,0.0
830c52fffffffff,2.0,0.0,0.0
830c55fffffffff,30.0,0.0,0.0
830c56fffffffff,2.0,0.0,0.0
830c60fffffffff,4.0,2.0,0.0
830c61fffffffff,2.0,0.0,0.0
830c62fffffffff,63.0,2.0,0.0
830c63fffffffff,11.0,0.0,0.0
830c64fffffffff,24.0,1.0,0.0
830c65fffffffff,57.0,2.0,0.0
830c66fffffffff,200.0,11.0,0.0
830c70fffffffff,16.0,0.0,0.0
830c71fffffffff,32.0,2.0,0.0
830c73fffffffff,246.0,0.0,0.0
830c74fffffffff,405.0,31.0,0.0
830c75fffffffff,298.0,21.0,0.0
830c76fffffffff,52.0,0.0,0.0
830ce2fffffffff,2.0,0.0,0.0
830ce3fffffffff,2.0,0.0,0.0
830ceafffffffff,1.0,0.0,0.0
830cf4fffffffff,2.0,0.0,0.0
830d03fffffffff,45.0,0.0,0.0
830d09fffffffff,59.0,0.0,0.0
830d0dfffffffff,2.0,0.0,0.0
830d40fffffffff,18.0,0.0,0.0
830d42fffffffff,13.0,0.0,0.0
830d44fffffffff,6.0,0.0,0.0
830d48fffffffff,35.0,0.0,0.0
830d49fffffffff,33.0,0.0,0.0
830d4afffffffff,69.0,2.0,0.0
830d4cfffffffff,3.0,0.0,0.0
830d4dfffffffff,54.0,0.0,0.0
830d4efffffffff,1.0,0.0,0.0
830d52fffffffff,51.0,0.0,0.0
830d53fffffffff,47.0,0.0,0.0
830d56fffffffff,8.0,0.0,0.0
830d58fffffffff,48.0,0.0,0.0
830d59fffffffff,17.0,0.0,0.0
830d5afffffffff,373.0,18.0,0.0
830d5bfffffffff,11.0,2.0,0.0
830d5cfffffffff,7.0,1.0,0.0
830d5efffffffff,25.0,0.0,0.0
830d60fffffffff,33.0,0.0,0.0
830d61fffffffff,14.0,0.0,0.0
830d62fffffffff,7.0,0.0,0.0
830d68fffffffff,2.0,0.0,0.0
830d6bfffffffff,2.0,0.0,0.0
830d6cfffffffff,14.0,0.0,0.0
830d6efffffffff,4.0,0.0,0.0
830d71fffffffff,2.0,0.0,0.0
830d72fffffffff,18.0,0.0,0.0
830d73fffffffff,3.0,0.0,0.0
830d74fffffffff,1.0,0.0,0.0
830d76fffffffff,2.0,0.0,0.0
830e49fffffffff,43.0,0.0,0.0
830e5bfffffffff,4.0,0.0,0.0
830e9afffffffff,3.0,0.0,0.0
830e9dfffffffff,1.0,0.0,0.0
830ec1fffffffff,1.0,0.0,0.0
