cell_id,Sayornis nigricans,Sayornis nigricans [nigricans Group],Sayornis nigricans latirostris/angustirostris
822687fffffffff,6.0,0.0,0.0
82268ffffffffff,868.0,0.0,0.0
822697fffffffff,105.0,0.0,0.0
82269ffffffffff,2035.0,0.0,0.0
8226d7fffffffff,33.0,0.0,0.0
822807fffffffff,19574.0,0.0,0.0
822817fffffffff,7421.0,0.0,0.0
82281ffffffffff,12237.0,91.0,0.0
822837fffffffff,248211.0,4925.0,0.0
8228a7fffffffff,4.0,0.0,0.0
8228affffffffff,2.0,0.0,0.0
8228c7fffffffff,19.0,0.0,0.0
8228f7fffffffff,13569.0,2.0,0.0
822917fffffffff,21082.0,0.0,0.0
82291ffffffffff,10274.0,0.0,0.0
822987fffffffff,7052.0,0.0,0.0
82298ffffffffff,5378.0,0.0,0.0
822997fffffffff,3077.0,4.0,0.0
82299ffffffffff,13.0,0.0,0.0
8229a7fffffffff,201491.0,30.0,0.0
8229affffffffff,43114.0,113.0,0.0
8229b7fffffffff,15664.0,498.0,0.0
824527fffffffff,1953.0,52.0,0.0
82452ffffffffff,1970.0,59.0,0.0
824537fffffffff,466.0,3.0,0.0
824807fffffffff,325.0,0.0,0.0
82480ffffffffff,1822.0,0.0,0.0
824817fffffffff,900.0,0.0,0.0
82481ffffffffff,297.0,0.0,0.0
824827fffffffff,436.0,0.0,0.0
82482ffffffffff,1037.0,0.0,0.0
824837fffffffff,511.0,15.0,0.0
824847fffffffff,428.0,0.0,0.0
82484ffffffffff,573.0,0.0,0.0
824857fffffffff,627.0,0.0,0.0
82485ffffffffff,11842.0,0.0,0.0
824877fffffffff,673.0,0.0,0.0
824887fffffffff,3581.0,0.0,0.0
82488ffffffffff,1001.0,0.0,0.0
82489ffffffffff,157.0,0.0,0.0
8248a7fffffffff,2135.0,0.0,0.0
8248affffffffff,1543.0,0.0,0.0
8248b7fffffffff,8487.0,0.0,0.0
8248c7fffffffff,11368.0,107.0,0.0
8248cffffffffff,4126.0,363.0,0.0
8248d7fffffffff,1127.0,0.0,0.0
8248dffffffffff,11111.0,0.0,0.0
8248e7fffffffff,717.0,0.0,0.0
8248effffffffff,62598.0,807.0,0.0
8248f7fffffffff,916.0,0.0,0.0
824987fffffffff,1851.0,3.0,0.0
82498ffffffffff,554.0,0.0,0.0
824997fffffffff,2577.0,123.0,0.0
82499ffffffffff,288.0,0.0,0.0
8249affffffffff,721.0,10.0,0.0
8249b7fffffffff,392.0,1.0,0.0
825f4ffffffffff,45.0,0.0,0.0
826607fffffffff,8.0,0.0,0.0
82660ffffffffff,1359.0,0.0,12.0
826617fffffffff,21.0,0.0,5.0
82661ffffffffff,10747.0,0.0,716.0
826627fffffffff,336.0,0.0,21.0
82662ffffffffff,571.0,0.0,30.0
826637fffffffff,2.0,0.0,0.0
826657fffffffff,32.0,0.0,0.0
826667fffffffff,1.0,0.0,0.0
826677fffffffff,2.0,0.0,0.0
8266a7fffffffff,780.0,2.0,33.0
8266b7fffffffff,7922.0,45.0,0.0
8266c7fffffffff,2621.0,0.0,37.0
8266d7fffffffff,6250.0,0.0,943.0
8266dffffffffff,3334.0,0.0,730.0
8266e7fffffffff,10088.0,0.0,504.0
8266effffffffff,17.0,0.0,0.0
8266f7fffffffff,4497.0,0.0,165.0
826747fffffffff,207.0,0.0,4.0
82674ffffffffff,210.0,0.0,4.0
826757fffffffff,20.0,0.0,0.0
82675ffffffffff,161.0,0.0,0.0
826797fffffffff,90.0,0.0,0.0
82679ffffffffff,207.0,0.0,0.0
826d07fffffffff,87.0,5.0,0.0
826d17fffffffff,93.0,14.0,0.0
826d27fffffffff,207.0,15.0,0.0
826d2ffffffffff,3296.0,72.0,0.0
826d37fffffffff,1898.0,162.0,0.0
826d67fffffffff,657.0,0.0,0.0
826d6ffffffffff,7843.0,0.0,0.0
826d77fffffffff,36.0,0.0,0.0
828b27fffffffff,218.0,0.0,38.0
828b2ffffffffff,121.0,0.0,10.0
828b47fffffffff,6.0,0.0,0.0
828b67fffffffff,1237.0,0.0,12.0
828b6ffffffffff,1134.0,0.0,0.0
828b77fffffffff,34.0,0.0,1.0
828e67fffffffff,263.0,0.0,37.0
828e6ffffffffff,75.0,0.0,0.0
828f0ffffffffff,570.0,0.0,97.0
828f2ffffffffff,484.0,0.0,56.0
828f47fffffffff,174.0,0.0,30.0
828f4ffffffffff,134.0,0.0,8.0
828f57fffffffff,672.0,0.0,78.0
828f5ffffffffff,178.0,0.0,17.0
828f77fffffffff,1691.0,0.0,259.0
82b277fffffffff,319.0,0.0,0.0
82b327fffffffff,117.0,0.0,3.0
82b347fffffffff,696.0,0.0,0.0
82b357fffffffff,491.0,0.0,0.0
82b35ffffffffff,685.0,0.0,0.0
82b367fffffffff,12.0,0.0,0.0
82b377fffffffff,21.0,0.0,0.0
