cell_id,Piaya cayana,Piaya cayana mexicana,Piaya cayana thermophila,Piaya cayana nigricrissa,Piaya cayana [cayana Group]
834424fffffffff,38.0,0.0,0.0,0.0,0.0
834501fffffffff,324.0,0.0,24.0,0.0,0.0
834505fffffffff,302.0,0.0,40.0,0.0,0.0
834508fffffffff,617.0,0.0,69.0,0.0,0.0
834509fffffffff,451.0,0.0,179.0,0.0,0.0
83450afffffffff,1646.0,0.0,100.0,0.0,0.0
83450bfffffffff,715.0,0.0,75.0,0.0,0.0
83450cfffffffff,355.0,0.0,40.0,0.0,0.0
83450dfffffffff,186.0,0.0,98.0,0.0,0.0
83450efffffffff,931.0,0.0,89.0,0.0,0.0
834519fffffffff,2.0,0.0,0.0,0.0,0.0
834520fffffffff,748.0,0.0,11.0,0.0,0.0
834521fffffffff,1306.0,0.0,53.0,0.0,0.0
834522fffffffff,1343.0,0.0,0.0,0.0,0.0
834523fffffffff,1250.0,0.0,78.0,0.0,0.0
834524fffffffff,1785.0,0.0,1.0,0.0,0.0
834525fffffffff,720.0,0.0,148.0,0.0,0.0
834526fffffffff,1967.0,0.0,0.0,0.0,0.0
834528fffffffff,1140.0,0.0,104.0,0.0,0.0
834529fffffffff,42.0,0.0,2.0,0.0,0.0
83452afffffffff,2794.0,0.0,277.0,0.0,0.0
83452bfffffffff,311.0,0.0,66.0,0.0,0.0
83452cfffffffff,1559.0,0.0,193.0,0.0,0.0
83452dfffffffff,428.0,0.0,80.0,0.0,0.0
83452efffffffff,9947.0,0.0,635.0,0.0,0.0
834530fffffffff,56.0,0.0,0.0,0.0,0.0
834531fffffffff,97.0,0.0,0.0,0.0,0.0
834532fffffffff,80.0,0.0,0.0,0.0,0.0
834534fffffffff,242.0,0.0,0.0,0.0,0.0
834535fffffffff,204.0,0.0,0.0,0.0,0.0
834536fffffffff,86.0,0.0,0.0,0.0,0.0
834564fffffffff,51.0,0.0,6.0,0.0,0.0
834569fffffffff,1.0,0.0,0.0,0.0,0.0
83456dfffffffff,17.0,0.0,0.0,0.0,0.0
834572fffffffff,238.0,0.0,104.0,0.0,0.0
834574fffffffff,6.0,0.0,0.0,0.0,0.0
834576fffffffff,46.0,0.0,4.0,0.0,0.0
834802fffffffff,9.0,0.0,0.0,0.0,0.0
834803fffffffff,1.0,1.0,0.0,0.0,0.0
834806fffffffff,6.0,1.0,0.0,0.0,0.0
83480afffffffff,410.0,74.0,0.0,0.0,0.0
83480efffffffff,4.0,2.0,0.0,0.0,0.0
834815fffffffff,47.0,0.0,0.0,0.0,0.0
83481dfffffffff,35.0,7.0,0.0,0.0,0.0
834830fffffffff,6.0,2.0,0.0,0.0,0.0
834832fffffffff,17.0,4.0,0.0,0.0,0.0
834833fffffffff,342.0,23.0,0.0,0.0,0.0
834836fffffffff,3233.0,389.0,0.0,0.0,0.0
8348b4fffffffff,6.0,0.0,4.0,0.0,0.0
8348e4fffffffff,8.0,2.0,0.0,0.0,0.0
834980fffffffff,124.0,70.0,0.0,0.0,0.0
834981fffffffff,1.0,0.0,0.0,0.0,0.0
834984fffffffff,2.0,2.0,0.0,0.0,0.0
834985fffffffff,35.0,0.0,0.0,0.0,0.0
834986fffffffff,138.0,66.0,0.0,0.0,0.0
83498cfffffffff,87.0,1.0,0.0,0.0,0.0
83498dfffffffff,4.0,2.0,0.0,0.0,0.0
834990fffffffff,63.0,0.0,8.0,0.0,0.0
834991fffffffff,25.0,0.0,4.0,0.0,0.0
834992fffffffff,37.0,0.0,5.0,0.0,0.0
834993fffffffff,10.0,0.0,4.0,0.0,0.0
834994fffffffff,59.0,0.0,0.0,0.0,0.0
834996fffffffff,5422.0,0.0,1242.0,0.0,0.0
834998fffffffff,292.0,0.0,31.0,0.0,0.0
83499afffffffff,4.0,0.0,2.0,0.0,0.0
83499bfffffffff,37.0,0.0,5.0,0.0,0.0
83499cfffffffff,56.0,0.0,0.0,0.0,0.0
83499efffffffff,86.0,0.0,0.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0,0.0,0.0
8349a2fffffffff,42.0,16.0,0.0,0.0,0.0
8349a3fffffffff,11.0,4.0,0.0,0.0,0.0
8349a8fffffffff,759.0,57.0,0.0,0.0,0.0
8349a9fffffffff,988.0,174.0,0.0,0.0,0.0
8349aafffffffff,239.0,25.0,0.0,0.0,0.0
8349abfffffffff,231.0,17.0,0.0,0.0,0.0
8349acfffffffff,4.0,0.0,0.0,0.0,0.0
8349adfffffffff,24.0,0.0,0.0,0.0,0.0
8349aefffffffff,20.0,0.0,0.0,0.0,0.0
8349b0fffffffff,23.0,2.0,0.0,0.0,0.0
8349b1fffffffff,33.0,14.0,0.0,0.0,0.0
8349b2fffffffff,25.0,0.0,0.0,0.0,0.0
8349b3fffffffff,1062.0,330.0,0.0,0.0,0.0
8349b5fffffffff,90.0,34.0,0.0,0.0,0.0
8349b6fffffffff,17.0,0.0,0.0,0.0,0.0
835e64fffffffff,1.0,0.0,0.0,0.0,0.0
