cell_id,Tauraco schuettii,Tauraco schuettii emini,Tauraco schuettii schuettii
846a9e5ffffffff,4.0,0.0,0.0
846a9e7ffffffff,14.0,0.0,0.0
846a9edffffffff,9.0,0.0,0.0
846ac03ffffffff,33.0,1.0,0.0
846ac07ffffffff,1.0,0.0,0.0
846ac0bffffffff,28.0,1.0,0.0
846ac15ffffffff,199.0,25.0,0.0
846ac1dffffffff,5.0,0.0,0.0
846ac35ffffffff,1.0,0.0,0.0
846ac3dffffffff,5.0,0.0,0.0
846acadffffffff,7.0,0.0,0.0
846acc3ffffffff,1.0,0.0,0.0
846acc7ffffffff,15.0,0.0,0.0
846acd1ffffffff,2.0,0.0,0.0
846acd5ffffffff,50.0,8.0,0.0
846ace5ffffffff,3.0,3.0,0.0
846ada1ffffffff,3.0,0.0,0.0
846adc1ffffffff,874.0,93.0,0.0
846adc5ffffffff,17.0,0.0,0.0
846ade3ffffffff,1.0,0.0,0.0
846ade5ffffffff,2.0,0.0,0.0
846ade7ffffffff,200.0,0.0,0.0
846adebffffffff,1.0,0.0,0.0
846ae85ffffffff,1.0,0.0,0.0
846aea1ffffffff,20.0,2.0,0.0
846aea5ffffffff,1.0,0.0,0.0
846aeabffffffff,15.0,0.0,0.0
847a4cbffffffff,28.0,0.0,0.0
847a4ddffffffff,31.0,0.0,0.0
8483921ffffffff,2.0,0.0,0.0
8483981ffffffff,12.0,0.0,0.0
8483983ffffffff,10.0,0.0,0.0
848398bffffffff,14.0,0.0,0.0
8496d21ffffffff,2.0,0.0,0.0
8496d2dffffffff,1.0,0.0,0.0
8496d67ffffffff,2.0,0.0,0.0
8496d85ffffffff,1.0,0.0,0.0
