cell_id,Onychorhynchus coronatus,Onychorhynchus coronatus mexicanus/fraterculus,Onychorhynchus coronatus occidentalis,Onychorhynchus coronatus coronatus/castelnaui
83450dfffffffff,3.0,0.0,0.0,0.0
834522fffffffff,2.0,2.0,0.0,0.0
834525fffffffff,2.0,0.0,0.0,0.0
834528fffffffff,4.0,2.0,0.0,0.0
83452afffffffff,17.0,1.0,0.0,0.0
83452dfffffffff,1.0,0.0,0.0,0.0
83452efffffffff,4.0,0.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0,0.0
836611fffffffff,3.0,0.0,0.0,0.0
836616fffffffff,4.0,0.0,0.0,0.0
836618fffffffff,2.0,0.0,0.0,0.0
83661bfffffffff,6.0,0.0,0.0,0.0
83661cfffffffff,33.0,2.0,0.0,0.0
83661efffffffff,20.0,3.0,0.0,0.0
8366b4fffffffff,7.0,2.0,0.0,0.0
8366b5fffffffff,2.0,2.0,0.0,0.0
8366c5fffffffff,2.0,0.0,0.0,0.0
8366ecfffffffff,2.0,0.0,0.0,0.0
83679afffffffff,65.0,6.0,0.0,0.0
836d21fffffffff,8.0,1.0,0.0,0.0
836d2cfffffffff,5.0,4.0,0.0,0.0
836d30fffffffff,3.0,3.0,0.0,0.0
836d31fffffffff,2.0,0.0,0.0,0.0
836d35fffffffff,2.0,2.0,0.0,0.0
836d68fffffffff,8.0,1.0,0.0,0.0
836d69fffffffff,23.0,8.0,0.0,0.0
838142fffffffff,1.0,0.0,0.0,0.0
838143fffffffff,3.0,0.0,0.0,1.0
838b44fffffffff,4.0,0.0,0.0,4.0
838b63fffffffff,5.0,0.0,0.0,5.0
838f0dfffffffff,3.0,0.0,3.0,0.0
838f2afffffffff,1.0,0.0,0.0,0.0
838f2bfffffffff,7.0,0.0,5.0,0.0
