cell_id,Copsychus saularis,Copsychus saularis [saularis Group],Copsychus saularis [amoenus Group]
84209a5ffffffff,509.0,0.0,0.0
84209e7ffffffff,35.0,0.0,0.0
8430827ffffffff,1.0,0.0,0.0
8430833ffffffff,3.0,0.0,0.0
8430839ffffffff,2.0,0.0,0.0
8430911ffffffff,55.0,0.0,0.0
8430913ffffffff,2.0,0.0,0.0
8430915ffffffff,2.0,0.0,0.0
843091dffffffff,12.0,0.0,0.0
8430923ffffffff,3.0,0.0,0.0
8430929ffffffff,5.0,2.0,0.0
8430963ffffffff,8.0,0.0,0.0
8430981ffffffff,20.0,0.0,0.0
8430983ffffffff,4.0,0.0,0.0
8430985ffffffff,11.0,0.0,0.0
8430987ffffffff,11.0,0.0,0.0
8430989ffffffff,85.0,0.0,0.0
843098dffffffff,35.0,0.0,0.0
8430991ffffffff,8.0,0.0,0.0
8430995ffffffff,163.0,0.0,0.0
8430997ffffffff,2.0,0.0,0.0
843099dffffffff,2.0,0.0,0.0
84309a1ffffffff,3.0,0.0,0.0
84309a3ffffffff,4.0,0.0,0.0
84309a5ffffffff,357.0,1.0,0.0
84309a7ffffffff,9.0,0.0,0.0
84309abffffffff,5.0,0.0,0.0
84309adffffffff,24.0,0.0,0.0
84309b3ffffffff,3.0,0.0,0.0
84309b5ffffffff,6.0,0.0,0.0
84309b9ffffffff,141.0,0.0,0.0
84309bbffffffff,8.0,0.0,0.0
84309bdffffffff,16.0,1.0,0.0
84309d3ffffffff,4.0,0.0,0.0
84309d9ffffffff,6.0,0.0,0.0
84309e1ffffffff,4.0,0.0,0.0
84309e3ffffffff,2.0,0.0,0.0
84309e5ffffffff,2.0,0.0,0.0
84309e7ffffffff,14.0,0.0,0.0
84309ebffffffff,1.0,0.0,0.0
843c021ffffffff,19.0,6.0,0.0
843c023ffffffff,2.0,0.0,0.0
843c025ffffffff,3.0,2.0,0.0
843c027ffffffff,2.0,0.0,0.0
843c029ffffffff,1605.0,477.0,0.0
843c02dffffffff,450.0,77.0,0.0
843c063ffffffff,1.0,0.0,0.0
843c065ffffffff,35.0,1.0,0.0
