cell_id,Muscicapa williamsoni,Muscicapa williamsoni williamsoni,Muscicapa williamsoni umbrosa
846500bffffffff,2.0,0.0,0.0
8465029ffffffff,1.0,0.0,0.0
8465033ffffffff,1.0,0.0,0.0
8465037ffffffff,1.0,0.0,0.0
8465039ffffffff,1.0,0.0,0.0
846503bffffffff,2.0,0.0,0.0
8465063ffffffff,2.0,0.0,0.0
8465183ffffffff,2.0,0.0,0.0
8465189ffffffff,10.0,2.0,0.0
846518bffffffff,3.0,0.0,0.0
84651b3ffffffff,3.0,0.0,0.0
84651c9ffffffff,25.0,0.0,25.0
84651cdffffffff,11.0,0.0,11.0
84651d1ffffffff,7.0,0.0,0.0
84651ddffffffff,1.0,0.0,0.0
846520dffffffff,50.0,1.0,0.0
8465229ffffffff,1.0,1.0,0.0
8465263ffffffff,11.0,0.0,0.0
846526bffffffff,2.0,0.0,0.0
846586bffffffff,1.0,0.0,0.0
8465b39ffffffff,1.0,0.0,0.0
846802dffffffff,1.0,0.0,0.0
846819dffffffff,1.0,0.0,0.0
84681c3ffffffff,21.0,0.0,4.0
8494911ffffffff,22.0,0.0,0.0
