cell_id,Dendropicos goertae,Dendropicos goertae koenigi,Dendropicos goertae [goertae Group]
825287fffffffff,4.0,0.0,0.0
825297fffffffff,2.0,0.0,0.0
82529ffffffffff,14.0,0.0,0.0
825407fffffffff,15.0,0.0,3.0
82540ffffffffff,1.0,0.0,0.0
825417fffffffff,178.0,0.0,67.0
82541ffffffffff,193.0,0.0,22.0
825447fffffffff,8.0,0.0,0.0
82544ffffffffff,1.0,0.0,0.0
825457fffffffff,2.0,0.0,0.0
8254affffffffff,385.0,0.0,54.0
8254cffffffffff,1.0,0.0,0.0
8254e7fffffffff,146.0,0.0,41.0
8254effffffffff,1.0,0.0,0.0
8254f7fffffffff,223.0,0.0,22.0
82550ffffffffff,8.0,0.0,0.0
82580ffffffffff,4.0,0.0,0.0
825857fffffffff,11.0,0.0,0.0
82585ffffffffff,5.0,0.0,0.0
825897fffffffff,16.0,0.0,0.0
8258a7fffffffff,5.0,0.0,0.0
8258b7fffffffff,2.0,0.0,0.0
8258cffffffffff,4.0,0.0,0.0
8258d7fffffffff,1.0,0.0,0.0
8258dffffffffff,4.0,0.0,0.0
8258e7fffffffff,27.0,0.0,0.0
8258f7fffffffff,4.0,0.0,0.0
825987fffffffff,6.0,0.0,0.0
82598ffffffffff,2.0,0.0,0.0
825997fffffffff,8.0,0.0,0.0
82599ffffffffff,22.0,0.0,8.0
826a57fffffffff,2.0,0.0,0.0
826a5ffffffffff,9.0,0.0,0.0
826ac7fffffffff,205.0,0.0,0.0
826acffffffffff,332.0,0.0,12.0
826adffffffffff,38.0,0.0,0.0
826ae7fffffffff,6.0,0.0,0.0
826aeffffffffff,212.0,0.0,0.0
826b17fffffffff,4.0,0.0,0.0
826baffffffffff,1.0,0.0,0.0
826bb7fffffffff,2.0,0.0,0.0
82750ffffffffff,7.0,0.0,4.0
827527fffffffff,246.0,0.0,57.0
82752ffffffffff,34.0,0.0,7.0
827537fffffffff,9.0,0.0,0.0
827577fffffffff,40.0,0.0,5.0
8275a7fffffffff,3.0,0.0,0.0
827a47fffffffff,5.0,0.0,0.0
827a4ffffffffff,139.0,0.0,0.0
827a67fffffffff,2.0,0.0,0.0
827a6ffffffffff,88.0,0.0,0.0
827acffffffffff,67.0,0.0,0.0
827adffffffffff,1.0,0.0,0.0
82828ffffffffff,3.0,0.0,0.0
8282d7fffffffff,7.0,0.0,0.0
829697fffffffff,41.0,0.0,0.0
82969ffffffffff,1.0,0.0,0.0
8296effffffffff,2.0,0.0,0.0
