cell_id,Ploceus rubiginosus,Ploceus rubiginosus trothae,Ploceus rubiginosus rubiginosus
83528efffffffff,2.0,0.0,0.0
835298fffffffff,1.0,0.0,0.0
835299fffffffff,6.0,0.0,0.0
83529bfffffffff,1.0,0.0,0.0
83529dfffffffff,2.0,0.0,0.0
8352d3fffffffff,13.0,0.0,0.0
836a4afffffffff,1.0,0.0,0.0
836a4bfffffffff,4.0,0.0,0.0
836a58fffffffff,10.0,0.0,0.0
836a5afffffffff,4.0,0.0,0.0
836a65fffffffff,4.0,0.0,0.0
836adcfffffffff,2.0,0.0,0.0
837a40fffffffff,282.0,0.0,0.0
837a41fffffffff,89.0,0.0,0.0
837a43fffffffff,1.0,0.0,0.0
837a44fffffffff,5.0,0.0,0.0
837a45fffffffff,20.0,0.0,0.0
837a48fffffffff,26.0,0.0,0.0
837a4afffffffff,1.0,0.0,0.0
837a4bfffffffff,9.0,0.0,0.0
837a4cfffffffff,40.0,0.0,2.0
837a4efffffffff,1.0,0.0,0.0
837a5efffffffff,4.0,0.0,0.0
837a60fffffffff,149.0,0.0,0.0
837a61fffffffff,112.0,0.0,0.0
837a63fffffffff,3.0,0.0,0.0
837a64fffffffff,46.0,0.0,0.0
837a65fffffffff,166.0,0.0,0.0
837a68fffffffff,7.0,0.0,0.0
837a6afffffffff,23.0,0.0,0.0
837a6cfffffffff,7.0,0.0,0.0
837a6dfffffffff,22.0,0.0,0.0
837a6efffffffff,70.0,0.0,0.0
837ac1fffffffff,2.0,0.0,0.0
837ac8fffffffff,47.0,0.0,9.0
837acafffffffff,18.0,0.0,0.0
837acbfffffffff,2.0,0.0,0.0
837acdfffffffff,4.0,0.0,0.0
837ad9fffffffff,82.0,0.0,22.0
837ae8fffffffff,32.0,0.0,4.0
837ae9fffffffff,6.0,0.0,0.0
837aeafffffffff,5.0,0.0,2.0
837aedfffffffff,1.0,0.0,0.0
837b4bfffffffff,15.0,0.0,0.0
839690fffffffff,40.0,0.0,0.0
839692fffffffff,223.0,0.0,5.0
839693fffffffff,49.0,0.0,1.0
839694fffffffff,2.0,0.0,0.0
83969afffffffff,5.0,0.0,0.0
8396b1fffffffff,3.0,0.0,0.0
83ac80fffffffff,32.0,0.0,0.0
83ac81fffffffff,67.0,1.0,0.0
83ac82fffffffff,2.0,0.0,0.0
83ac84fffffffff,2.0,0.0,0.0
83ac85fffffffff,26.0,0.0,0.0
83ac86fffffffff,32.0,0.0,0.0
83ac8afffffffff,24.0,6.0,0.0
83ac8cfffffffff,2.0,0.0,0.0
83ac8efffffffff,7.0,0.0,0.0
83ac9dfffffffff,1.0,0.0,0.0
83aca1fffffffff,3.0,0.0,0.0
83aca2fffffffff,12.0,3.0,0.0
83aca3fffffffff,92.0,44.0,0.0
83aca4fffffffff,4.0,0.0,0.0
83aca5fffffffff,4.0,0.0,0.0
83aca6fffffffff,24.0,0.0,0.0
83acaafffffffff,5.0,0.0,0.0
83acaefffffffff,4.0,0.0,0.0
83acb1fffffffff,3.0,0.0,0.0
83acb3fffffffff,6.0,0.0,0.0
