cell_id,Antigone canadensis,Antigone canadensis canadensis,Antigone canadensis tabida/rowani,Antigone canadensis pulla,Antigone canadensis pratensis,Antigone canadensis nesiotes
830241fffffffff,76.0,0.0,0.0,0.0,0.0,0.0
83024cfffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83024efffffffff,18.0,0.0,0.0,0.0,0.0,0.0
83025cfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83028afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8302c2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8302cafffffffff,185.0,0.0,0.0,0.0,0.0,0.0
8302d6fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8302ddfffffffff,62.0,0.0,0.0,0.0,0.0,0.0
8302defffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83041afffffffff,12.0,0.0,0.0,0.0,0.0,0.0
830c02fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c03fffffffff,86.0,0.0,0.0,0.0,0.0,0.0
830c04fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c05fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830c06fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
830c14fffffffff,2520.0,0.0,0.0,0.0,0.0,0.0
830c15fffffffff,159.0,0.0,0.0,0.0,0.0,0.0
830c1bfffffffff,23.0,0.0,0.0,0.0,0.0,0.0
830c1efffffffff,66.0,0.0,0.0,0.0,0.0,0.0
830c23fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
830c29fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c2afffffffff,22.0,0.0,0.0,0.0,0.0,0.0
830c2cfffffffff,26.0,0.0,0.0,0.0,0.0,0.0
830c30fffffffff,38.0,0.0,0.0,0.0,0.0,0.0
830c33fffffffff,209.0,0.0,0.0,0.0,0.0,0.0
830c34fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
830c40fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830c42fffffffff,45.0,0.0,0.0,0.0,0.0,0.0
830c45fffffffff,44.0,0.0,0.0,0.0,0.0,0.0
830c46fffffffff,71.0,0.0,0.0,0.0,0.0,0.0
830c50fffffffff,113.0,0.0,0.0,0.0,0.0,0.0
830c51fffffffff,1001.0,0.0,0.0,0.0,0.0,0.0
830c54fffffffff,133.0,19.0,0.0,0.0,0.0,0.0
830c55fffffffff,644.0,0.0,0.0,0.0,0.0,0.0
830c62fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830c63fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830c64fffffffff,20.0,0.0,0.0,0.0,0.0,0.0
830c65fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
830c66fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830c68fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830c6afffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830c70fffffffff,47.0,1.0,0.0,0.0,0.0,0.0
830c71fffffffff,30.0,0.0,0.0,0.0,0.0,0.0
830c72fffffffff,8.0,2.0,0.0,0.0,0.0,0.0
830c73fffffffff,3317.0,171.0,0.0,0.0,0.0,0.0
830c74fffffffff,30.0,2.0,0.0,0.0,0.0,0.0
830c75fffffffff,6.0,6.0,0.0,0.0,0.0,0.0
830c76fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830c80fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ca4fffffffff,654.0,0.0,0.0,0.0,0.0,0.0
830ca5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ca9fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830cadfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830cc1fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830cc3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830cc5fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830cdcfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830cdefffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830ce1fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
830ce2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ce3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ceafffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830cecfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ceefffffffff,98.0,0.0,0.0,0.0,0.0,0.0
830cf4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830cf5fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830d03fffffffff,391.0,14.0,0.0,0.0,0.0,0.0
830d09fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830d0cfffffffff,69.0,0.0,0.0,0.0,0.0,0.0
830d0dfffffffff,87.0,1.0,0.0,0.0,0.0,0.0
830d0efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830d40fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
830d42fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
830d46fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d48fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d49fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830d52fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
830d58fffffffff,183.0,0.0,0.0,0.0,0.0,0.0
830d59fffffffff,89.0,0.0,0.0,0.0,0.0,0.0
830d5afffffffff,854.0,10.0,0.0,0.0,0.0,0.0
830d5bfffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830d5cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830d5efffffffff,34.0,0.0,0.0,0.0,0.0,0.0
830d60fffffffff,68.0,0.0,0.0,0.0,0.0,0.0
830d61fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830d62fffffffff,116.0,0.0,0.0,0.0,0.0,0.0
830d65fffffffff,60.0,0.0,0.0,0.0,0.0,0.0
830d66fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
830d6bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d6cfffffffff,23.0,0.0,0.0,0.0,0.0,0.0
830d6efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830d74fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
830d75fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
830d76fffffffff,224.0,1.0,0.0,0.0,0.0,0.0
830d89fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830d8afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830e36fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
830e49fffffffff,47.0,0.0,0.0,0.0,0.0,0.0
830e4bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e4dfffffffff,94.0,0.0,0.0,0.0,0.0,0.0
830e53fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830e59fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830e5afffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830e5bfffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830e80fffffffff,1363.0,0.0,0.0,0.0,0.0,0.0
830e83fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
830e86fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830e89fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830e8dfffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830e8efffffffff,9.0,0.0,0.0,0.0,0.0,0.0
830e98fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830e9afffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830ea6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ec0fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
830ec1fffffffff,15.0,0.0,0.0,0.0,0.0,0.0
830ec2fffffffff,22.0,0.0,0.0,0.0,0.0,0.0
830ec4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ec5fffffffff,45.0,0.0,0.0,0.0,0.0,0.0
830ec8fffffffff,25.0,0.0,0.0,0.0,0.0,0.0
830ec9fffffffff,138.0,0.0,0.0,0.0,0.0,0.0
830ecafffffffff,32.0,0.0,0.0,0.0,0.0,0.0
830ecbfffffffff,71.0,0.0,0.0,0.0,0.0,0.0
830eccfffffffff,1134.0,0.0,0.0,0.0,0.0,0.0
830ed1fffffffff,32.0,0.0,0.0,0.0,0.0,0.0
830ed2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ed4fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
830ed5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
830ed8fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830ed9fffffffff,16.0,0.0,0.0,0.0,0.0,0.0
830edafffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830edbfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
830edcfffffffff,30.0,0.0,0.0,0.0,0.0,0.0
830ee0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
830ee1fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830ee2fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830ee8fffffffff,69.0,0.0,0.0,0.0,0.0,0.0
830ee9fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
830eeafffffffff,2749.0,0.0,0.0,0.0,0.0,0.0
830eebfffffffff,170.0,0.0,0.0,0.0,0.0,0.0
830eecfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
830eedfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830eeefffffffff,13.0,0.0,0.0,0.0,0.0,0.0
830ef0fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
830ef1fffffffff,14.0,0.0,0.0,0.0,0.0,0.0
830ef2fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
830ef3fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
