cell_id,Troglodytes aedon,Troglodytes aedon [aedon Group],Troglodytes aedon [brunneicollis Group]
82120ffffffffff,3.0,0.0,0.0
82121ffffffffff,191.0,3.0,0.0
821247fffffffff,5.0,0.0,0.0
82124ffffffffff,106.0,0.0,0.0
821257fffffffff,722.0,86.0,0.0
82125ffffffffff,1053.0,1.0,0.0
82126ffffffffff,2.0,0.0,0.0
821277fffffffff,43.0,0.0,0.0
8212c7fffffffff,1504.0,36.0,0.0
8212cffffffffff,9103.0,258.0,0.0
8212d7fffffffff,2125.0,113.0,0.0
8212dffffffffff,3590.0,87.0,0.0
8212e7fffffffff,309.0,0.0,0.0
8212effffffffff,3460.0,99.0,0.0
8212f7fffffffff,6.0,0.0,0.0
822607fffffffff,2653.0,288.0,0.0
82260ffffffffff,5876.0,235.0,0.0
822617fffffffff,1320.0,39.0,0.0
82261ffffffffff,1139.0,55.0,0.0
822627fffffffff,6415.0,308.0,0.0
82262ffffffffff,10562.0,248.0,0.0
822637fffffffff,1471.0,203.0,0.0
822647fffffffff,4367.0,248.0,0.0
82264ffffffffff,2252.0,12.0,0.0
822657fffffffff,6540.0,63.0,0.0
82265ffffffffff,880.0,22.0,0.0
822667fffffffff,34566.0,1406.0,0.0
82266ffffffffff,5044.0,462.0,0.0
822677fffffffff,4712.0,164.0,0.0
822687fffffffff,19710.0,244.0,0.0
82268ffffffffff,28287.0,12.0,0.0
822697fffffffff,3452.0,801.0,0.0
82269ffffffffff,5481.0,63.0,0.0
8226a7fffffffff,1666.0,93.0,0.0
8226affffffffff,10262.0,98.0,0.0
8226b7fffffffff,1402.0,79.0,0.0
8226c7fffffffff,784.0,3.0,0.0
8226cffffffffff,1477.0,66.0,0.0
8226d7fffffffff,765.0,6.0,0.0
8226dffffffffff,613.0,178.0,0.0
8226e7fffffffff,4844.0,97.0,0.0
8226effffffffff,1389.0,12.0,0.0
8226f7fffffffff,3390.0,22.0,0.0
822707fffffffff,1608.0,0.0,0.0
82270ffffffffff,958.0,97.0,0.0
822717fffffffff,1510.0,0.0,0.0
82271ffffffffff,2219.0,97.0,0.0
822747fffffffff,5052.0,89.0,0.0
82274ffffffffff,31832.0,297.0,0.0
822757fffffffff,8019.0,633.0,0.0
82275ffffffffff,40430.0,910.0,0.0
822767fffffffff,227.0,44.0,0.0
82276ffffffffff,5981.0,344.0,0.0
822777fffffffff,107.0,4.0,0.0
822787fffffffff,1561.0,141.0,0.0
82278ffffffffff,1459.0,174.0,0.0
822797fffffffff,2258.0,107.0,0.0
82279ffffffffff,2261.0,112.0,0.0
8227a7fffffffff,1708.0,0.0,0.0
8227affffffffff,3198.0,257.0,0.0
8227b7fffffffff,1704.0,41.0,0.0
822807fffffffff,244.0,8.0,0.0
822817fffffffff,4487.0,86.0,0.0
82281ffffffffff,2678.0,92.0,0.0
822837fffffffff,43323.0,1989.0,0.0
822887fffffffff,4810.0,439.0,0.0
82288ffffffffff,7110.0,142.0,0.0
822897fffffffff,4575.0,309.0,0.0
82289ffffffffff,2903.0,57.0,0.0
8228a7fffffffff,465.0,59.0,0.0
8228affffffffff,6563.0,176.0,0.0
8228b7fffffffff,3056.0,337.0,0.0
8228c7fffffffff,30.0,1.0,0.0
8228d7fffffffff,10507.0,253.0,0.0
8228dffffffffff,1584.0,17.0,0.0
8228f7fffffffff,8866.0,266.0,0.0
822917fffffffff,5559.0,119.0,0.0
82291ffffffffff,1959.0,710.0,0.0
822987fffffffff,991.0,24.0,0.0
82298ffffffffff,8461.0,228.0,0.0
822997fffffffff,1724.0,198.0,0.0
82299ffffffffff,469.0,14.0,0.0
8229a7fffffffff,68964.0,1381.0,0.0
8229affffffffff,15796.0,446.0,0.0
8229b7fffffffff,5374.0,497.0,0.0
822a07fffffffff,134.0,14.0,0.0
822a17fffffffff,69031.0,4083.0,0.0
822a37fffffffff,40512.0,3105.0,0.0
822a87fffffffff,13344.0,1191.0,0.0
822a8ffffffffff,10095.0,431.0,0.0
822a97fffffffff,25241.0,1064.0,0.0
822a9ffffffffff,2824.0,141.0,0.0
822aa7fffffffff,23834.0,3965.0,0.0
822aaffffffffff,72402.0,4131.0,0.0
822ab7fffffffff,75142.0,3381.0,0.0
822ad7fffffffff,3359.0,409.0,0.0
822af7fffffffff,6165.0,418.0,0.0
822b17fffffffff,233.0,2.0,0.0
822b1ffffffffff,1607.0,31.0,0.0
822b87fffffffff,6605.0,499.0,0.0
822b8ffffffffff,25700.0,2500.0,0.0
822b97fffffffff,74.0,3.0,0.0
822b9ffffffffff,35014.0,2830.0,0.0
822ba7fffffffff,4.0,0.0,0.0
822baffffffffff,21476.0,328.0,0.0
824417fffffffff,5599.0,106.0,0.0
82441ffffffffff,12162.0,415.0,0.0
824447fffffffff,9334.0,0.0,0.0
82444ffffffffff,1260.0,2.0,0.0
824457fffffffff,4991.0,37.0,0.0
82445ffffffffff,430.0,35.0,0.0
824467fffffffff,992.0,0.0,0.0
82446ffffffffff,13467.0,390.0,0.0
824477fffffffff,1983.0,0.0,0.0
8244a7fffffffff,2386.0,112.0,0.0
8244affffffffff,16117.0,944.0,0.0
8244c7fffffffff,5062.0,383.0,0.0
8244cffffffffff,3373.0,77.0,0.0
8244d7fffffffff,9812.0,167.0,0.0
8244dffffffffff,7547.0,431.0,0.0
8244e7fffffffff,4948.0,346.0,0.0
8244effffffffff,889.0,68.0,0.0
8244f7fffffffff,15385.0,915.0,0.0
824807fffffffff,129.0,4.0,3.0
82480ffffffffff,922.0,14.0,11.0
824817fffffffff,817.0,11.0,207.0
82481ffffffffff,77.0,0.0,15.0
824827fffffffff,53.0,0.0,0.0
82482ffffffffff,285.0,0.0,0.0
824837fffffffff,1195.0,81.0,132.0
824847fffffffff,276.0,0.0,0.0
82484ffffffffff,335.0,0.0,0.0
824857fffffffff,301.0,0.0,0.0
82485ffffffffff,1916.0,65.0,0.0
824877fffffffff,188.0,0.0,0.0
824887fffffffff,2923.0,102.0,0.0
82488ffffffffff,699.0,33.0,0.0
824897fffffffff,9002.0,226.0,0.0
82489ffffffffff,11491.0,201.0,0.0
8248a7fffffffff,1665.0,111.0,205.0
8248affffffffff,479.0,15.0,0.0
8248b7fffffffff,25545.0,1480.0,0.0
8248c7fffffffff,11195.0,407.0,811.0
8248cffffffffff,4770.0,777.0,0.0
8248d7fffffffff,1948.0,80.0,0.0
8248dffffffffff,6948.0,306.0,0.0
8248e7fffffffff,584.0,18.0,133.0
8248effffffffff,33350.0,2725.0,1199.0
8248f7fffffffff,515.0,72.0,0.0
824987fffffffff,1721.0,206.0,262.0
82498ffffffffff,164.0,4.0,4.0
824997fffffffff,5018.0,594.0,1226.0
82499ffffffffff,560.0,52.0,9.0
8249a7fffffffff,6.0,0.0,0.0
8249affffffffff,1615.0,101.0,160.0
8249b7fffffffff,517.0,92.0,78.0
826d17fffffffff,33.0,8.0,3.0
826d37fffffffff,1729.0,232.0,674.0
