cell_id,Psittacara mitratus,Psittacara mitratus [mitratus Group],Psittacara mitratus alticola
8428309ffffffff,6.0,0.0,0.0
8428347ffffffff,14.0,0.0,0.0
8428d55ffffffff,1.0,0.0,0.0
8429a01ffffffff,8.0,0.0,0.0
8429a03ffffffff,10.0,0.0,0.0
8429a0bffffffff,7.0,0.0,0.0
8429a19ffffffff,6.0,0.0,0.0
8429a1dffffffff,17.0,0.0,0.0
8429a41ffffffff,1.0,0.0,0.0
8429a55ffffffff,15.0,0.0,0.0
8429a57ffffffff,21.0,0.0,0.0
842a101ffffffff,3.0,0.0,0.0
8439447ffffffff,8.0,0.0,0.0
843968bffffffff,2.0,0.0,0.0
84446cbffffffff,4.0,0.0,0.0
8444a11ffffffff,34.0,0.0,0.0
8444a13ffffffff,3.0,0.0,0.0
8444a19ffffffff,239.0,0.0,0.0
8444ae9ffffffff,4.0,1.0,0.0
8448a07ffffffff,2.0,0.0,0.0
8448b39ffffffff,94.0,4.0,0.0
8448b3dffffffff,1.0,0.0,0.0
8449b33ffffffff,3.0,0.0,0.0
844cee5ffffffff,1.0,0.0,0.0
848b203ffffffff,2.0,2.0,0.0
848b205ffffffff,10.0,9.0,0.0
848b20bffffffff,4.0,2.0,0.0
848b20dffffffff,1.0,0.0,0.0
848b229ffffffff,17.0,11.0,0.0
848b22dffffffff,2.0,2.0,0.0
848b259ffffffff,2.0,2.0,0.0
848e62dffffffff,6.0,0.0,0.0
848e6a1ffffffff,2.0,0.0,0.0
848f467ffffffff,2.0,0.0,0.0
848f559ffffffff,3.0,0.0,0.0
848f733ffffffff,2.0,0.0,0.0
84b2709ffffffff,2.0,0.0,0.0
84b2eebffffffff,1.0,0.0,0.0
84b3041ffffffff,3.0,0.0,0.0
84b3047ffffffff,4.0,0.0,0.0
84b32d9ffffffff,2.0,2.0,0.0
84b32dbffffffff,3.0,3.0,0.0
84b3355ffffffff,3.0,0.0,0.0
84b3425ffffffff,3.0,0.0,0.0
84b35b5ffffffff,2.0,0.0,0.0
84b35c9ffffffff,2.0,0.0,0.0
84b35e1ffffffff,11.0,0.0,0.0
84b35e5ffffffff,1.0,0.0,0.0
84b35e9ffffffff,2.0,0.0,0.0
84b366dffffffff,2.0,0.0,0.0
84c21d1ffffffff,1.0,0.0,0.0
84c2e2dffffffff,4.0,0.0,0.0
84c2e35ffffffff,2.0,0.0,0.0
84c2e3dffffffff,3.0,0.0,0.0
