cell_id,Rhipidura rufofronta,Rhipidura rufofronta [rufofronta Group],Rhipidura rufofronta russata/kuperi,Rhipidura rufofronta ugiensis
8476805ffffffff,4.0,0.0,0.0,0.0
8476809ffffffff,2.0,0.0,0.0,0.0
847680dffffffff,4.0,1.0,0.0,0.0
8476837ffffffff,1.0,0.0,0.0,0.0
8476845ffffffff,4.0,3.0,0.0,0.0
8476847ffffffff,1.0,0.0,0.0,0.0
847684dffffffff,2.0,1.0,0.0,0.0
84768a9ffffffff,3.0,0.0,0.0,0.0
847699bffffffff,1.0,0.0,0.0,0.0
84769d1ffffffff,27.0,0.0,0.0,0.0
84769d7ffffffff,1.0,0.0,0.0,0.0
84769ddffffffff,4.0,0.0,0.0,0.0
849ed19ffffffff,8.0,0.0,3.0,0.0
849ed33ffffffff,3.0,0.0,0.0,0.0
849ed51ffffffff,47.0,0.0,0.0,0.0
849ed53ffffffff,2.0,0.0,1.0,0.0
849ed57ffffffff,2.0,0.0,0.0,0.0
849ed59ffffffff,3.0,0.0,0.0,0.0
849ed5bffffffff,2.0,0.0,0.0,0.0
849eda7ffffffff,17.0,0.0,0.0,0.0
849edc7ffffffff,1.0,0.0,0.0,0.0
849edebffffffff,2.0,0.0,0.0,0.0
849ef37ffffffff,11.0,0.0,2.0,0.0
