cell_id,Thalassarche cauta,Thalassarche cauta cauta,Thalassarche cauta steadi
82a727fffffffff,29.0,0.0,0.0
82ad37fffffffff,337.0,0.0,16.0
82b867fffffffff,2.0,0.0,0.0
82b917fffffffff,3.0,1.0,0.0
82b94ffffffffff,1.0,0.0,0.0
82b95ffffffffff,4.0,0.0,0.0
82ba27fffffffff,11.0,0.0,0.0
82ba2ffffffffff,4.0,0.0,0.0
82bb0ffffffffff,35.0,0.0,0.0
82bb1ffffffffff,2.0,0.0,0.0
82bb2ffffffffff,1125.0,0.0,180.0
82bb37fffffffff,26.0,0.0,0.0
82bb57fffffffff,419.0,0.0,0.0
82bb5ffffffffff,30.0,0.0,0.0
82bb67fffffffff,2.0,0.0,0.0
82bb77fffffffff,39.0,0.0,0.0
82bc07fffffffff,3.0,0.0,0.0
82bc1ffffffffff,3.0,0.0,0.0
82bc47fffffffff,2.0,0.0,0.0
82bc67fffffffff,1.0,0.0,0.0
82bc6ffffffffff,53.0,0.0,0.0
82bc77fffffffff,1.0,0.0,0.0
82bcf7fffffffff,2.0,0.0,0.0
82bd07fffffffff,2.0,0.0,0.0
82bd27fffffffff,2.0,0.0,0.0
82bd47fffffffff,1.0,1.0,0.0
82bd4ffffffffff,13.0,0.0,0.0
82bd67fffffffff,5.0,0.0,0.0
82be0ffffffffff,690.0,0.0,0.0
82be1ffffffffff,45.0,0.0,0.0
82be2ffffffffff,410.0,0.0,0.0
82be67fffffffff,503.0,20.0,0.0
82be6ffffffffff,841.0,69.0,0.0
82be77fffffffff,50.0,0.0,0.0
82beaffffffffff,4.0,0.0,0.0
82bf07fffffffff,1.0,0.0,0.0
82bf1ffffffffff,3.0,0.0,0.0
82bf2ffffffffff,6.0,0.0,0.0
82bf37fffffffff,9.0,0.0,0.0
82bf47fffffffff,6.0,0.0,0.0
82bf4ffffffffff,626.0,34.0,0.0
82bf5ffffffffff,56.0,0.0,0.0
82bf6ffffffffff,1403.0,64.0,2.0
82c01ffffffffff,1.0,0.0,0.0
82c217fffffffff,3.0,0.0,0.0
82c21ffffffffff,8.0,0.0,0.0
82c987fffffffff,189.0,0.0,0.0
82c99ffffffffff,98.0,0.0,0.0
82c9b7fffffffff,400.0,0.0,0.0
82cce7fffffffff,2.0,0.0,0.0
82ccf7fffffffff,3.0,0.0,0.0
82d167fffffffff,3.0,0.0,0.0
82d16ffffffffff,72.0,0.0,0.0
82d44ffffffffff,14.0,0.0,0.0
82d46ffffffffff,25.0,0.0,0.0
82d6affffffffff,3.0,0.0,0.0
82d6dffffffffff,2.0,0.0,0.0
82d897fffffffff,37.0,17.0,0.0
82d8b7fffffffff,6.0,0.0,0.0
82da07fffffffff,65.0,0.0,4.0
82da0ffffffffff,52.0,0.0,1.0
82da17fffffffff,28.0,0.0,0.0
82da1ffffffffff,181.0,0.0,3.0
82da37fffffffff,4.0,0.0,2.0
82da77fffffffff,22.0,0.0,0.0
82da87fffffffff,944.0,0.0,0.0
82da8ffffffffff,242.0,0.0,0.0
82da97fffffffff,263.0,0.0,24.0
82da9ffffffffff,2.0,0.0,0.0
82daa7fffffffff,5.0,0.0,0.0
82daaffffffffff,1362.0,0.0,149.0
82dab7fffffffff,30.0,0.0,0.0
82db87fffffffff,19.0,0.0,4.0
82db8ffffffffff,13.0,0.0,0.0
82db97fffffffff,13.0,0.0,0.0
82db9ffffffffff,1.0,0.0,0.0
82dbaffffffffff,2.0,0.0,0.0
