cell_id,Ortygospiza atricollis,Ortygospiza atricollis [atricollis Group],Ortygospiza atricollis [fuscocrissa Group],Ortygospiza atricollis [gabonensis Group]
83541afffffffff,1.0,1.0,0.0,0.0
8354acfffffffff,4.0,0.0,0.0,0.0
8354c5fffffffff,1.0,0.0,0.0,0.0
8354eafffffffff,2.0,2.0,0.0,0.0
837a40fffffffff,2.0,0.0,2.0,0.0
837a4dfffffffff,1.0,0.0,1.0,0.0
837a6afffffffff,13.0,0.0,5.0,0.0
837a6efffffffff,2.0,0.0,0.0,0.0
8382a8fffffffff,1.0,0.0,0.0,1.0
8382f4fffffffff,1.0,0.0,0.0,1.0
83962bfffffffff,1.0,0.0,1.0,0.0
839675fffffffff,1.0,0.0,1.0,0.0
83ac81fffffffff,3.0,0.0,0.0,0.0
83bcc3fffffffff,2.0,0.0,2.0,0.0
83bcc6fffffffff,1.0,0.0,0.0,0.0
83bce9fffffffff,3.0,0.0,2.0,0.0
