cell_id,Myrmotherula iheringi,Myrmotherula iheringi heteroptera,Myrmotherula iheringi iheringi,Myrmotherula iheringi oreni
828a17fffffffff,18.0,0.0,0.0,0.0
828a1ffffffffff,3.0,0.0,0.0,0.0
828a37fffffffff,4.0,0.0,0.0,0.0
828a47fffffffff,1.0,0.0,0.0,0.0
828a6ffffffffff,3.0,0.0,0.0,0.0
828a87fffffffff,45.0,0.0,0.0,0.0
828a9ffffffffff,2.0,0.0,0.0,0.0
828aa7fffffffff,1.0,0.0,0.0,0.0
828aaffffffffff,14.0,0.0,0.0,0.0
828b47fffffffff,114.0,0.0,0.0,7.0
828b4ffffffffff,5.0,0.0,0.0,1.0
828b57fffffffff,2.0,0.0,0.0,0.0
828b5ffffffffff,29.0,0.0,0.0,10.0
828b67fffffffff,83.0,0.0,0.0,7.0
828b6ffffffffff,17.0,0.0,0.0,3.0
828b77fffffffff,20.0,0.0,0.0,0.0
828b9ffffffffff,3.0,0.0,0.0,0.0
828f4ffffffffff,1.0,0.0,0.0,0.0
828f6ffffffffff,3.0,0.0,0.0,0.0
