cell_id,Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae [sanctithomae Group],Dendrocolaptes sanctithomae punctipectus
83450bfffffffff,2.0,0.0,0.0
83450efffffffff,12.0,2.0,0.0
834523fffffffff,1.0,0.0,0.0
834524fffffffff,16.0,0.0,0.0
834525fffffffff,8.0,0.0,0.0
834526fffffffff,2.0,0.0,0.0
834528fffffffff,4.0,0.0,0.0
83452afffffffff,13.0,0.0,0.0
83452bfffffffff,3.0,0.0,0.0
83452efffffffff,3.0,0.0,0.0
8349b5fffffffff,1.0,0.0,0.0
8349b6fffffffff,1.0,0.0,0.0
83660efffffffff,2.0,0.0,0.0
83661bfffffffff,2.0,0.0,0.0
8366a5fffffffff,8.0,0.0,0.0
8366b0fffffffff,2.0,0.0,0.0
8366b5fffffffff,2.0,0.0,0.0
8366d3fffffffff,25.0,0.0,0.0
83679afffffffff,7.0,0.0,0.0
83679bfffffffff,1.0,0.0,0.0
836d05fffffffff,2.0,0.0,0.0
836d22fffffffff,2.0,0.0,0.0
836d23fffffffff,2.0,0.0,0.0
836d2cfffffffff,2.0,0.0,0.0
836d66fffffffff,14.0,0.0,0.0
836d68fffffffff,2.0,2.0,0.0
836d69fffffffff,9.0,4.0,0.0
836d6efffffffff,2.0,0.0,0.0
