cell_id,Crypturellus cinnamomeus,Crypturellus cinnamomeus occidentalis,Crypturellus cinnamomeus [cinnamomeus Group]
834424fffffffff,10.0,0.0,0.0
834501fffffffff,48.0,0.0,0.0
834505fffffffff,3.0,0.0,0.0
834508fffffffff,745.0,0.0,72.0
834509fffffffff,146.0,0.0,8.0
83450afffffffff,502.0,0.0,7.0
83450bfffffffff,271.0,0.0,19.0
83450cfffffffff,189.0,0.0,6.0
83450dfffffffff,250.0,0.0,94.0
83450efffffffff,246.0,0.0,16.0
834521fffffffff,2.0,0.0,0.0
834522fffffffff,2.0,0.0,0.0
834524fffffffff,136.0,0.0,0.0
834525fffffffff,17.0,0.0,0.0
834526fffffffff,24.0,0.0,0.0
834528fffffffff,885.0,0.0,13.0
834529fffffffff,10.0,0.0,0.0
83452afffffffff,590.0,0.0,9.0
83452bfffffffff,270.0,0.0,8.0
83452cfffffffff,829.0,0.0,1.0
83452dfffffffff,16.0,0.0,0.0
83452efffffffff,1858.0,0.0,25.0
834535fffffffff,9.0,0.0,0.0
834569fffffffff,1.0,0.0,0.0
834572fffffffff,43.0,0.0,7.0
834576fffffffff,32.0,0.0,0.0
834806fffffffff,3.0,0.0,0.0
834815fffffffff,13.0,0.0,0.0
834833fffffffff,4.0,0.0,0.0
834836fffffffff,95.0,0.0,0.0
8348a2fffffffff,218.0,0.0,0.0
8348b4fffffffff,15.0,0.0,0.0
8348b5fffffffff,27.0,0.0,0.0
834990fffffffff,6.0,0.0,0.0
834991fffffffff,11.0,0.0,0.0
834993fffffffff,2.0,0.0,2.0
834996fffffffff,377.0,0.0,34.0
834998fffffffff,497.0,0.0,2.0
83499afffffffff,7.0,0.0,0.0
83499bfffffffff,29.0,0.0,0.0
83499cfffffffff,14.0,0.0,0.0
83499efffffffff,56.0,0.0,0.0
8349a8fffffffff,3.0,0.0,0.0
8349a9fffffffff,153.0,36.0,0.0
8349adfffffffff,15.0,0.0,0.0
8349b5fffffffff,27.0,0.0,0.0
83679afffffffff,5.0,0.0,0.0
836d04fffffffff,13.0,0.0,0.0
836d05fffffffff,287.0,0.0,86.0
836d21fffffffff,8.0,0.0,2.0
836d22fffffffff,2.0,0.0,0.0
836d23fffffffff,121.0,0.0,13.0
836d29fffffffff,63.0,0.0,0.0
836d2afffffffff,1.0,0.0,0.0
836d2bfffffffff,434.0,0.0,7.0
836d2efffffffff,17.0,0.0,0.0
836d30fffffffff,87.0,0.0,1.0
836d31fffffffff,5.0,0.0,0.0
836d35fffffffff,8.0,0.0,0.0
836d36fffffffff,30.0,0.0,1.0
836d60fffffffff,95.0,0.0,0.0
836d61fffffffff,281.0,0.0,0.0
836d63fffffffff,6.0,0.0,0.0
836d64fffffffff,48.0,0.0,0.0
836d65fffffffff,613.0,0.0,0.0
836d66fffffffff,125.0,0.0,0.0
836d68fffffffff,1325.0,0.0,0.0
836d69fffffffff,179.0,0.0,0.0
836d6afffffffff,16.0,0.0,0.0
836d6bfffffffff,1148.0,0.0,0.0
836d6cfffffffff,3.0,0.0,0.0
836d6efffffffff,300.0,0.0,0.0
836d74fffffffff,338.0,0.0,0.0
836d75fffffffff,18.0,0.0,0.0
