cell_id,Amazilis amazilia,Amazilis amazilia [dumerilii Group],Amazilis amazilia amazilia,Amazilis amazilia caeruleigularis
8266d7fffffffff,31.0,7.0,0.0,0.0
828e27fffffffff,2.0,0.0,0.0,0.0
828e47fffffffff,138.0,0.0,0.0,0.0
828e67fffffffff,5461.0,0.0,0.0,0.0
828e6ffffffffff,48.0,0.0,0.0,0.0
828e77fffffffff,38.0,0.0,0.0,0.0
828f0ffffffffff,1826.0,205.0,0.0,0.0
828f27fffffffff,10.0,0.0,0.0,0.0
828f2ffffffffff,2676.0,224.0,0.0,0.0
828f57fffffffff,2918.0,0.0,0.0,0.0
828f5ffffffffff,199.0,0.0,0.0,0.0
828f77fffffffff,509.0,112.0,0.0,0.0
