cell_id,Pachyramphus major,Pachyramphus major uropygialis,Pachyramphus major [major Group]
8444249ffffffff,1.0,0.0,0.0
8445019ffffffff,7.0,0.0,0.0
844505bffffffff,4.0,0.0,0.0
8445081ffffffff,7.0,0.0,0.0
8445083ffffffff,60.0,0.0,0.0
8445085ffffffff,17.0,0.0,0.0
8445087ffffffff,139.0,0.0,0.0
8445089ffffffff,2.0,0.0,0.0
844508dffffffff,9.0,0.0,0.0
8445099ffffffff,7.0,0.0,0.0
844509bffffffff,14.0,0.0,0.0
844509dffffffff,2.0,0.0,0.0
84450a1ffffffff,44.0,0.0,0.0
84450a3ffffffff,37.0,0.0,0.0
84450a5ffffffff,8.0,0.0,0.0
84450a7ffffffff,4.0,0.0,0.0
84450a9ffffffff,18.0,0.0,0.0
84450abffffffff,17.0,0.0,0.0
84450adffffffff,2.0,0.0,0.0
84450b1ffffffff,2.0,0.0,0.0
84450b5ffffffff,9.0,0.0,0.0
84450b9ffffffff,2.0,0.0,0.0
84450bdffffffff,13.0,0.0,0.0
84450c1ffffffff,4.0,0.0,0.0
84450c3ffffffff,4.0,0.0,0.0
84450c5ffffffff,18.0,0.0,0.0
84450cdffffffff,7.0,0.0,0.0
84450d1ffffffff,18.0,0.0,0.0
84450d3ffffffff,117.0,0.0,0.0
84450d5ffffffff,14.0,0.0,0.0
84450ddffffffff,17.0,0.0,0.0
84450e1ffffffff,3.0,0.0,0.0
84450e3ffffffff,44.0,0.0,0.0
84450ebffffffff,55.0,0.0,0.0
8445203ffffffff,1.0,0.0,0.0
844520bffffffff,5.0,0.0,0.0
844520dffffffff,10.0,0.0,0.0
8445213ffffffff,32.0,0.0,0.0
8445215ffffffff,9.0,0.0,0.0
8445219ffffffff,2.0,0.0,0.0
844521dffffffff,7.0,0.0,0.0
8445233ffffffff,13.0,0.0,0.0
8445257ffffffff,4.0,0.0,0.0
844525bffffffff,3.0,0.0,0.0
8445283ffffffff,3.0,0.0,0.0
8445285ffffffff,2.0,0.0,0.0
8445287ffffffff,12.0,0.0,0.0
8445289ffffffff,16.0,0.0,0.0
8445297ffffffff,3.0,0.0,0.0
84452a1ffffffff,2.0,0.0,0.0
84452a5ffffffff,9.0,0.0,0.0
84452a7ffffffff,2.0,0.0,0.0
84452a9ffffffff,14.0,0.0,0.0
84452abffffffff,8.0,0.0,0.0
84452adffffffff,61.0,0.0,0.0
84452b5ffffffff,4.0,0.0,0.0
84452b9ffffffff,7.0,0.0,0.0
84452bdffffffff,16.0,0.0,0.0
84452c1ffffffff,3.0,0.0,0.0
84452c3ffffffff,20.0,0.0,0.0
84452c5ffffffff,2.0,0.0,0.0
84452c7ffffffff,22.0,0.0,0.0
84452c9ffffffff,1.0,0.0,0.0
84452cbffffffff,1.0,0.0,0.0
84452d9ffffffff,4.0,0.0,0.0
84452e1ffffffff,81.0,0.0,0.0
84452e3ffffffff,7.0,0.0,0.0
84452e5ffffffff,18.0,0.0,0.0
84452e7ffffffff,1.0,0.0,0.0
84452ebffffffff,62.0,0.0,0.0
84452edffffffff,3.0,0.0,0.0
844532bffffffff,2.0,0.0,0.0
8445343ffffffff,4.0,0.0,0.0
8445351ffffffff,21.0,0.0,0.0
8445363ffffffff,2.0,0.0,0.0
8445649ffffffff,1.0,0.0,0.0
8445725ffffffff,44.0,0.0,0.0
8445761ffffffff,8.0,0.0,0.0
8445765ffffffff,2.0,0.0,0.0
844802bffffffff,1.0,0.0,0.0
8448065ffffffff,2.0,0.0,0.0
84480adffffffff,23.0,0.0,0.0
8448329ffffffff,2.0,0.0,0.0
844832bffffffff,1.0,0.0,0.0
8448337ffffffff,33.0,0.0,0.0
8448361ffffffff,138.0,0.0,0.0
8448363ffffffff,25.0,0.0,0.0
8448365ffffffff,5.0,0.0,0.0
