cell_id,Piaya cayana,Piaya cayana mexicana,Piaya cayana thermophila,Piaya cayana nigricrissa,Piaya cayana [cayana Group]
824507fffffffff,2.0,0.0,0.0,0.0,0.0
82450ffffffffff,9.0,0.0,3.0,0.0,0.0
824527fffffffff,21.0,0.0,0.0,0.0,0.0
82452ffffffffff,16.0,0.0,8.0,0.0,0.0
82480ffffffffff,1.0,0.0,0.0,0.0,0.0
824817fffffffff,22.0,4.0,0.0,0.0,0.0
824837fffffffff,8.0,8.0,0.0,0.0,0.0
824987fffffffff,10.0,9.0,0.0,0.0,0.0
82498ffffffffff,1.0,0.0,0.0,0.0,0.0
824997fffffffff,27.0,0.0,5.0,0.0,0.0
82499ffffffffff,7.0,0.0,7.0,0.0,0.0
8249a7fffffffff,1.0,1.0,0.0,0.0,0.0
8249affffffffff,2.0,2.0,0.0,0.0,0.0
8249b7fffffffff,5.0,5.0,0.0,0.0,0.0
825f17fffffffff,2.0,0.0,0.0,0.0,2.0
825f5ffffffffff,11.0,0.0,0.0,0.0,11.0
826607fffffffff,2.0,0.0,0.0,2.0,0.0
82660ffffffffff,7.0,0.0,0.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,10.0,0.0,0.0,0.0,0.0
8266a7fffffffff,2.0,0.0,0.0,0.0,0.0
8266b7fffffffff,14.0,0.0,4.0,0.0,0.0
8266c7fffffffff,8.0,0.0,0.0,0.0,8.0
8266d7fffffffff,4.0,0.0,0.0,4.0,0.0
8266dffffffffff,9.0,0.0,0.0,0.0,0.0
8266e7fffffffff,5.0,0.0,0.0,0.0,1.0
8266f7fffffffff,4.0,0.0,0.0,0.0,1.0
82674ffffffffff,17.0,0.0,0.0,0.0,0.0
826757fffffffff,6.0,0.0,0.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0,0.0,4.0
82679ffffffffff,2.0,0.0,0.0,0.0,0.0
826d07fffffffff,11.0,0.0,11.0,0.0,0.0
826d17fffffffff,196.0,196.0,0.0,0.0,0.0
826d27fffffffff,21.0,0.0,4.0,0.0,0.0
826d2ffffffffff,9.0,0.0,3.0,0.0,0.0
826d37fffffffff,92.0,19.0,72.0,0.0,0.0
826d6ffffffffff,46.0,0.0,20.0,0.0,0.0
828027fffffffff,2.0,0.0,0.0,0.0,0.0
828a6ffffffffff,1.0,0.0,0.0,0.0,1.0
828b27fffffffff,4.0,0.0,0.0,0.0,3.0
828b47fffffffff,2.0,0.0,0.0,0.0,2.0
828b57fffffffff,1.0,0.0,0.0,0.0,1.0
828b67fffffffff,2.0,0.0,0.0,0.0,2.0
828b77fffffffff,2.0,0.0,0.0,0.0,0.0
828f47fffffffff,1.0,0.0,0.0,0.0,1.0
828f77fffffffff,1.0,0.0,0.0,0.0,1.0
82a8a7fffffffff,2.0,0.0,0.0,0.0,0.0
82a957fffffffff,4.0,0.0,0.0,0.0,4.0
82a967fffffffff,30.0,0.0,0.0,0.0,3.0
82a96ffffffffff,10.0,0.0,0.0,0.0,0.0
82b26ffffffffff,3.0,0.0,0.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,9.0,0.0,0.0,0.0,0.0
82c2d7fffffffff,2.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,7.0,0.0,0.0,0.0,0.0
82c2f7fffffffff,4.0,0.0,0.0,0.0,0.0
