cell_id,Chloephaga picta,Chloephaga picta (White-breasted),Chloephaga picta (Bar-breasted)
821e07fffffffff,3.0,0.0,0.0
821e27fffffffff,12.0,0.0,0.0
821fa7fffffffff,1.0,0.0,0.0
822837fffffffff,1.0,0.0,0.0
823917fffffffff,204.0,0.0,0.0
82b25ffffffffff,18.0,0.0,0.0
82b2c7fffffffff,152.0,1.0,9.0
82b2cffffffffff,66.0,3.0,0.0
82b2dffffffffff,2.0,0.0,0.0
82b2effffffffff,2.0,0.0,0.0
82ce87fffffffff,9.0,0.0,0.0
82ce8ffffffffff,2.0,0.0,0.0
82ce9ffffffffff,2.0,0.0,0.0
82cea7fffffffff,44.0,0.0,0.0
82cf17fffffffff,30.0,1.0,0.0
82cf87fffffffff,4.0,2.0,0.0
82cf8ffffffffff,50.0,8.0,4.0
82cfa7fffffffff,111.0,7.0,21.0
82cfaffffffffff,28.0,7.0,2.0
82de67fffffffff,3.0,0.0,0.0
82de77fffffffff,5.0,2.0,0.0
82df47fffffffff,8.0,1.0,0.0
82df6ffffffffff,117.0,4.0,5.0
