cell_id,Eupsittula pertinax,Eupsittula pertinax ocularis,Eupsittula pertinax [pertinax Group]
824ceffffffffff,72.0,0.0,0.0
825e4ffffffffff,6.0,0.0,0.0
825e67fffffffff,4.0,0.0,0.0
825f0ffffffffff,474.0,0.0,0.0
825f17fffffffff,92.0,0.0,0.0
825f1ffffffffff,170.0,0.0,0.0
825f2ffffffffff,1008.0,0.0,0.0
825f47fffffffff,127.0,0.0,0.0
825f4ffffffffff,252.0,0.0,1.0
825f57fffffffff,2.0,0.0,0.0
825f5ffffffffff,5.0,0.0,0.0
825f67fffffffff,2.0,0.0,0.0
825f6ffffffffff,49.0,0.0,0.0
825f77fffffffff,76.0,0.0,3.0
826607fffffffff,1584.0,0.0,36.0
82660ffffffffff,903.0,0.0,0.0
826617fffffffff,60.0,0.0,3.0
82661ffffffffff,723.0,0.0,2.0
826627fffffffff,5138.0,0.0,465.0
82662ffffffffff,429.0,0.0,4.0
826637fffffffff,1403.0,0.0,43.0
826647fffffffff,616.0,0.0,0.0
82664ffffffffff,11.0,0.0,0.0
826657fffffffff,2186.0,0.0,0.0
82665ffffffffff,45.0,0.0,0.0
826667fffffffff,249.0,0.0,0.0
82666ffffffffff,11.0,0.0,0.0
826677fffffffff,759.0,0.0,0.0
8266a7fffffffff,1802.0,166.0,0.0
8266b7fffffffff,2164.0,98.0,0.0
8266c7fffffffff,145.0,0.0,0.0
8266e7fffffffff,4616.0,0.0,2.0
8266effffffffff,1465.0,0.0,0.0
8266f7fffffffff,27.0,0.0,0.0
826747fffffffff,5079.0,0.0,24.0
82674ffffffffff,5376.0,0.0,81.0
826757fffffffff,5525.0,0.0,8.0
82675ffffffffff,1069.0,0.0,7.0
82676ffffffffff,90.0,0.0,0.0
826777fffffffff,464.0,0.0,0.0
826787fffffffff,498.0,0.0,5.0
828a07fffffffff,2.0,0.0,0.0
828a17fffffffff,1.0,0.0,0.0
828a1ffffffffff,8.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0
828ad7fffffffff,1.0,0.0,0.0
828adffffffffff,313.0,0.0,36.0
828aeffffffffff,2.0,0.0,0.0
828af7fffffffff,16.0,0.0,0.0
