cell_id,Cnemophilus macgregorii,Cnemophilus macgregorii sanguineus,Cnemophilus macgregorii macgregorii
84728b9ffffffff,15.0,0.0,0.0
8472da1ffffffff,124.0,9.0,0.0
8472da3ffffffff,10.0,0.0,0.0
8472da5ffffffff,2.0,0.0,0.0
8472db3ffffffff,12.0,0.0,0.0
8472db7ffffffff,44.0,0.0,0.0
849c851ffffffff,1.0,0.0,0.0
849c853ffffffff,2.0,0.0,0.0
849c88dffffffff,1.0,0.0,0.0
849c8bdffffffff,1.0,0.0,0.0
849cd2dffffffff,39.0,2.0,0.0
